(4, 15, 63), [0, 3, 3], 3.9.e_p_cl 
(4, 18, 54), [0, 2, 2], 3.9.e_s_cc 
(4, 21, 54), [0, 1, 2], 3.9.e_v_cc 
(5, 3, -27), [1, 3, 1], 3.9.f_d_abb 
(5, 9, 9), [1, 1, 1], 3.9.f_j_j 
(5, 12, 18), [1, 0, 2], 3.9.f_m_s 
(5, 15, 27), [1, 3, 3], 3.9.f_p_bb 
(5, 15, 45), [1, 3, 1], 3.9.f_p_bt 
(5, 18, 54), [1, 2, 2], 3.9.f_s_cc 
(5, 21, 72), [1, 1, 0], 3.9.f_v_cu 
(5, 21, 81), [1, 1, 1], 3.9.f_v_dd 
(5, 27, 81), [1, 3, 1], 3.9.f_bb_dd 
(7, 27, 81), [3, 3, 1], 3.9.h_bb_dd 
(7, 33, 117), [3, 1, 1], 3.9.h_bh_en 
