(-6, 25, -175), [2, 1, 1], 3.25.ag_z_agt 
(-6, 25, -150), [2, 1, 2], 3.25.ag_z_afu 
(-6, 25, -75), [2, 1, 1], 3.25.ag_z_acx 
(-6, 30, -225), [2, 2, 3], 3.25.ag_be_air 
(-6, 30, -125), [2, 2, 3], 3.25.ag_be_aev 
(-6, 30, -75), [2, 2, 1], 3.25.ag_be_acx 
(-6, 35, -100), [2, 3, 0], 3.25.ag_bj_adw 
(-6, 40, -325), [2, 0, 3], 3.25.ag_bo_amn 
(-6, 40, -275), [2, 0, 1], 3.25.ag_bo_akp 
(-6, 40, -225), [2, 0, 3], 3.25.ag_bo_air 
(-6, 40, -125), [2, 0, 3], 3.25.ag_bo_aev 
(-6, 45, -275), [2, 1, 1], 3.25.ag_bt_akp 
(-6, 50, -275), [2, 2, 1], 3.25.ag_by_akp 
(-6, 50, -225), [2, 2, 3], 3.25.ag_by_air 
(-6, 50, -200), [2, 2, 0], 3.25.ag_by_ahs 
(-6, 50, -175), [2, 2, 1], 3.25.ag_by_agt 
(-6, 55, -250), [2, 3, 2], 3.25.ag_cd_ajq 
(-6, 60, -275), [2, 0, 1], 3.25.ag_ci_akp 
(-6, 60, -225), [2, 0, 3], 3.25.ag_ci_air 
(-6, 70, -275), [2, 2, 1], 3.25.ag_cs_akp 
(-4, -20, 225), [0, 0, 1], 3.25.ae_au_ir 
(-4, -15, 125), [0, 1, 1], 3.25.ae_ap_ev 
(-4, -15, 275), [0, 1, 3], 3.25.ae_ap_kp 
(-4, -10, 75), [0, 2, 3], 3.25.ae_ak_cx 
(-4, -10, 125), [0, 2, 1], 3.25.ae_ak_ev 
(-4, -10, 225), [0, 2, 1], 3.25.ae_ak_ir 
(-4, -5, 25), [0, 3, 1], 3.25.ae_af_z 
(-4, -5, 125), [0, 3, 1], 3.25.ae_af_ev 
(-4, 0, -25), [0, 0, 3], 3.25.ae_a_az 
(-4, 0, 25), [0, 0, 1], 3.25.ae_a_z 
(-4, 0, 75), [0, 0, 3], 3.25.ae_a_cx 
(-4, 0, 125), [0, 0, 1], 3.25.ae_a_ev 
(-4, 0, 175), [0, 0, 3], 3.25.ae_a_gt 
(-4, 10, -125), [0, 2, 3], 3.25.ae_k_aev 
(-4, 10, -25), [0, 2, 3], 3.25.ae_k_az 
(-4, 10, 25), [0, 2, 1], 3.25.ae_k_z 
(-4, 10, 75), [0, 2, 3], 3.25.ae_k_cx 
(-4, 20, -225), [0, 0, 3], 3.25.ae_u_air 
(-4, 20, -175), [0, 0, 1], 3.25.ae_u_agt 
(-4, 20, -125), [0, 0, 3], 3.25.ae_u_aev 
(-4, 20, -25), [0, 0, 3], 3.25.ae_u_az 
(-4, 20, 0), [0, 0, 0], 3.25.ae_u_a 
(-4, 20, 25), [0, 0, 1], 3.25.ae_u_z 
(-4, 25, -175), [0, 1, 1], 3.25.ae_z_agt 
(-4, 25, -50), [0, 1, 2], 3.25.ae_z_aby 
(-4, 30, -250), [0, 2, 2], 3.25.ae_be_ajq 
(-4, 30, -225), [0, 2, 3], 3.25.ae_be_air 
(-4, 30, -175), [0, 2, 1], 3.25.ae_be_agt 
(-4, 30, -125), [0, 2, 3], 3.25.ae_be_aev 
(-4, 30, -25), [0, 2, 3], 3.25.ae_be_az 
(-4, 35, -150), [0, 3, 2], 3.25.ae_bj_afu 
(-4, 40, -225), [0, 0, 3], 3.25.ae_bo_air 
(-4, 40, -175), [0, 0, 1], 3.25.ae_bo_agt 
(-4, 40, -125), [0, 0, 3], 3.25.ae_bo_aev 
(-4, 50, -225), [0, 2, 3], 3.25.ae_by_air 
(-4, 50, -175), [0, 2, 1], 3.25.ae_by_agt 
(-4, 50, -125), [0, 2, 3], 3.25.ae_by_aev 
(-4, 60, -175), [0, 0, 1], 3.25.ae_ci_agt 
(-3, -20, 125), [1, 0, 1], 3.25.ad_au_ev 
(-3, -20, 175), [1, 0, 3], 3.25.ad_au_gt 
(-3, -15, 125), [1, 1, 1], 3.25.ad_ap_ev 
(-3, -10, 25), [1, 2, 1], 3.25.ad_ak_z 
(-3, -10, 75), [1, 2, 3], 3.25.ad_ak_cx 
(-3, -10, 125), [1, 2, 1], 3.25.ad_ak_ev 
(-3, -10, 175), [1, 2, 3], 3.25.ad_ak_gt 
(-3, -10, 250), [1, 2, 2], 3.25.ad_ak_jq 
(-3, -5, 75), [1, 3, 3], 3.25.ad_af_cx 
(-3, 0, -75), [1, 0, 1], 3.25.ad_a_acx 
(-3, 0, -25), [1, 0, 3], 3.25.ad_a_az 
(-3, 0, 25), [1, 0, 1], 3.25.ad_a_z 
(-3, 0, 125), [1, 0, 1], 3.25.ad_a_ev 
(-3, 0, 150), [1, 0, 2], 3.25.ad_a_fu 
(-3, 10, -175), [1, 2, 1], 3.25.ad_k_agt 
(-3, 10, -75), [1, 2, 1], 3.25.ad_k_acx 
(-3, 10, 0), [1, 2, 0], 3.25.ad_k_a 
(-3, 10, 25), [1, 2, 1], 3.25.ad_k_z 
(-3, 10, 75), [1, 2, 3], 3.25.ad_k_cx 
(-3, 20, -175), [1, 0, 1], 3.25.ad_u_agt 
(-3, 20, -125), [1, 0, 3], 3.25.ad_u_aev 
(-3, 20, -75), [1, 0, 1], 3.25.ad_u_acx 
(-3, 20, -50), [1, 0, 2], 3.25.ad_u_aby 
(-3, 20, 25), [1, 0, 1], 3.25.ad_u_z 
(-3, 25, -225), [1, 1, 3], 3.25.ad_z_air 
(-3, 25, -100), [1, 1, 0], 3.25.ad_z_adw 
(-3, 25, 25), [1, 1, 1], 3.25.ad_z_z 
(-3, 30, -225), [1, 2, 3], 3.25.ad_be_air 
(-3, 30, -125), [1, 2, 3], 3.25.ad_be_aev 
(-3, 30, -75), [1, 2, 1], 3.25.ad_be_acx 
(-3, 30, -50), [1, 2, 2], 3.25.ad_be_aby 
(-3, 40, -175), [1, 0, 1], 3.25.ad_bo_agt 
(-3, 40, -75), [1, 0, 1], 3.25.ad_bo_acx 
(-3, 45, -175), [1, 1, 1], 3.25.ad_bt_agt 
(-3, 50, -175), [1, 2, 1], 3.25.ad_by_agt 
(-3, 50, -125), [1, 2, 3], 3.25.ad_by_aev 
(-3, 50, -100), [1, 2, 0], 3.25.ad_by_adw 
(-2, -20, 75), [2, 0, 3], 3.25.ac_au_cx 
(-2, -20, 125), [2, 0, 1], 3.25.ac_au_ev 
(-2, -10, -25), [2, 2, 3], 3.25.ac_ak_az 
(-2, -10, 75), [2, 2, 3], 3.25.ac_ak_cx 
(-2, -10, 125), [2, 2, 1], 3.25.ac_ak_ev 
(-2, -10, 175), [2, 2, 3], 3.25.ac_ak_gt 
(-2, -10, 225), [2, 2, 1], 3.25.ac_ak_ir 
(-2, -5, -25), [2, 3, 3], 3.25.ac_af_az 
(-2, 0, -125), [2, 0, 3], 3.25.ac_a_aev 
(-2, 0, -75), [2, 0, 1], 3.25.ac_a_acx 
(-2, 0, -25), [2, 0, 3], 3.25.ac_a_az 
(-2, 0, 25), [2, 0, 1], 3.25.ac_a_z 
(-2, 0, 75), [2, 0, 3], 3.25.ac_a_cx 
(-2, 0, 100), [2, 0, 0], 3.25.ac_a_dw 
(-2, 0, 125), [2, 0, 1], 3.25.ac_a_ev 
(-2, 0, 175), [2, 0, 3], 3.25.ac_a_gt 
(-2, 5, -75), [2, 1, 1], 3.25.ac_f_acx 
(-2, 5, 50), [2, 1, 2], 3.25.ac_f_by 
(-2, 10, -175), [2, 2, 1], 3.25.ac_k_agt 
(-2, 10, -125), [2, 2, 3], 3.25.ac_k_aev 
(-2, 10, -75), [2, 2, 1], 3.25.ac_k_acx 
(-2, 10, -25), [2, 2, 3], 3.25.ac_k_az 
(-2, 10, 75), [2, 2, 3], 3.25.ac_k_cx 
(-2, 10, 125), [2, 2, 1], 3.25.ac_k_ev 
(-2, 20, -175), [2, 0, 1], 3.25.ac_u_agt 
(-2, 20, -125), [2, 0, 3], 3.25.ac_u_aev 
(-2, 20, -75), [2, 0, 1], 3.25.ac_u_acx 
(-2, 20, -25), [2, 0, 3], 3.25.ac_u_az 
(-2, 20, 75), [2, 0, 3], 3.25.ac_u_cx 
(-2, 25, -150), [2, 1, 2], 3.25.ac_z_afu 
(-2, 25, -25), [2, 1, 3], 3.25.ac_z_az 
(-2, 30, -175), [2, 2, 1], 3.25.ac_be_agt 
(-2, 30, -125), [2, 2, 3], 3.25.ac_be_aev 
(-2, 30, -75), [2, 2, 1], 3.25.ac_be_acx 
(-2, 30, -25), [2, 2, 3], 3.25.ac_be_az 
(-2, 40, -125), [2, 0, 3], 3.25.ac_bo_aev 
(-2, 40, -75), [2, 0, 1], 3.25.ac_bo_acx 
(-2, 40, -25), [2, 0, 3], 3.25.ac_bo_az 
(-2, 50, -125), [2, 2, 3], 3.25.ac_by_aev 
(-2, 50, -75), [2, 2, 1], 3.25.ac_by_acx 
(-2, 60, -75), [2, 0, 1], 3.25.ac_ci_acx 
(-1, -20, 25), [3, 0, 1], 3.25.ab_au_z 
(-1, -10, -75), [3, 2, 1], 3.25.ab_ak_acx 
(-1, -10, -25), [3, 2, 3], 3.25.ab_ak_az 
(-1, -10, 25), [3, 2, 1], 3.25.ab_ak_z 
(-1, -10, 125), [3, 2, 1], 3.25.ab_ak_ev 
(-1, -10, 150), [3, 2, 2], 3.25.ab_ak_fu 
(-1, -10, 175), [3, 2, 3], 3.25.ab_ak_gt 
(-1, 0, -175), [3, 0, 1], 3.25.ab_a_agt 
(-1, 0, -150), [3, 0, 2], 3.25.ab_a_afu 
(-1, 0, -125), [3, 0, 3], 3.25.ab_a_aev 
(-1, 0, -75), [3, 0, 1], 3.25.ab_a_acx 
(-1, 0, -25), [3, 0, 3], 3.25.ab_a_az 
(-1, 0, 75), [3, 0, 3], 3.25.ab_a_cx 
(-1, 0, 100), [3, 0, 0], 3.25.ab_a_dw 
(-1, 0, 125), [3, 0, 1], 3.25.ab_a_ev 
(-1, 0, 175), [3, 0, 3], 3.25.ab_a_gt 
(-1, 5, -125), [3, 1, 3], 3.25.ab_f_aev 
(-1, 10, -125), [3, 2, 3], 3.25.ab_k_aev 
(-1, 10, -75), [3, 2, 1], 3.25.ab_k_acx 
(-1, 10, -25), [3, 2, 3], 3.25.ab_k_az 
(-1, 10, 25), [3, 2, 1], 3.25.ab_k_z 
(-1, 10, 125), [3, 2, 1], 3.25.ab_k_ev 
(-1, 15, -100), [3, 3, 0], 3.25.ab_p_adw 
(-1, 15, 25), [3, 3, 1], 3.25.ab_p_z 
(-1, 20, -125), [3, 0, 3], 3.25.ab_u_aev 
(-1, 20, -75), [3, 0, 1], 3.25.ab_u_acx 
(-1, 20, -25), [3, 0, 3], 3.25.ab_u_az 
(-1, 20, 25), [3, 0, 1], 3.25.ab_u_z 
(-1, 25, 50), [3, 1, 2], 3.25.ab_z_by 
(-1, 30, -75), [3, 2, 1], 3.25.ab_be_acx 
(-1, 30, -25), [3, 2, 3], 3.25.ab_be_az 
(-1, 30, 25), [3, 2, 1], 3.25.ab_be_z 
(-1, 40, -25), [3, 0, 3], 3.25.ab_bo_az 
(-1, 45, -100), [3, 1, 0], 3.25.ab_bt_adw 
(-1, 60, -25), [3, 0, 3], 3.25.ab_ci_az 
(1, -20, -25), [1, 0, 3], 3.25.b_au_az 
(1, -10, -175), [1, 2, 1], 3.25.b_ak_agt 
(1, -10, -150), [1, 2, 2], 3.25.b_ak_afu 
(1, -10, -125), [1, 2, 3], 3.25.b_ak_aev 
(1, -10, -25), [1, 2, 3], 3.25.b_ak_az 
(1, -10, 25), [1, 2, 1], 3.25.b_ak_z 
(1, -10, 75), [1, 2, 3], 3.25.b_ak_cx 
(1, 0, -175), [1, 0, 1], 3.25.b_a_agt 
(1, 0, -125), [1, 0, 3], 3.25.b_a_aev 
(1, 0, -100), [1, 0, 0], 3.25.b_a_adw 
