(-7, 30, -150), [1, 2, 2], 3.25.ah_be_afu 
(-7, 30, -50), [1, 2, 2], 3.25.ah_be_aby 
(-7, 35, -200), [1, 3, 0], 3.25.ah_bj_ahs 
(-7, 35, -175), [1, 3, 1], 3.25.ah_bj_agt 
(-7, 35, -150), [1, 3, 2], 3.25.ah_bj_afu 
(-7, 35, -125), [1, 3, 3], 3.25.ah_bj_aev 
(-7, 35, -75), [1, 3, 1], 3.25.ah_bj_acx 
(-7, 40, -200), [1, 0, 0], 3.25.ah_bo_ahs 
(-7, 40, -150), [1, 0, 2], 3.25.ah_bo_afu 
(-7, 45, -300), [1, 1, 0], 3.25.ah_bt_alo 
(-7, 45, -275), [1, 1, 1], 3.25.ah_bt_akp 
(-7, 45, -250), [1, 1, 2], 3.25.ah_bt_ajq 
(-7, 45, -175), [1, 1, 1], 3.25.ah_bt_agt 
(-7, 50, -300), [1, 2, 0], 3.25.ah_by_alo 
(-7, 50, -250), [1, 2, 2], 3.25.ah_by_ajq 
(-7, 50, -200), [1, 2, 0], 3.25.ah_by_ahs 
(-7, 55, -300), [1, 3, 0], 3.25.ah_cd_alo 
(-7, 55, -275), [1, 3, 1], 3.25.ah_cd_akp 
(-7, 55, -250), [1, 3, 2], 3.25.ah_cd_ajq 
(-7, 65, -325), [1, 1, 3], 3.25.ah_cn_amn 
(-7, 65, -300), [1, 1, 0], 3.25.ah_cn_alo 
(-7, 65, -275), [1, 1, 1], 3.25.ah_cn_akp 
(-7, 70, -300), [1, 2, 0], 3.25.ah_cs_alo 
(-7, 75, -325), [1, 3, 3], 3.25.ah_cx_amn 
(-6, -20, 300), [2, 0, 0], 3.25.ag_au_lo 
(-6, -15, 250), [2, 1, 2], 3.25.ag_ap_jq 
(-6, -10, 250), [2, 2, 2], 3.25.ag_ak_jq 
(-6, -5, 150), [2, 3, 2], 3.25.ag_af_fu 
(-6, -5, 175), [2, 3, 3], 3.25.ag_af_gt 
(-6, 5, 25), [2, 1, 1], 3.25.ag_f_z 
(-6, 5, 50), [2, 1, 2], 3.25.ag_f_by 
(-6, 5, 100), [2, 1, 0], 3.25.ag_f_dw 
(-6, 10, 0), [2, 2, 0], 3.25.ag_k_a 
(-6, 10, 100), [2, 2, 0], 3.25.ag_k_dw 
(-6, 15, -75), [2, 3, 1], 3.25.ag_p_acx 
(-6, 15, -25), [2, 3, 3], 3.25.ag_p_az 
(-6, 15, 0), [2, 3, 0], 3.25.ag_p_a 
(-6, 15, 50), [2, 3, 2], 3.25.ag_p_by 
(-6, 20, -100), [2, 0, 0], 3.25.ag_u_adw 
(-6, 25, -125), [2, 1, 3], 3.25.ag_z_aev 
(-6, 25, -100), [2, 1, 0], 3.25.ag_z_adw 
(-6, 25, -50), [2, 1, 2], 3.25.ag_z_aby 
(-6, 30, -200), [2, 2, 0], 3.25.ag_be_ahs 
(-6, 30, -150), [2, 2, 2], 3.25.ag_be_afu 
(-6, 30, -100), [2, 2, 0], 3.25.ag_be_adw 
(-6, 35, -275), [2, 3, 1], 3.25.ag_bj_akp 
(-6, 35, -250), [2, 3, 2], 3.25.ag_bj_ajq 
(-6, 35, -200), [2, 3, 0], 3.25.ag_bj_ahs 
(-6, 35, -150), [2, 3, 2], 3.25.ag_bj_afu 
(-6, 35, -125), [2, 3, 3], 3.25.ag_bj_aev 
(-6, 40, -250), [2, 0, 2], 3.25.ag_bo_ajq 
(-6, 40, -150), [2, 0, 2], 3.25.ag_bo_afu 
(-6, 45, -325), [2, 1, 3], 3.25.ag_bt_amn 
(-6, 45, -225), [2, 1, 3], 3.25.ag_bt_air 
(-6, 45, -200), [2, 1, 0], 3.25.ag_bt_ahs 
(-6, 45, -150), [2, 1, 2], 3.25.ag_bt_afu 
(-6, 50, -250), [2, 2, 2], 3.25.ag_by_ajq 
(-6, 55, -225), [2, 3, 3], 3.25.ag_cd_air 
(-6, 55, -200), [2, 3, 0], 3.25.ag_cd_ahs 
(-6, 60, -250), [2, 0, 2], 3.25.ag_ci_ajq 
(-6, 65, -275), [2, 1, 1], 3.25.ag_cn_akp 
(-6, 65, -250), [2, 1, 2], 3.25.ag_cn_ajq 
(-4, -20, 200), [0, 0, 0], 3.25.ae_au_hs 
(-4, -15, 150), [0, 1, 2], 3.25.ae_ap_fu 
(-4, -15, 200), [0, 1, 0], 3.25.ae_ap_hs 
(-4, -15, 250), [0, 1, 2], 3.25.ae_ap_jq 
(-4, -10, 100), [0, 2, 0], 3.25.ae_ak_dw 
(-4, -10, 150), [0, 2, 2], 3.25.ae_ak_fu 
(-4, -5, 75), [0, 3, 3], 3.25.ae_af_cx 
(-4, -5, 100), [0, 3, 0], 3.25.ae_af_dw 
(-4, -5, 150), [0, 3, 2], 3.25.ae_af_fu 
(-4, -5, 200), [0, 3, 0], 3.25.ae_af_hs 
(-4, 0, 0), [0, 0, 0], 3.25.ae_a_a 
(-4, 0, 50), [0, 0, 2], 3.25.ae_a_by 
(-4, 5, -50), [0, 1, 2], 3.25.ae_f_aby 
(-4, 5, -25), [0, 1, 3], 3.25.ae_f_az 
(-4, 5, 0), [0, 1, 0], 3.25.ae_f_a 
(-4, 5, 75), [0, 1, 3], 3.25.ae_f_cx 
(-4, 5, 100), [0, 1, 0], 3.25.ae_f_dw 
(-4, 10, -100), [0, 2, 0], 3.25.ae_k_adw 
