(8, 0, -161), [0, 0, 3], 3.23.i_a_agf 
(8, 46, 161), [0, 2, 1], 3.23.i_bu_gf 
(8, 46, 207), [0, 2, 3], 3.23.i_bu_hz 
(8, 46, 253), [0, 2, 1], 3.23.i_bu_jt 
(9, 46, 161), [1, 2, 1], 3.23.j_bu_gf 
(10, 46, 161), [2, 2, 1], 3.23.k_bu_gf 
(11, 23, -69), [3, 3, 3], 3.23.l_x_acr 
(11, 92, 483), [3, 0, 3], 3.23.l_do_sp 
(12, 92, 483), [0, 0, 3], 3.23.m_do_sp 
(12, 92, 529), [0, 0, 1], 3.23.m_do_uj 
(13, 92, 483), [1, 0, 3], 3.23.n_do_sp 
(16, 138, 805), [0, 2, 1], 3.23.q_fi_bez 
(17, 138, 759), [1, 2, 3], 3.23.r_fi_bdf 
