(-1, 0, 114), [18, 0, 0], 3.19.ab_a_ek 
(-1, 19, -114), [18, 0, 0], 3.19.ab_t_aek 
(-1, 19, -95), [18, 0, 0], 3.19.ab_t_adr 
(-1, 19, -76), [18, 0, 0], 3.19.ab_t_acy 
(-1, 19, -57), [18, 0, 0], 3.19.ab_t_acf 
(-1, 19, -19), [18, 0, 0], 3.19.ab_t_at 
(-1, 19, 19), [18, 0, 0], 3.19.ab_t_t 
(-1, 19, 38), [18, 0, 0], 3.19.ab_t_bm 
(-1, 19, 57), [18, 0, 0], 3.19.ab_t_cf 
(-1, 38, 0), [18, 0, 0], 3.19.ab_bm_a 
(1, 0, -114), [1, 0, 0], 3.19.b_a_aek 
(1, 0, -76), [1, 0, 0], 3.19.b_a_acy 
(1, 0, -38), [1, 0, 0], 3.19.b_a_abm 
(1, 0, 0), [1, 0, 0], 3.19.b_a_a 
(1, 0, 76), [1, 0, 0], 3.19.b_a_cy 
(1, 0, 114), [1, 0, 0], 3.19.b_a_ek 
(1, 19, -57), [1, 0, 0], 3.19.b_t_acf 
(1, 19, -38), [1, 0, 0], 3.19.b_t_abm 
(1, 19, -19), [1, 0, 0], 3.19.b_t_at 
(1, 19, 19), [1, 0, 0], 3.19.b_t_t 
(1, 19, 57), [1, 0, 0], 3.19.b_t_cf 
(1, 19, 76), [1, 0, 0], 3.19.b_t_cy 
(1, 19, 95), [1, 0, 0], 3.19.b_t_dr 
(1, 19, 114), [1, 0, 0], 3.19.b_t_ek 
(1, 38, 0), [1, 0, 0], 3.19.b_bm_a 
(2, 0, -114), [2, 0, 0], 3.19.c_a_aek 
(2, 0, -76), [2, 0, 0], 3.19.c_a_acy 
(2, 0, 0), [2, 0, 0], 3.19.c_a_a 
(2, 0, 38), [2, 0, 0], 3.19.c_a_bm 
(2, 19, -38), [2, 0, 0], 3.19.c_t_abm 
(2, 19, -19), [2, 0, 0], 3.19.c_t_at 
(2, 19, 19), [2, 0, 0], 3.19.c_t_t 
(2, 19, 38), [2, 0, 0], 3.19.c_t_bm 
(2, 19, 57), [2, 0, 0], 3.19.c_t_cf 
(2, 19, 95), [2, 0, 0], 3.19.c_t_dr 
(2, 19, 114), [2, 0, 0], 3.19.c_t_ek 
(2, 19, 133), [2, 0, 0], 3.19.c_t_fd 
(3, 0, -114), [3, 0, 0], 3.19.d_a_aek 
(3, 0, -76), [3, 0, 0], 3.19.d_a_acy 
(3, 0, -38), [3, 0, 0], 3.19.d_a_abm 
(3, 0, 0), [3, 0, 0], 3.19.d_a_a 
(3, 0, 38), [3, 0, 0], 3.19.d_a_bm 
(3, 19, -19), [3, 0, 0], 3.19.d_t_at 
(3, 19, 19), [3, 0, 0], 3.19.d_t_t 
(3, 19, 38), [3, 0, 0], 3.19.d_t_bm 
(3, 19, 57), [3, 0, 0], 3.19.d_t_cf 
(3, 19, 76), [3, 0, 0], 3.19.d_t_cy 
(3, 19, 95), [3, 0, 0], 3.19.d_t_dr 
(3, 19, 133), [3, 0, 0], 3.19.d_t_fd 
(3, 19, 152), [3, 0, 0], 3.19.d_t_fw 
(3, 19, 171), [3, 0, 0], 3.19.d_t_gp 
(3, 38, 76), [3, 0, 0], 3.19.d_bm_cy 
(4, 0, -114), [4, 0, 0], 3.19.e_a_aek 
(4, 0, -38), [4, 0, 0], 3.19.e_a_abm 
(4, 0, 0), [4, 0, 0], 3.19.e_a_a 
(4, 19, 19), [4, 0, 0], 3.19.e_t_t 
(4, 19, 38), [4, 0, 0], 3.19.e_t_bm 
(4, 19, 57), [4, 0, 0], 3.19.e_t_cf 
(4, 19, 76), [4, 0, 0], 3.19.e_t_cy 
(4, 19, 95), [4, 0, 0], 3.19.e_t_dr 
(4, 19, 114), [4, 0, 0], 3.19.e_t_ek 
(4, 19, 133), [4, 0, 0], 3.19.e_t_fd 
(4, 19, 171), [4, 0, 0], 3.19.e_t_gp 
(4, 38, 114), [4, 0, 0], 3.19.e_bm_ek 
(5, 0, -114), [5, 0, 0], 3.19.f_a_aek 
(5, 0, -76), [5, 0, 0], 3.19.f_a_acy 
(5, 0, -38), [5, 0, 0], 3.19.f_a_abm 
(5, 19, 19), [5, 0, 0], 3.19.f_t_t 
(5, 19, 38), [5, 0, 0], 3.19.f_t_bm 
(5, 19, 57), [5, 0, 0], 3.19.f_t_cf 
(5, 19, 76), [5, 0, 0], 3.19.f_t_cy 
(5, 19, 95), [5, 0, 0], 3.19.f_t_dr 
(5, 19, 114), [5, 0, 0], 3.19.f_t_ek 
(5, 19, 133), [5, 0, 0], 3.19.f_t_fd 
(5, 38, 114), [5, 0, 0], 3.19.f_bm_ek 
(5, 38, 152), [5, 0, 0], 3.19.f_bm_fw 
(6, 0, -76), [6, 0, 0], 3.19.g_a_acy 
(6, 19, 19), [6, 0, 0], 3.19.g_t_t 
(6, 19, 38), [6, 0, 0], 3.19.g_t_bm 
(6, 19, 57), [6, 0, 0], 3.19.g_t_cf 
(6, 19, 76), [6, 0, 0], 3.19.g_t_cy 
(6, 19, 95), [6, 0, 0], 3.19.g_t_dr 
(6, 38, 152), [6, 0, 0], 3.19.g_bm_fw 
(6, 38, 190), [6, 0, 0], 3.19.g_bm_hi 
(6, 57, 209), [6, 0, 0], 3.19.g_cf_ib 
