(4, 13, 52), [4, 0, 0], 3.13.e_n_ca 
(4, 13, 65), [4, 0, 0], 3.13.e_n_cn 
(4, 13, 78), [4, 0, 0], 3.13.e_n_da 
(4, 26, 78), [4, 0, 0], 3.13.e_ba_da 
(5, 0, -52), [5, 0, 0], 3.13.f_a_aca 
(5, 13, 13), [5, 0, 0], 3.13.f_n_n 
(5, 13, 26), [5, 0, 0], 3.13.f_n_ba 
(5, 13, 39), [5, 0, 0], 3.13.f_n_bn 
(5, 13, 52), [5, 0, 0], 3.13.f_n_ca 
(5, 26, 78), [5, 0, 0], 3.13.f_ba_da 
(5, 26, 104), [5, 0, 0], 3.13.f_ba_ea 
(5, 39, 117), [5, 0, 0], 3.13.f_bn_en 
(6, 13, 13), [6, 0, 0], 3.13.g_n_n 
(6, 13, 26), [6, 0, 0], 3.13.g_n_ba 
(6, 26, 104), [6, 0, 0], 3.13.g_ba_ea 
(6, 39, 130), [6, 0, 0], 3.13.g_bn_fa 
(6, 39, 143), [6, 0, 0], 3.13.g_bn_fn 
(7, 26, 78), [7, 0, 0], 3.13.h_ba_da 
(7, 39, 143), [7, 0, 0], 3.13.h_bn_fn 
(7, 39, 156), [7, 0, 0], 3.13.h_bn_ga 
(7, 39, 169), [7, 0, 0], 3.13.h_bn_gn 
(8, 39, 143), [8, 0, 0], 3.13.i_bn_fn 
(8, 39, 156), [8, 0, 0], 3.13.i_bn_ga 
(9, 39, 130), [9, 0, 0], 3.13.j_bn_fa 
(9, 52, 208), [9, 0, 0], 3.13.j_ca_ia 
(10, 52, 208), [10, 0, 0], 3.13.k_ca_ia 
(10, 65, 273), [10, 0, 0], 3.13.k_cn_kn 
(11, 65, 273), [11, 0, 0], 3.13.l_cn_kn 
(12, 78, 338), [12, 0, 0], 3.13.m_da_na 
