(5, -7, 40), [1, 1, 0], 3.25.ac_be_afu 
(-5, 3, 20), [3, 3, 0], 3.25.ac_be_by 
(-5, 3, 35), [3, 3, 3], 3.25.ac_bt_az 
(-2, 0, 50), [2, 0, 2], 3.25.ac_cx_adw 
(10, -11, 65), [2, 1, 1], 3.25.ab_au_dw 
(-10, 9, 60), [2, 1, 0], 3.25.ab_af_afu 
(5, -6, 20), [1, 2, 0], 3.25.ab_p_ahs 
(-6, 5, 25), [2, 1, 1], 3.25.ab_u_dw 
(5, -6, 30), [1, 2, 2], 3.25.ab_z_afu 
(-1, 0, 0), [3, 0, 0], 3.25.ab_z_a 
(4, -5, 25), [0, 3, 1], 3.25.ab_be_afu 
(5, -6, 40), [1, 2, 0], 3.25.ab_bj_adw 
(-5, 4, 30), [3, 0, 2], 3.25.ab_bj_by 
(-5, 4, 40), [3, 0, 0], 3.25.ab_bt_a 
(-10, 11, 65), [2, 3, 1], 3.25.b_au_adw 
(10, -9, 60), [2, 3, 0], 3.25.b_af_fu 
(-5, 6, 20), [3, 2, 0], 3.25.b_p_hs 
(6, -5, 25), [2, 3, 1], 3.25.b_u_adw 
(1, 0, 0), [1, 0, 0], 3.25.b_z_a 
(-5, 6, 30), [3, 2, 2], 3.25.b_z_fu 
(-4, 5, 25), [0, 1, 1], 3.25.b_be_fu 
(5, -4, 30), [1, 0, 2], 3.25.b_bj_aby 
(-5, 6, 40), [3, 2, 0], 3.25.b_bj_dw 
(5, -4, 40), [1, 0, 0], 3.25.b_bt_a 
(10, -8, 45), [2, 0, 1], 3.25.c_ak_by 
(5, -3, -15), [1, 1, 1], 3.25.c_af_air 
(5, -3, -10), [1, 1, 2], 3.25.c_a_ahs 
(7, -5, 25), [3, 3, 1], 3.25.c_p_acx 
(-5, 7, 30), [3, 3, 2], 3.25.c_u_hs 
(2, 0, 0), [2, 0, 0], 3.25.c_z_a 
(5, -3, 20), [1, 1, 0], 3.25.c_be_aby 
(-5, 7, 40), [3, 3, 0], 3.25.c_be_fu 
(5, -3, 35), [1, 1, 3], 3.25.c_bt_z 
(2, 0, 50), [2, 0, 2], 3.25.c_cx_dw 
(10, -7, 30), [2, 1, 2], 3.25.d_ap_aby 
(10, -7, 40), [2, 1, 0], 3.25.d_af_by 
(5, -2, -10), [1, 2, 2], 3.25.d_f_afu 
(8, -5, 25), [0, 3, 1], 3.25.d_k_aby 
(10, -7, 55), [2, 1, 3], 3.25.d_k_hs 
(3, 0, 0), [3, 0, 0], 3.25.d_z_a 
(-5, 8, 40), [3, 0, 0], 3.25.d_z_hs 
(-2, 5, 25), [2, 1, 1], 3.25.d_bo_hs 
(-5, 8, 60), [3, 0, 0], 3.25.d_bt_dw 
(5, -2, 40), [1, 2, 0], 3.25.d_cd_dw 
(5, -1, -30), [1, 3, 2], 3.25.e_ak_ahs 
(5, -1, -20), [1, 3, 0], 3.25.e_a_afu 
(9, -5, 25), [1, 3, 1], 3.25.e_f_az 
(10, -6, 40), [2, 2, 0], 3.25.e_f_dw 
(5, -1, -5), [1, 3, 3], 3.25.e_p_acx 
(4, 0, 0), [0, 0, 0], 3.25.e_z_a 
(-5, 9, 45), [3, 1, 1], 3.25.e_z_ir 
(5, -1, 10), [1, 3, 2], 3.25.e_be_a 
(-5, 9, 55), [3, 1, 3], 3.25.e_bj_gt 
(-5, 9, 60), [3, 1, 0], 3.25.e_bo_fu 
(-1, 5, 25), [3, 1, 1], 3.25.e_bt_ir 
(5, -1, 45), [1, 3, 1], 3.25.e_cn_gt 
(4, 0, 50), [0, 0, 2], 3.25.e_cx_hs 
(10, -4, 10), [2, 0, 2], 3.25.g_af_adw 
(6, 0, -25), [2, 0, 3], 3.25.g_a_afu 
(5, 1, -30), [1, 1, 2], 3.25.g_a_adw 
(5, 1, -20), [1, 1, 0], 3.25.g_k_aby 
(5, 1, -15), [1, 1, 1], 3.25.g_p_az 
(10, -4, 30), [2, 0, 2], 3.25.g_p_dw 
(6, 0, 0), [2, 0, 0], 3.25.g_z_a 
(5, 1, 5), [1, 1, 1], 3.25.g_bj_cx 
(5, 1, 10), [1, 1, 2], 3.25.g_bo_dw 
(-5, 11, 70), [3, 3, 2], 3.25.g_bo_hs 
(1, 5, 25), [1, 1, 1], 3.25.g_cd_kp 
(6, 0, 50), [2, 0, 2], 3.25.g_cx_lo 
(10, -3, -5), [2, 1, 3], 3.25.h_ak_ahs 
(5, 2, -20), [1, 2, 0], 3.25.h_p_a 
(10, -3, 20), [2, 1, 0], 3.25.h_p_by 
(5, 2, -10), [1, 2, 2], 3.25.h_z_by 
(10, -3, 45), [2, 1, 1], 3.25.h_bo_lo 
(5, 2, 10), [1, 2, 2], 3.25.h_bt_fu 
(2, 5, 25), [2, 1, 1], 3.25.h_ci_lo 
(7, 0, 50), [3, 0, 2], 3.25.h_cx_nm 
(10, -2, -20), [2, 2, 0], 3.25.i_ap_alo 
(10, -2, 5), [2, 2, 1], 3.25.i_k_aby 
(10, -2, 10), [2, 2, 2], 3.25.i_p_a 
(8, 0, 0), [0, 0, 0], 3.25.i_z_a 
(10, -2, 20), [2, 2, 0], 3.25.i_z_dw 
(5, 3, -10), [1, 3, 2], 3.25.i_be_dw 
(10, -2, 30), [2, 2, 2], 3.25.i_bj_hs 
(-5, 13, 85), [3, 1, 1], 3.25.i_bt_ir 
(5, 3, 15), [1, 3, 3], 3.25.i_cd_ir 
(5, 3, 20), [1, 3, 0], 3.25.i_ci_jq 
(3, 5, 25), [3, 1, 1], 3.25.i_cn_mn 
(8, 0, 50), [0, 0, 2], 3.25.i_cx_pk 
(10, -1, -35), [2, 3, 1], 3.25.j_au_apk 
(10, -1, -10), [2, 3, 2], 3.25.j_f_afu 
(10, -1, 15), [2, 3, 3], 3.25.j_be_dw 
(10, -1, 40), [2, 3, 0], 3.25.j_cd_nm 
(5, 4, 20), [1, 0, 0], 3.25.j_cn_lo 
(4, 5, 25), [0, 1, 1], 3.25.j_cs_nm 
(9, 0, 50), [1, 0, 2], 3.25.j_cx_ri 
(10, 1, -15), [2, 1, 1], 3.25.l_u_adw 
(10, 1, 10), [2, 1, 2], 3.25.l_bt_fu 
(10, 1, 35), [2, 1, 3], 3.25.l_cs_pk 
(5, 6, 20), [1, 2, 0], 3.25.l_cx_pk 
(6, 5, 25), [2, 1, 1], 3.25.l_dc_pk 
(5, 6, 30), [1, 2, 2], 3.25.l_dh_ri 
(10, 2, -5), [2, 2, 3], 3.25.m_bo_by 
(10, 2, 10), [2, 2, 2], 3.25.m_cd_hs 
(10, 2, 20), [2, 2, 0], 3.25.m_cn_lo 
(7, 5, 25), [3, 1, 1], 3.25.m_dh_qj 
(5, 7, 30), [1, 3, 2], 3.25.m_dm_tg 
(10, 2, 45), [2, 2, 1], 3.25.m_dm_ve 
(5, 7, 35), [1, 3, 3], 3.25.m_dr_uf 
(5, 7, 40), [1, 3, 0], 3.25.m_dw_ve 
(10, 3, 5), [2, 3, 1], 3.25.n_ci_hs 
(10, 3, 30), [2, 3, 2], 3.25.n_dh_ri 
(5, 8, 40), [1, 0, 0], 3.25.n_eb_xc 
(10, 4, 10), [2, 0, 2], 3.25.o_cx_lo 
(10, 4, 15), [2, 0, 3], 3.25.o_dc_nm 
(9, 5, 25), [1, 1, 1], 3.25.o_dr_sh 
(10, 4, 30), [2, 0, 2], 3.25.o_dr_tg 
(10, 4, 40), [2, 0, 0], 3.25.o_eb_xc 
(5, 9, 45), [1, 1, 1], 3.25.o_el_zz 
(5, 9, 60), [1, 1, 0], 3.25.o_fa_bcw 
(10, 6, 35), [2, 2, 3], 3.25.q_eq_za 
(10, 7, 45), [2, 3, 1], 3.25.r_fk_beu 
(10, 8, 55), [2, 0, 3], 3.25.s_ge_bko 
(10, 9, 65), [2, 1, 1], 3.25.t_gy_bqi 
