(1, 0, -16), [1, 0, 0], 3.16.b_a_aq 
(0, 1, -16), [0, 1, 0], 3.16.b_a_bg 
(8, -7, 40), [0, 1, 0], 3.16.b_a_ds 
(0, 1, -12), [0, 1, 0], 3.16.b_e_bg 
(0, 1, -8), [0, 1, 0], 3.16.b_i_bg 
(-4, 5, 12), [0, 1, 0], 3.16.b_i_ei 
(5, -4, 16), [1, 0, 0], 3.16.b_m_abw 
(0, 1, -4), [0, 1, 0], 3.16.b_m_bg 
(-4, 5, 16), [0, 1, 0], 3.16.b_m_ds 
(4, -3, 12), [0, 1, 0], 3.16.b_q_abw 
(1, 0, 0), [1, 0, 0], 3.16.b_q_a 
(0, 1, 0), [0, 1, 0], 3.16.b_q_bg 
(-4, 5, 20), [0, 1, 0], 3.16.b_q_dc 
(4, -3, 16), [0, 1, 0], 3.16.b_u_abg 
(0, 1, 4), [0, 1, 0], 3.16.b_u_bg 
(-4, 5, 24), [0, 1, 0], 3.16.b_u_cm 
(-3, 4, 16), [1, 0, 0], 3.16.b_u_dc 
(4, -3, 20), [0, 1, 0], 3.16.b_y_aq 
(0, 1, 8), [0, 1, 0], 3.16.b_y_bg 
(-4, 5, 28), [0, 1, 0], 3.16.b_y_bw 
(4, -3, 24), [0, 1, 0], 3.16.b_bc_a 
(0, 1, 16), [0, 1, 0], 3.16.b_bg_bg 
(4, -1, -20), [0, 3, 0], 3.16.d_ai_aei 
(4, -1, -16), [0, 3, 0], 3.16.d_ae_ads 
(4, -1, -12), [0, 3, 0], 3.16.d_a_adc 
(3, 0, -16), [3, 0, 0], 3.16.d_a_abw 
(8, -5, 24), [0, 3, 0], 3.16.d_a_bg 
(4, -1, -8), [0, 3, 0], 3.16.d_e_acm 
(7, -4, 16), [3, 0, 0], 3.16.d_e_aq 
(8, -5, 28), [0, 3, 0], 3.16.d_e_cm 
(4, -1, -4), [0, 3, 0], 3.16.d_i_abw 
(4, -1, 0), [0, 3, 0], 3.16.d_m_abg 
(0, 3, -4), [0, 3, 0], 3.16.d_m_ds 
(4, -1, 4), [0, 3, 0], 3.16.d_q_aq 
(3, 0, 0), [3, 0, 0], 3.16.d_q_a 
(0, 3, 0), [0, 3, 0], 3.16.d_q_ds 
(-4, 7, 28), [0, 3, 0], 3.16.d_q_ei 
(-4, 7, 36), [0, 3, 0], 3.16.d_y_dc 
(-4, 7, 40), [0, 3, 0], 3.16.d_bc_cm 
(0, 3, 12), [0, 3, 0], 3.16.d_bc_ds 
(-1, 4, 16), [3, 0, 0], 3.16.d_bc_ei 
(0, 3, 16), [0, 3, 0], 3.16.d_bg_ds 
(4, -1, 24), [0, 3, 0], 3.16.d_bk_cm 
(0, 3, 20), [0, 3, 0], 3.16.d_bk_ds 
(4, -1, 28), [0, 3, 0], 3.16.d_bo_dc 
(5, 0, -16), [1, 0, 0], 3.16.f_a_adc 
(4, 1, -20), [0, 1, 0], 3.16.f_a_abw 
(4, 1, -16), [0, 1, 0], 3.16.f_e_abg 
(4, 1, -12), [0, 1, 0], 3.16.f_i_aq 
(8, -3, 16), [0, 1, 0], 3.16.f_i_bg 
(4, 1, -8), [0, 1, 0], 3.16.f_m_a 
(5, 0, 0), [1, 0, 0], 3.16.f_q_a 
(4, 1, -4), [0, 1, 0], 3.16.f_q_q 
(8, -3, 24), [0, 1, 0], 3.16.f_q_ds 
(4, 1, 0), [0, 1, 0], 3.16.f_u_bg 
(4, 1, 4), [0, 1, 0], 3.16.f_y_bw 
(-4, 9, 44), [0, 1, 0], 3.16.f_y_ei 
(4, 1, 8), [0, 1, 0], 3.16.f_bc_cm 
(-4, 9, 48), [0, 1, 0], 3.16.f_bc_ds 
(0, 5, 12), [0, 1, 0], 3.16.f_bc_ge 
(0, 5, 16), [0, 1, 0], 3.16.f_bg_ge 
(1, 4, 16), [1, 0, 0], 3.16.f_bk_fo 
(0, 5, 20), [0, 1, 0], 3.16.f_bk_ge 
(4, 1, 28), [0, 1, 0], 3.16.f_bw_fo 
(8, -1, -8), [0, 3, 0], 3.16.h_a_ads 
(8, -1, -4), [0, 3, 0], 3.16.h_e_acm 
(7, 0, 0), [3, 0, 0], 3.16.h_q_a 
(8, -1, 8), [0, 3, 0], 3.16.h_q_bg 
(4, 3, -4), [0, 3, 0], 3.16.h_y_dc 
(4, 3, 0), [0, 3, 0], 3.16.h_bc_ds 
(8, -1, 24), [0, 3, 0], 3.16.h_bg_ge 
(4, 3, 12), [0, 3, 0], 3.16.h_bo_fo 
(4, 3, 16), [0, 3, 0], 3.16.h_bs_ge 
(3, 4, 16), [3, 0, 0], 3.16.h_bs_gu 
(4, 3, 20), [0, 3, 0], 3.16.h_bw_gu 
(8, 1, -8), [0, 1, 0], 3.16.j_q_abg 
(8, 1, 8), [0, 1, 0], 3.16.j_bg_ds 
(4, 5, 12), [0, 1, 0], 3.16.j_bw_ia 
(8, 1, 24), [0, 1, 0], 3.16.j_bw_iq 
(5, 4, 16), [1, 0, 0], 3.16.j_ca_ia 
(4, 5, 16), [0, 1, 0], 3.16.j_ca_iq 
(4, 5, 20), [0, 1, 0], 3.16.j_ce_jg 
(4, 5, 24), [0, 1, 0], 3.16.j_ci_jw 
(0, 9, 44), [0, 1, 0], 3.16.j_ci_lc 
(4, 5, 28), [0, 1, 0], 3.16.j_cm_km 
(0, 9, 48), [0, 1, 0], 3.16.j_cm_lc 
(7, 4, 16), [3, 0, 0], 3.16.l_ci_jg 
(8, 3, 24), [0, 3, 0], 3.16.l_cm_lc 
(4, 7, 28), [0, 3, 0], 3.16.l_cu_my 
(4, 7, 36), [0, 3, 0], 3.16.l_dc_oe 
(8, 5, 24), [0, 1, 0], 3.16.n_dc_no 
(4, 9, 44), [0, 1, 0], 3.16.n_ds_rw 
(8, 7, 40), [0, 3, 0], 3.16.p_ei_uy 
