(6, -2, 9), [6, 7, 0], 3.9.e_g_s 
(4, 0, 0), [4, 0, 0], 3.9.e_j_a 
(3, 1, -3), [3, 1, 6], 3.9.e_j_j 
(6, -2, 12), [6, 7, 3], 3.9.e_j_bk 
(3, 1, 0), [3, 1, 0], 3.9.e_m_s 
(3, 1, 3), [3, 1, 3], 3.9.e_p_bb 
(-3, 7, 27), [6, 7, 0], 3.9.e_p_bt 
(3, 1, 9), [3, 1, 0], 3.9.e_v_bt 
(0, 4, 15), [0, 4, 6], 3.9.e_y_cu 
(6, -1, -9), [6, 8, 0], 3.9.f_ag_acu 
(5, 0, -9), [5, 0, 0], 3.9.f_a_abt 
(6, -1, -3), [6, 8, 6], 3.9.f_a_abk 
(6, -1, 0), [6, 8, 0], 3.9.f_d_as 
(6, -1, 3), [6, 8, 3], 3.9.f_g_a 
(6, -1, 9), [6, 8, 0], 3.9.f_m_bk 
(3, 2, 0), [3, 2, 0], 3.9.f_p_bk 
(3, 2, 6), [3, 2, 6], 3.9.f_v_cc 
(3, 2, 9), [3, 2, 0], 3.9.f_y_cl 
(0, 5, 15), [0, 5, 6], 3.9.f_y_dm 
(3, 2, 12), [3, 2, 3], 3.9.f_bb_cu 
(0, 5, 21), [0, 5, 3], 3.9.f_be_dm 
(6, 1, -9), [6, 1, 0], 3.9.h_g_abk 
(6, 1, -6), [6, 1, 3], 3.9.h_j_as 
(6, 1, -3), [6, 1, 6], 3.9.h_m_a 
(6, 1, 0), [6, 1, 0], 3.9.h_p_s 
(6, 1, 3), [6, 1, 3], 3.9.h_s_bk 
(6, 1, 9), [6, 1, 0], 3.9.h_y_cu 
(3, 4, 9), [3, 4, 0], 3.9.h_be_dv 
(3, 4, 15), [3, 4, 6], 3.9.h_bk_en 
(0, 7, 27), [0, 7, 0], 3.9.h_bk_ew 
(6, 2, 0), [6, 2, 0], 3.9.i_v_bk 
(6, 2, 6), [6, 2, 6], 3.9.i_bb_cu 
(6, 2, 9), [6, 2, 0], 3.9.i_be_dm 
(5, 3, 9), [5, 3, 0], 3.9.i_bh_dv 
(3, 5, 15), [3, 5, 6], 3.9.i_bn_ff 
(3, 5, 21), [3, 5, 3], 3.9.i_bt_fx 
(6, 4, 9), [6, 4, 0], 3.9.k_bq_ew 
(3, 7, 27), [3, 7, 0], 3.9.k_cf_hz 
(6, 5, 15), [6, 5, 6], 3.9.l_cc_gy 
(6, 5, 21), [6, 5, 3], 3.9.l_ci_ii 
(6, 7, 27), [6, 7, 0], 3.9.n_da_lc 
