(-7, -4, 1), (1, 0, 1)
(-7, -4, 3), (1, 0, 3)
(-5, -4, 1), (3, 0, 1)
(-7, -4, 5), (1, 0, 1)
(-7, 0, 1), (1, 0, 1)
(-5, -4, 3), (3, 0, 3)
(-7, -4, 7), (1, 0, 3)
(-5, -4, 5), (3, 0, 1)
(-7, 0, 3), (1, 0, 3)
(-5, 0, 1), (3, 0, 1)
(-5, -4, 7), (3, 0, 3)
(-7, 0, 5), (1, 0, 1)
(-5, 0, 3), (3, 0, 3)
(-7, 0, 7), (1, 0, 3)
(-5, 0, 5), (3, 0, 1)
(-3, 0, 3), (1, 0, 3)
(-7, 4, 5), (1, 0, 1)
(-5, 0, 7), (3, 0, 3)
(-3, 0, 5), (1, 0, 1)
(-7, 4, 7), (1, 0, 3)
(-5, 4, 5), (3, 0, 1)
(-3, 0, 7), (1, 0, 3)
(-1, 0, 5), (3, 0, 1)
(-5, 4, 7), (3, 0, 3)
(-3, 4, 5), (1, 0, 1)
(-1, 0, 7), (3, 0, 3)
(-3, 4, 7), (1, 0, 3)
(-1, 4, 5), (3, 0, 1)
(-1, 4, 7), (3, 0, 3)
