(-10, 1, 3), [2, 1, 3], 3.25.ag_bm_ams 
(-9, -6, 10), [3, 2, 2], 3.25.af_av_le 
(-8, -7, 10), [0, 1, 2], 3.25.af_at_ly 
(-10, -4, 9), [2, 0, 1], 3.25.af_al_eg 
(-9, -5, 9), [3, 3, 1], 3.25.af_ag_fz 
(-10, -2, 7), [2, 2, 3], 3.25.af_l_aeg 
(-7, -5, 7), [1, 3, 3], 3.25.af_ba_af 
(-10, 1, 4), [2, 1, 0], 3.25.af_bd_ale 
(-10, 2, 3), [2, 2, 3], 3.25.af_bf_aly 
(-9, -1, 5), [3, 3, 1], 3.25.af_bi_ahx 
(-7, -3, 5), [1, 1, 1], 3.25.af_bu_afp 
(-5, -3, 3), [3, 1, 3], 3.25.af_co_ahx 
(-5, -1, 1), [3, 3, 1], 3.25.af_cw_ajl 
(-10, -3, 9), [2, 1, 1], 3.25.ae_am_cs 
(-10, 2, 4), [2, 2, 0], 3.25.ae_x_aku 
(-9, -4, 10), [3, 0, 2], 3.25.ad_at_ic 
(-10, -2, 9), [2, 2, 1], 3.25.ad_an_be 
(-7, -6, 10), [1, 2, 2], 3.25.ad_an_kk 
(-7, -5, 9), [1, 3, 1], 3.25.ad_c_gj 
(-10, 3, 4), [2, 3, 0], 3.25.ad_r_akk 
(-9, 1, 5), [3, 1, 1], 3.25.ad_ba_ahn 
(-7, -1, 5), [1, 3, 1], 3.25.ad_bq_ael 
(-5, -1, 3), [3, 3, 3], 3.25.ad_ck_aff 
(-5, 1, 1), [3, 1, 1], 3.25.ad_co_afz 
(-9, -3, 10), [3, 1, 2], 3.25.ac_as_go 
(-10, 1, 7), [2, 1, 3], 3.25.ac_c_ago 
(-9, -2, 10), [3, 2, 2], 3.25.ab_ar_fa 
(-7, -4, 10), [1, 0, 2], 3.25.ab_ah_iw 
(-10, 2, 7), [2, 2, 3], 3.25.ab_ab_ahi 
(-10, 3, 6), [2, 3, 2], 3.25.ab_d_aiw 
(-9, 3, 5), [3, 3, 1], 3.25.ab_s_ahd 
(-5, -3, 7), [3, 1, 3], 3.25.ab_bi_cd 
(-7, 1, 5), [1, 1, 1], 3.25.ab_bm_adh 
(-3, -3, 5), [1, 1, 1], 3.25.ab_cc_af 
(-5, 1, 3), [3, 1, 3], 3.25.ab_cg_acn 
(-10, 1, 9), [2, 1, 1], 3.25.a_aq_adm 
(-9, -1, 10), [3, 3, 2], 3.25.a_aq_dm 
(-10, 3, 7), [2, 3, 3], 3.25.a_ae_aic 
(-7, -3, 10), [1, 1, 2], 3.25.a_ae_ic 
(-10, 4, 6), [2, 0, 2], 3.25.a_ab_ajg 
(-6, -4, 10), [2, 0, 2], 3.25.a_ab_jg 
(-10, 2, 9), [2, 2, 1], 3.25.b_ar_afa 
(-10, 4, 7), [2, 0, 3], 3.25.b_ah_aiw 
(-7, -2, 10), [1, 2, 2], 3.25.b_ab_hi 
(-6, -3, 10), [2, 1, 2], 3.25.b_d_iw 
(-5, -3, 9), [3, 1, 1], 3.25.b_s_hd 
(-7, 3, 5), [1, 3, 1], 3.25.b_bi_acd 
(-5, -1, 7), [3, 3, 3], 3.25.b_bm_dh 
(-5, 3, 3), [3, 3, 3], 3.25.b_cc_f 
(-3, -1, 5), [1, 3, 1], 3.25.b_cg_cn 
(-10, 3, 9), [2, 3, 1], 3.25.c_as_ago 
(-7, -1, 10), [1, 3, 2], 3.25.c_c_go 
(-10, 4, 9), [2, 0, 1], 3.25.d_at_aic 
(-10, 6, 7), [2, 2, 3], 3.25.d_an_akk 
(-9, 2, 10), [3, 2, 2], 3.25.d_an_abe 
(-9, 5, 7), [3, 1, 3], 3.25.d_c_agj 
(-4, -3, 10), [0, 1, 2], 3.25.d_r_kk 
(-5, -1, 9), [3, 3, 1], 3.25.d_ba_hn 
(-5, 1, 7), [3, 1, 3], 3.25.d_bq_el 
(-3, 1, 5), [1, 1, 1], 3.25.d_ck_ff 
(-1, -1, 5), [3, 3, 1], 3.25.d_co_fz 
(-9, 3, 10), [3, 3, 2], 3.25.e_am_acs 
(-4, -2, 10), [0, 2, 2], 3.25.e_x_ku 
(-10, 6, 9), [2, 2, 1], 3.25.f_av_ale 
(-10, 7, 8), [2, 3, 0], 3.25.f_at_aly 
(-9, 4, 10), [3, 0, 2], 3.25.f_al_aeg 
(-9, 5, 9), [3, 1, 1], 3.25.f_ag_afz 
(-7, 2, 10), [1, 2, 2], 3.25.f_l_eg 
(-7, 5, 7), [1, 1, 3], 3.25.f_ba_f 
(-4, -1, 10), [0, 3, 2], 3.25.f_bd_le 
(-3, -2, 10), [1, 2, 2], 3.25.f_bf_ly 
(-5, 1, 9), [3, 1, 1], 3.25.f_bi_hx 
(-5, 3, 7), [3, 3, 3], 3.25.f_bu_fp 
(-3, 3, 5), [1, 3, 1], 3.25.f_co_hx 
(-1, 1, 5), [3, 1, 1], 3.25.f_cw_jl 
(-10, 7, 9), [2, 3, 1], 3.25.g_aw_ams 
(-7, 3, 10), [1, 3, 2], 3.25.g_o_dm 
(-3, -1, 10), [1, 3, 2], 3.25.g_bm_ms 
(-10, 8, 9), [2, 0, 1], 3.25.h_ax_aog 
(-9, 6, 10), [3, 2, 2], 3.25.h_aj_ahi 
(-7, 4, 10), [1, 0, 2], 3.25.h_r_cs 
(-7, 5, 9), [1, 1, 1], 3.25.h_w_bj 
(-5, 3, 9), [3, 3, 1], 3.25.h_bq_ih 
(-2, -1, 10), [2, 3, 2], 3.25.h_bv_og 
(-1, 3, 5), [3, 3, 1], 3.25.h_de_mx 
(1, 1, 5), [1, 1, 1], 3.25.h_di_nr 
(-10, 9, 9), [2, 1, 1], 3.25.i_ay_apu 
(-9, 7, 10), [3, 3, 2], 3.25.i_ai_aiw 
(-1, -1, 10), [3, 3, 2], 3.25.i_ce_pu 
(-9, 8, 10), [3, 0, 2], 3.25.j_ah_akk 
(-7, 6, 10), [1, 2, 2], 3.25.j_x_be 
(-5, 7, 7), [3, 3, 3], 3.25.j_cc_hx 
(-3, 2, 10), [1, 2, 2], 3.25.j_ch_pa 
(-2, 1, 10), [2, 1, 2], 3.25.j_cl_qo 
(-3, 5, 7), [1, 1, 3], 3.25.j_cw_nh 
(1, 3, 5), [1, 3, 1], 3.25.j_du_rx 
(2, 2, 5), [2, 2, 1], 3.25.j_dv_sc 
(-9, 9, 10), [3, 1, 2], 3.25.k_ag_aly 
(-7, 7, 10), [1, 3, 2], 3.25.k_ba_k 
(-3, 3, 10), [1, 3, 2], 3.25.k_co_pu 
(-7, 8, 10), [1, 0, 2], 3.25.l_bd_ak 
(-5, 7, 9), [3, 3, 1], 3.25.l_cg_jb 
(-3, 4, 10), [1, 0, 2], 3.25.l_cv_qo 
(-3, 5, 9), [1, 1, 1], 3.25.l_da_pz 
(-2, 3, 10), [2, 3, 2], 3.25.l_db_sw 
(-1, 2, 10), [3, 2, 2], 3.25.l_df_uk 
(-1, 5, 7), [3, 1, 3], 3.25.l_du_tv 
(2, 4, 5), [2, 0, 1], 3.25.l_ej_ws 
(3, 3, 5), [3, 3, 1], 3.25.l_ek_wx 
(-7, 9, 10), [1, 1, 2], 3.25.m_bg_abe 
(-1, 3, 10), [3, 3, 2], 3.25.m_do_vy 
(3, 4, 5), [3, 0, 1], 3.25.m_es_zk 
(-5, 9, 9), [3, 1, 1], 3.25.n_co_jl 
(-4, 7, 10), [0, 3, 2], 3.25.n_cz_og 
(-3, 6, 10), [1, 2, 2], 3.25.n_dj_sc 
(-1, 4, 10), [3, 0, 2], 3.25.n_dx_xm 
(-1, 5, 9), [3, 1, 1], 3.25.n_ec_xh 
(1, 2, 10), [1, 2, 2], 3.25.n_ed_zu 
(1, 5, 7), [1, 1, 3], 3.25.n_es_baj 
(2, 5, 6), [2, 1, 2], 3.25.n_ex_bbi 
(4, 4, 5), [0, 0, 1], 3.25.n_fb_bcc 
(-3, 7, 10), [1, 3, 2], 3.25.o_dq_sw 
(-4, 9, 10), [0, 1, 2], 3.25.p_dl_pa 
(-3, 8, 10), [1, 0, 2], 3.25.p_dx_tq 
(-1, 6, 10), [3, 2, 2], 3.25.p_ep_bao 
(1, 4, 10), [1, 0, 2], 3.25.p_ez_bek 
(2, 3, 10), [2, 3, 2], 3.25.p_fb_bfe 
(1, 5, 9), [1, 1, 1], 3.25.p_fe_bep 
(3, 5, 7), [3, 1, 3], 3.25.p_fq_bgx 
(4, 5, 6), [0, 1, 2], 3.25.p_ft_bhm 
(-3, 9, 10), [1, 1, 2], 3.25.q_ee_uk 
(-1, 7, 10), [3, 3, 2], 3.25.q_ey_bcc 
(2, 4, 10), [2, 0, 2], 3.25.q_fn_bhw 
(4, 5, 7), [0, 1, 3], 3.25.q_gc_bke 
(-2, 9, 10), [2, 1, 2], 3.25.r_ex_zu 
(-1, 8, 10), [3, 0, 2], 3.25.r_fh_bdq 
(3, 4, 10), [3, 0, 2], 3.25.r_gb_bli 
(3, 5, 9), [3, 1, 1], 3.25.r_gg_blx 
(4, 5, 8), [0, 1, 0], 3.25.r_gl_bmw 
(5, 6, 6), [1, 2, 2], 3.25.r_gp_bnq 
(-1, 9, 10), [3, 1, 2], 3.25.s_fq_bfe 
(4, 5, 9), [0, 1, 1], 3.25.s_gu_bpo 
(5, 6, 7), [1, 2, 3], 3.25.s_ha_bqs 
