(-8, 0, 9), [15, 0, 9], 3.23.b_ad_bu 
(-7, 0, 8), [16, 0, 8], 3.23.b_n_bu 
(-6, 0, 7), [17, 0, 7], 3.23.b_bb_bu 
(-5, 0, 6), [18, 0, 6], 3.23.b_bn_bu 
(-4, 0, 5), [19, 0, 5], 3.23.b_bx_bu 
(-3, 0, 4), [20, 0, 4], 3.23.b_cf_bu 
(-2, 0, 3), [21, 0, 3], 3.23.b_cl_bu 
(-7, 0, 9), [16, 0, 9], 3.23.c_g_do 
(-6, 0, 8), [17, 0, 8], 3.23.c_v_do 
(-5, 0, 7), [18, 0, 7], 3.23.c_bi_do 
(-4, 0, 6), [19, 0, 6], 3.23.c_bt_do 
(-3, 0, 5), [20, 0, 5], 3.23.c_cc_do 
(-2, 0, 4), [21, 0, 4], 3.23.c_cj_do 
(-1, 0, 3), [22, 0, 3], 3.23.c_co_do 
(-6, 0, 9), [17, 0, 9], 3.23.d_p_fi 
(-5, 0, 8), [18, 0, 8], 3.23.d_bd_fi 
(-4, 0, 7), [19, 0, 7], 3.23.d_bp_fi 
(-3, 0, 6), [20, 0, 6], 3.23.d_bz_fi 
(-2, 0, 5), [21, 0, 5], 3.23.d_ch_fi 
(-1, 0, 4), [22, 0, 4], 3.23.d_cn_fi 
(-5, 0, 9), [18, 0, 9], 3.23.e_y_hc 
(-4, 0, 8), [19, 0, 8], 3.23.e_bl_hc 
(-3, 0, 7), [20, 0, 7], 3.23.e_bw_hc 
(-2, 0, 6), [21, 0, 6], 3.23.e_cf_hc 
(-1, 0, 5), [22, 0, 5], 3.23.e_cm_hc 
(0, 1, 3), [0, 1, 3], 3.23.e_cu_hc 
(0, 2, 2), [0, 2, 2], 3.23.e_cv_hc 
(-4, 0, 9), [19, 0, 9], 3.23.f_bh_iw 
(-3, 0, 8), [20, 0, 8], 3.23.f_bt_iw 
(-2, 0, 7), [21, 0, 7], 3.23.f_cd_iw 
(-1, 0, 6), [22, 0, 6], 3.23.f_cl_iw 
(-3, 0, 9), [20, 0, 9], 3.23.g_bq_kq 
(-2, 0, 8), [21, 0, 8], 3.23.g_cb_kq 
(-1, 0, 7), [22, 0, 7], 3.23.g_ck_kq 
(0, 1, 5), [0, 1, 5], 3.23.g_cw_kq 
(0, 2, 4), [0, 2, 4], 3.23.g_cz_kq 
(0, 3, 3), [0, 3, 3], 3.23.g_da_kq 
(-2, 0, 9), [21, 0, 9], 3.23.h_bz_mk 
(-1, 0, 8), [22, 0, 8], 3.23.h_cj_mk 
(0, 1, 6), [0, 1, 6], 3.23.h_cx_mk 
(0, 2, 5), [0, 2, 5], 3.23.h_db_mk 
(-1, 0, 9), [22, 0, 9], 3.23.i_ci_oe 
(0, 1, 7), [0, 1, 7], 3.23.i_cy_oe 
(0, 2, 6), [0, 2, 6], 3.23.i_dd_oe 
(0, 3, 5), [0, 3, 5], 3.23.i_dg_oe 
(0, 4, 4), [0, 4, 4], 3.23.i_dh_oe 
(0, 1, 8), [0, 1, 8], 3.23.j_cz_py 
(0, 2, 7), [0, 2, 7], 3.23.j_df_py 
(0, 3, 6), [0, 3, 6], 3.23.j_dj_py 
(0, 4, 5), [0, 4, 5], 3.23.j_dl_py 
(0, 1, 9), [0, 1, 9], 3.23.k_da_rs 
(0, 2, 8), [0, 2, 8], 3.23.k_dh_rs 
(0, 3, 7), [0, 3, 7], 3.23.k_dm_rs 
(0, 4, 6), [0, 4, 6], 3.23.k_dp_rs 
(0, 5, 5), [0, 5, 5], 3.23.k_dq_rs 
(0, 2, 9), [0, 2, 9], 3.23.l_dj_tm 
(0, 3, 8), [0, 3, 8], 3.23.l_dp_tm 
(0, 4, 7), [0, 4, 7], 3.23.l_dt_tm 
(0, 5, 6), [0, 5, 6], 3.23.l_dv_tm 
(0, 3, 9), [0, 3, 9], 3.23.m_ds_vg 
(0, 4, 8), [0, 4, 8], 3.23.m_dx_vg 
