(-5, -1, 2), [3, 3, 2], 3.25.ae_cq_ahi 
(-10, -1, 8), [2, 3, 0], 3.25.ad_ad_acs 
(-10, 1, 6), [2, 1, 2], 3.25.ad_l_aic 
(-6, -5, 8), [2, 3, 0], 3.25.ad_r_dm 
(-5, -4, 6), [3, 0, 2], 3.25.ad_bp_abe 
(-6, -2, 5), [2, 2, 1], 3.25.ad_bv_adm 
(-4, -4, 5), [0, 0, 1], 3.25.ad_bz_acs 
(-5, -2, 4), [3, 2, 0], 3.25.ad_cf_aeg 
(-10, -1, 9), [2, 3, 1], 3.25.ac_ao_ak 
(-8, -4, 10), [0, 0, 2], 3.25.ac_an_im 
(-6, -6, 10), [2, 2, 2], 3.25.ac_aj_ka 
(-6, -5, 9), [2, 3, 1], 3.25.ac_g_go 
(-10, 2, 6), [2, 2, 2], 3.25.ac_h_aim 
(-10, 4, 4), [2, 0, 0], 3.25.ac_l_aka 
(-9, 2, 5), [3, 2, 1], 3.25.ac_w_ahi 
(-8, 1, 5), [0, 1, 1], 3.25.ac_bg_afk 
(-5, -4, 7), [3, 0, 3], 3.25.ac_bg_bo 
(-5, -3, 6), [3, 1, 2], 3.25.ac_bq_ak 
(-6, -1, 5), [2, 3, 1], 3.25.ac_bu_acs 
(-4, -3, 5), [0, 1, 1], 3.25.ac_ca_abo 
(-5, -1, 4), [3, 3, 0], 3.25.ac_ce_adc 
(-5, 1, 2), [3, 1, 2], 3.25.ac_ck_aeg 
(-8, -3, 10), [0, 1, 2], 3.25.ab_al_hi 
(-10, 1, 8), [2, 1, 0], 3.25.ab_ah_afa 
(-5, -4, 8), [3, 0, 0], 3.25.ab_x_eg 
(-8, 2, 5), [0, 2, 1], 3.25.ab_bd_afa 
(-5, -2, 6), [3, 2, 2], 3.25.ab_br_k 
(-4, -2, 5), [0, 2, 1], 3.25.ab_cb_ak 
(-5, 2, 2), [3, 2, 2], 3.25.ab_ch_acs 
(-10, 2, 8), [2, 2, 0], 3.25.a_aj_age 
(-8, -2, 10), [0, 2, 2], 3.25.a_aj_ge 
(-9, 4, 5), [3, 0, 1], 3.25.a_o_agy 
(-5, -4, 9), [3, 0, 1], 3.25.a_o_gy 
(-8, 3, 5), [0, 3, 1], 3.25.a_ba_aeq 
(-5, -3, 8), [3, 1, 0], 3.25.a_ba_eq 
(-7, 2, 5), [1, 2, 1], 3.25.a_bk_acs 
(-5, -2, 7), [3, 2, 3], 3.25.a_bk_cs 
(-6, 1, 5), [2, 1, 1], 3.25.a_bs_abe 
(-5, -1, 6), [3, 3, 2], 3.25.a_bs_be 
(-5, 1, 4), [3, 1, 0], 3.25.a_cc_au 
(-4, -1, 5), [0, 3, 1], 3.25.a_cc_u 
(-5, 2, 3), [3, 2, 3], 3.25.a_ce_abe 
(-3, -2, 5), [1, 2, 1], 3.25.a_ce_be 
(-10, 3, 8), [2, 3, 0], 3.25.b_al_ahi 
(-8, -1, 10), [0, 3, 2], 3.25.b_ah_fa 
(-8, 4, 5), [0, 0, 1], 3.25.b_x_aeg 
(-5, -2, 8), [3, 2, 0], 3.25.b_bd_fa 
(-6, 2, 5), [2, 2, 1], 3.25.b_br_ak 
(-5, 2, 4), [3, 2, 0], 3.25.b_cb_k 
(-2, -2, 5), [2, 2, 1], 3.25.b_ch_cs 
(-9, 1, 10), [3, 1, 2], 3.25.c_ao_k 
(-10, 4, 8), [2, 0, 0], 3.25.c_an_aim 
(-10, 6, 6), [2, 2, 2], 3.25.c_aj_aka 
(-9, 5, 6), [3, 1, 2], 3.25.c_g_ago 
(-6, -2, 10), [2, 2, 2], 3.25.c_h_im 
