(-6, 0, 4), [13, 0, 4], 3.19.ac_bh_acy 
(-5, 0, 3), [14, 0, 3], 3.19.ac_bq_acy 
(-4, 0, 2), [15, 0, 2], 3.19.ac_bx_acy 
(-3, 0, 1), [16, 0, 1], 3.19.ac_cc_acy 
(-8, 0, 7), [11, 0, 7], 3.19.ab_b_abm 
(-7, 0, 6), [12, 0, 6], 3.19.ab_p_abm 
(-6, 0, 5), [13, 0, 5], 3.19.ab_bb_abm 
(-5, 0, 4), [14, 0, 4], 3.19.ab_bl_abm 
(-4, 0, 3), [15, 0, 3], 3.19.ab_bt_abm 
(-3, 0, 2), [16, 0, 2], 3.19.ab_bz_abm 
(-8, 0, 8), [11, 0, 8], 3.19.a_ah_a 
(-7, 0, 7), [12, 0, 7], 3.19.a_i_a 
(-6, 0, 6), [13, 0, 6], 3.19.a_v_a 
(-5, 0, 5), [14, 0, 5], 3.19.a_bg_a 
(-4, 0, 4), [15, 0, 4], 3.19.a_bp_a 
(-3, 0, 3), [16, 0, 3], 3.19.a_bw_a 
(-2, 0, 2), [17, 0, 2], 3.19.a_cb_a 
(-7, 0, 8), [12, 0, 8], 3.19.b_b_bm 
(-6, 0, 7), [13, 0, 7], 3.19.b_p_bm 
(-5, 0, 6), [14, 0, 6], 3.19.b_bb_bm 
(-4, 0, 5), [15, 0, 5], 3.19.b_bl_bm 
(-3, 0, 4), [16, 0, 4], 3.19.b_bt_bm 
(-2, 0, 3), [17, 0, 3], 3.19.b_bz_bm 
(-6, 0, 8), [13, 0, 8], 3.19.c_j_cy 
(-5, 0, 7), [14, 0, 7], 3.19.c_w_cy 
(-4, 0, 6), [15, 0, 6], 3.19.c_bh_cy 
(-3, 0, 5), [16, 0, 5], 3.19.c_bq_cy 
(-2, 0, 4), [17, 0, 4], 3.19.c_bx_cy 
(-1, 0, 3), [18, 0, 3], 3.19.c_cc_cy 
(-5, 0, 8), [14, 0, 8], 3.19.d_r_ek 
(-4, 0, 7), [15, 0, 7], 3.19.d_bd_ek 
(-3, 0, 6), [16, 0, 6], 3.19.d_bn_ek 
(-2, 0, 5), [17, 0, 5], 3.19.d_bv_ek 
(-1, 0, 4), [18, 0, 4], 3.19.d_cb_ek 
(-4, 0, 8), [15, 0, 8], 3.19.e_z_fw 
(-3, 0, 7), [16, 0, 7], 3.19.e_bk_fw 
(-2, 0, 6), [17, 0, 6], 3.19.e_bt_fw 
(-1, 0, 5), [18, 0, 5], 3.19.e_ca_fw 
(0, 1, 3), [0, 1, 3], 3.19.e_ci_fw 
(0, 2, 2), [0, 2, 2], 3.19.e_cj_fw 
(-3, 0, 8), [16, 0, 8], 3.19.f_bh_hi 
(-2, 0, 7), [17, 0, 7], 3.19.f_br_hi 
(-1, 0, 6), [18, 0, 6], 3.19.f_bz_hi 
(-2, 0, 8), [17, 0, 8], 3.19.g_bp_iu 
(-1, 0, 7), [18, 0, 7], 3.19.g_by_iu 
(0, 1, 5), [0, 1, 5], 3.19.g_ck_iu 
(0, 2, 4), [0, 2, 4], 3.19.g_cn_iu 
(0, 3, 3), [0, 3, 3], 3.19.g_co_iu 
(-1, 0, 8), [18, 0, 8], 3.19.h_bx_kg 
(0, 1, 6), [0, 1, 6], 3.19.h_cl_kg 
(0, 2, 5), [0, 2, 5], 3.19.h_cp_kg 
(0, 1, 7), [0, 1, 7], 3.19.i_cm_ls 
(0, 2, 6), [0, 2, 6], 3.19.i_cr_ls 
