(-3, -3, 24), [5, 5, 0], 3.8.ad_ad_y 
(-3, -3, 28), [5, 5, 4], 3.8.ad_ad_bc 
(-3, -3, 32), [5, 5, 0], 3.8.ad_ad_bg 
(-3, -3, 36), [5, 5, 4], 3.8.ad_ad_bk 
(-3, -3, 40), [5, 5, 0], 3.8.ad_ad_bo 
(-3, -1, 12), [5, 7, 4], 3.8.ad_ab_m 
(-3, -1, 16), [5, 7, 0], 3.8.ad_ab_q 
(-3, -1, 20), [5, 7, 4], 3.8.ad_ab_u 
(-3, -1, 24), [5, 7, 0], 3.8.ad_ab_y 
(-3, -1, 28), [5, 7, 4], 3.8.ad_ab_bc 
(-3, -1, 32), [5, 7, 0], 3.8.ad_ab_bg 
(-3, 1, 0), [5, 1, 0], 3.8.ad_b_a 
(-3, 1, 4), [5, 1, 4], 3.8.ad_b_e 
(-3, 1, 8), [5, 1, 0], 3.8.ad_b_i 
(-3, 1, 12), [5, 1, 4], 3.8.ad_b_m 
(-3, 1, 16), [5, 1, 0], 3.8.ad_b_q 
(-3, 1, 20), [5, 1, 4], 3.8.ad_b_u 
(-3, 1, 24), [5, 1, 0], 3.8.ad_b_y 
(-3, 3, -12), [5, 3, 4], 3.8.ad_d_am 
(-3, 3, -8), [5, 3, 0], 3.8.ad_d_ai 
(-3, 3, -4), [5, 3, 4], 3.8.ad_d_ae 
(-3, 3, 0), [5, 3, 0], 3.8.ad_d_a 
(-3, 3, 4), [5, 3, 4], 3.8.ad_d_e 
(-3, 3, 8), [5, 3, 0], 3.8.ad_d_i 
(-3, 3, 12), [5, 3, 4], 3.8.ad_d_m 
(-3, 3, 16), [5, 3, 0], 3.8.ad_d_q 
(-3, 5, -24), [5, 5, 0], 3.8.ad_f_ay 
(-3, 5, -20), [5, 5, 4], 3.8.ad_f_au 
(-3, 5, -16), [5, 5, 0], 3.8.ad_f_aq 
(-3, 5, -8), [5, 5, 0], 3.8.ad_f_ai 
(-3, 5, -4), [5, 5, 4], 3.8.ad_f_ae 
(-3, 5, 0), [5, 5, 0], 3.8.ad_f_a 
(-3, 5, 4), [5, 5, 4], 3.8.ad_f_e 
(-3, 5, 8), [5, 5, 0], 3.8.ad_f_i 
(-3, 7, -36), [5, 7, 4], 3.8.ad_h_abk 
(-3, 7, -32), [5, 7, 0], 3.8.ad_h_abg 
(-3, 7, -28), [5, 7, 4], 3.8.ad_h_abc 
(-3, 7, -24), [5, 7, 0], 3.8.ad_h_ay 
(-3, 7, -20), [5, 7, 4], 3.8.ad_h_au 
(-3, 7, -16), [5, 7, 0], 3.8.ad_h_aq 
(-3, 7, -12), [5, 7, 4], 3.8.ad_h_am 
(-3, 7, -8), [5, 7, 0], 3.8.ad_h_ai 
(-3, 7, 0), [5, 7, 0], 3.8.ad_h_a 
(-3, 9, -44), [5, 1, 4], 3.8.ad_j_abs 
(-3, 9, -40), [5, 1, 0], 3.8.ad_j_abo 
(-3, 9, -36), [5, 1, 4], 3.8.ad_j_abk 
(-3, 9, -32), [5, 1, 0], 3.8.ad_j_abg 
(-3, 9, -28), [5, 1, 4], 3.8.ad_j_abc 
(-3, 9, -24), [5, 1, 0], 3.8.ad_j_ay 
(-3, 9, -20), [5, 1, 4], 3.8.ad_j_au 
(-3, 9, -16), [5, 1, 0], 3.8.ad_j_aq 
(-3, 9, -12), [5, 1, 4], 3.8.ad_j_am 
(-3, 9, -8), [5, 1, 0], 3.8.ad_j_ai 
(-3, 11, -56), [5, 3, 0], 3.8.ad_l_ace 
(-3, 11, -52), [5, 3, 4], 3.8.ad_l_aca 
(-3, 11, -44), [5, 3, 4], 3.8.ad_l_abs 
(-3, 11, -40), [5, 3, 0], 3.8.ad_l_abo 
(-3, 11, -36), [5, 3, 4], 3.8.ad_l_abk 
(-3, 11, -32), [5, 3, 0], 3.8.ad_l_abg 
(-3, 11, -28), [5, 3, 4], 3.8.ad_l_abc 
(-3, 11, -24), [5, 3, 0], 3.8.ad_l_ay 
(-3, 11, -20), [5, 3, 4], 3.8.ad_l_au 
(-3, 11, -16), [5, 3, 0], 3.8.ad_l_aq 
(-3, 13, -52), [5, 5, 4], 3.8.ad_n_aca 
(-3, 13, -44), [5, 5, 4], 3.8.ad_n_abs 
(-3, 13, -40), [5, 5, 0], 3.8.ad_n_abo 
(-3, 13, -36), [5, 5, 4], 3.8.ad_n_abk 
(-3, 13, -32), [5, 5, 0], 3.8.ad_n_abg 
(-3, 13, -28), [5, 5, 4], 3.8.ad_n_abc 
(-3, 13, -24), [5, 5, 0], 3.8.ad_n_ay 
(-3, 13, -16), [5, 5, 0], 3.8.ad_n_aq 
(-3, 15, -52), [5, 7, 4], 3.8.ad_p_aca 
(-3, 15, -44), [5, 7, 4], 3.8.ad_p_abs 
(-3, 15, -40), [5, 7, 0], 3.8.ad_p_abo 
(-3, 15, -36), [5, 7, 4], 3.8.ad_p_abk 
(-3, 15, -32), [5, 7, 0], 3.8.ad_p_abg 
(-3, 15, -24), [5, 7, 0], 3.8.ad_p_ay 
(-3, 17, -44), [5, 1, 4], 3.8.ad_r_abs 
(-3, 17, -40), [5, 1, 0], 3.8.ad_r_abo 
(-3, 17, -32), [5, 1, 0], 3.8.ad_r_abg 
(-3, 17, -28), [5, 1, 4], 3.8.ad_r_abc 
(-3, 19, -40), [5, 3, 0], 3.8.ad_t_abo 
(-3, 19, -36), [5, 3, 4], 3.8.ad_t_abk 
(-3, 21, -44), [5, 5, 4], 3.8.ad_v_abs 
(-3, 21, -40), [5, 5, 0], 3.8.ad_v_abo 
(-3, 23, -44), [5, 7, 4], 3.8.ad_x_abs 
(-2, -7, 28), [6, 1, 4], 3.8.ac_ah_bc 
(-2, -5, 16), [6, 3, 0], 3.8.ac_af_q 
(-2, -5, 24), [6, 3, 0], 3.8.ac_af_y 
(-2, -5, 32), [6, 3, 0], 3.8.ac_af_bg 
(-2, -5, 44), [6, 3, 4], 3.8.ac_af_bs 
(-2, -5, 48), [6, 3, 0], 3.8.ac_af_bw 
(-2, -1, 28), [6, 7, 4], 3.8.ac_ab_bc 
(-2, -1, 32), [6, 7, 0], 3.8.ac_ab_bg 
(-2, 3, -28), [6, 3, 4], 3.8.ac_d_abc 
(-2, 3, 12), [6, 3, 4], 3.8.ac_d_m 
(-2, 7, -48), [6, 7, 0], 3.8.ac_h_abw 
(-2, 15, -24), [6, 7, 0], 3.8.ac_p_ay 
(-2, 15, -16), [6, 7, 0], 3.8.ac_p_aq 
(-2, 19, -28), [6, 3, 4], 3.8.ac_t_abc 
(-1, -7, 12), [7, 1, 4], 3.8.ab_ah_m 
(-1, -7, 16), [7, 1, 0], 3.8.ab_ah_q 
(-1, -7, 20), [7, 1, 4], 3.8.ab_ah_u 
(-1, -5, 0), [7, 3, 0], 3.8.ab_af_a 
(-1, -5, 4), [7, 3, 4], 3.8.ab_af_e 
(-1, -5, 8), [7, 3, 0], 3.8.ab_af_i 
(-1, -5, 12), [7, 3, 4], 3.8.ab_af_m 
(-1, -5, 16), [7, 3, 0], 3.8.ab_af_q 
(-1, -5, 20), [7, 3, 4], 3.8.ab_af_u 
(-1, -5, 24), [7, 3, 0], 3.8.ab_af_y 
(-1, -5, 28), [7, 3, 4], 3.8.ab_af_bc 
(-1, -5, 32), [7, 3, 0], 3.8.ab_af_bg 
(-1, -3, -12), [7, 5, 4], 3.8.ab_ad_am 
(-1, -3, -8), [7, 5, 0], 3.8.ab_ad_ai 
(-1, -3, -4), [7, 5, 4], 3.8.ab_ad_ae 
(-1, -3, 0), [7, 5, 0], 3.8.ab_ad_a 
(-1, -3, 4), [7, 5, 4], 3.8.ab_ad_e 
(-1, -3, 8), [7, 5, 0], 3.8.ab_ad_i 
(-1, -3, 12), [7, 5, 4], 3.8.ab_ad_m 
(-1, -3, 16), [7, 5, 0], 3.8.ab_ad_q 
(-1, -3, 20), [7, 5, 4], 3.8.ab_ad_u 
(-1, -3, 24), [7, 5, 0], 3.8.ab_ad_y 
(-1, -3, 28), [7, 5, 4], 3.8.ab_ad_bc 
(-1, -3, 32), [7, 5, 0], 3.8.ab_ad_bg 
(-1, -3, 36), [7, 5, 4], 3.8.ab_ad_bk 
(-1, -3, 40), [7, 5, 0], 3.8.ab_ad_bo 
(-1, -1, -20), [7, 7, 4], 3.8.ab_ab_au 
(-1, -1, -12), [7, 7, 4], 3.8.ab_ab_am 
(-1, -1, -8), [7, 7, 0], 3.8.ab_ab_ai 
(-1, -1, -4), [7, 7, 4], 3.8.ab_ab_ae 
(-1, -1, 0), [7, 7, 0], 3.8.ab_ab_a 
(-1, -1, 4), [7, 7, 4], 3.8.ab_ab_e 
(-1, -1, 8), [7, 7, 0], 3.8.ab_ab_i 
(-1, -1, 12), [7, 7, 4], 3.8.ab_ab_m 
(-1, -1, 16), [7, 7, 0], 3.8.ab_ab_q 
