(-17, 154, -910), [3, 2, 2], 3.25.ar_fy_abja 
(-17, 156, -945), [3, 0, 3], 3.25.ar_ga_abkj 
(-17, 156, -935), [3, 0, 1], 3.25.ar_ga_abjz 
(-17, 157, -955), [3, 1, 1], 3.25.ar_gb_abkt 
(-17, 158, -970), [3, 2, 2], 3.25.ar_gc_abli 
(-17, 158, -960), [3, 2, 0], 3.25.ar_gc_abky 
(-17, 158, -955), [3, 2, 1], 3.25.ar_gc_abkt 
(-17, 158, -945), [3, 2, 3], 3.25.ar_gc_abkj 
(-17, 159, -965), [3, 3, 3], 3.25.ar_gd_abld 
(-17, 163, -980), [3, 3, 0], 3.25.ar_gh_abls 
(-17, 164, -990), [3, 0, 2], 3.25.ar_gi_abmc 
(-17, 164, -985), [3, 0, 3], 3.25.ar_gi_ablx 
(-17, 167, -1005), [3, 3, 3], 3.25.ar_gl_abmr 
(-16, 112, -565), [0, 0, 3], 3.25.aq_ei_avt 
(-16, 114, -585), [0, 2, 3], 3.25.aq_ek_awn 
(-16, 116, -605), [0, 0, 3], 3.25.aq_em_axh 
(-16, 117, -615), [0, 1, 1], 3.25.aq_en_axr 
(-16, 119, -635), [0, 3, 1], 3.25.aq_ep_ayl 
(-16, 121, -655), [0, 1, 1], 3.25.aq_er_azf 
(-16, 122, -665), [0, 2, 3], 3.25.aq_es_azp 
(-16, 123, -670), [0, 3, 2], 3.25.aq_et_azu 
(-16, 124, -685), [0, 0, 3], 3.25.aq_eu_abaj 
(-16, 126, -705), [0, 2, 3], 3.25.aq_ew_abbd 
(-16, 126, -695), [0, 2, 1], 3.25.aq_ew_abat 
(-16, 127, -705), [0, 3, 3], 3.25.aq_ex_abbd 
(-16, 128, -715), [0, 0, 1], 3.25.aq_ey_abbn 
(-16, 131, -735), [0, 3, 1], 3.25.aq_fb_abch 
(-16, 132, -765), [0, 0, 3], 3.25.aq_fc_abdl 
(-16, 132, -755), [0, 0, 1], 3.25.aq_fc_abdb 
(-16, 132, -745), [0, 0, 3], 3.25.aq_fc_abcr 
(-16, 134, -785), [0, 2, 3], 3.25.aq_fe_abef 
(-16, 134, -780), [0, 2, 0], 3.25.aq_fe_abea 
(-16, 134, -765), [0, 2, 3], 3.25.aq_fe_abdl 
(-16, 136, -805), [0, 0, 3], 3.25.aq_fg_abez 
(-16, 136, -795), [0, 0, 1], 3.25.aq_fg_abep 
(-16, 136, -785), [0, 0, 3], 3.25.aq_fg_abef 
(-16, 137, -815), [0, 1, 1], 3.25.aq_fh_abfj 
(-16, 137, -805), [0, 1, 3], 3.25.aq_fh_abez 
(-16, 137, -795), [0, 1, 1], 3.25.aq_fh_abep 
(-16, 138, -820), [0, 2, 0], 3.25.aq_fi_abfo 
(-16, 138, -815), [0, 2, 1], 3.25.aq_fi_abfj 
(-16, 138, -805), [0, 2, 3], 3.25.aq_fi_abez 
(-16, 138, -795), [0, 2, 1], 3.25.aq_fi_abep 
(-16, 139, -815), [0, 3, 1], 3.25.aq_fj_abfj 
(-16, 141, -830), [0, 1, 2], 3.25.aq_fl_abfy 
(-16, 142, -865), [0, 2, 3], 3.25.aq_fm_abhh 
(-16, 142, -855), [0, 2, 1], 3.25.aq_fm_abgx 
(-16, 142, -845), [0, 2, 3], 3.25.aq_fm_abgn 
(-16, 142, -840), [0, 2, 0], 3.25.aq_fm_abgi 
(-16, 142, -835), [0, 2, 1], 3.25.aq_fm_abgd 
(-16, 144, -885), [0, 0, 3], 3.25.aq_fo_abib 
(-16, 144, -880), [0, 0, 0], 3.25.aq_fo_abhw 
(-16, 144, -865), [0, 0, 3], 3.25.aq_fo_abhh 
(-16, 144, -855), [0, 0, 1], 3.25.aq_fo_abgx 
(-16, 144, -845), [0, 0, 3], 3.25.aq_fo_abgn 
(-16, 146, -895), [0, 2, 1], 3.25.aq_fq_abil 
(-16, 146, -885), [0, 2, 3], 3.25.aq_fq_abib 
(-16, 146, -865), [0, 2, 3], 3.25.aq_fq_abhh 
(-16, 146, -855), [0, 2, 1], 3.25.aq_fq_abgx 
(-16, 148, -895), [0, 0, 1], 3.25.aq_fs_abil 
(-16, 148, -885), [0, 0, 3], 3.25.aq_fs_abib 
(-16, 148, -880), [0, 0, 0], 3.25.aq_fs_abhw 
(-16, 151, -910), [0, 3, 2], 3.25.aq_fv_abja 
(-16, 151, -895), [0, 3, 1], 3.25.aq_fv_abil 
(-16, 152, -915), [0, 0, 1], 3.25.aq_fw_abjf 
(-16, 152, -905), [0, 0, 3], 3.25.aq_fw_abiv 
(-16, 153, -910), [0, 1, 2], 3.25.aq_fx_abja 
(-16, 154, -915), [0, 2, 1], 3.25.aq_fy_abjf 
(-15, 92, -415), [1, 0, 1], 3.25.ap_do_apz 
(-15, 96, -455), [1, 0, 1], 3.25.ap_ds_arn 
(-15, 97, -465), [1, 1, 3], 3.25.ap_dt_arx 
(-15, 102, -515), [1, 2, 1], 3.25.ap_dy_atv 
(-15, 103, -520), [1, 3, 0], 3.25.ap_dz_aua 
(-15, 104, -535), [1, 0, 1], 3.25.ap_ea_aup 
(-15, 106, -555), [1, 2, 1], 3.25.ap_ec_avj 
(-15, 106, -545), [1, 2, 3], 3.25.ap_ec_auz 
(-15, 107, -555), [1, 3, 1], 3.25.ap_ed_avj 
(-15, 108, -565), [1, 0, 3], 3.25.ap_ee_avt 
(-15, 112, -615), [1, 0, 1], 3.25.ap_ei_axr 
(-15, 112, -605), [1, 0, 3], 3.25.ap_ei_axh 
(-15, 112, -595), [1, 0, 1], 3.25.ap_ei_awx 
(-15, 113, -605), [1, 1, 3], 3.25.ap_ej_axh 
(-15, 114, -635), [1, 2, 1], 3.25.ap_ek_ayl 
(-15, 114, -630), [1, 2, 2], 3.25.ap_ek_ayg 
(-15, 116, -655), [1, 0, 1], 3.25.ap_em_azf 
(-15, 116, -635), [1, 0, 1], 3.25.ap_em_ayl 
(-15, 117, -645), [1, 1, 3], 3.25.ap_en_ayv 
(-15, 117, -640), [1, 1, 0], 3.25.ap_en_ayq 
(-15, 118, -665), [1, 2, 3], 3.25.ap_eo_azp 
(-15, 118, -655), [1, 2, 1], 3.25.ap_eo_azf 
(-15, 119, -685), [1, 3, 3], 3.25.ap_ep_abaj 
(-15, 122, -715), [1, 2, 1], 3.25.ap_es_abbn 
(-15, 122, -705), [1, 2, 3], 3.25.ap_es_abbd 
(-15, 122, -695), [1, 2, 1], 3.25.ap_es_abat 
(-15, 122, -685), [1, 2, 3], 3.25.ap_es_abaj 
(-15, 122, -680), [1, 2, 0], 3.25.ap_es_abae 
(-15, 123, -720), [1, 3, 0], 3.25.ap_et_abbs 
(-15, 124, -735), [1, 0, 1], 3.25.ap_eu_abch 
(-15, 124, -715), [1, 0, 1], 3.25.ap_eu_abbn 
(-15, 124, -695), [1, 0, 1], 3.25.ap_eu_abat 
(-15, 126, -745), [1, 2, 3], 3.25.ap_ew_abcr 
(-15, 126, -735), [1, 2, 1], 3.25.ap_ew_abch 
(-15, 127, -720), [1, 3, 0], 3.25.ap_ex_abbs 
(-15, 128, -770), [1, 0, 2], 3.25.ap_ey_abdq 
(-15, 128, -755), [1, 0, 1], 3.25.ap_ey_abdb 
(-15, 128, -745), [1, 0, 3], 3.25.ap_ey_abcr 
(-15, 128, -735), [1, 0, 1], 3.25.ap_ey_abch 
(-15, 129, -735), [1, 1, 1], 3.25.ap_ez_abch 
(-15, 132, -810), [1, 0, 2], 3.25.ap_fc_abfe 
(-15, 132, -805), [1, 0, 3], 3.25.ap_fc_abez 
(-15, 132, -795), [1, 0, 1], 3.25.ap_fc_abep 
(-15, 132, -770), [1, 0, 2], 3.25.ap_fc_abdq 
(-15, 132, -765), [1, 0, 3], 3.25.ap_fc_abdl 
(-15, 132, -760), [1, 0, 0], 3.25.ap_fc_abdg 
(-15, 133, -815), [1, 1, 1], 3.25.ap_fd_abfj 
(-15, 133, -805), [1, 1, 3], 3.25.ap_fd_abez 
(-15, 133, -795), [1, 1, 1], 3.25.ap_fd_abep 
(-15, 133, -780), [1, 1, 0], 3.25.ap_fd_abea 
(-15, 134, -815), [1, 2, 1], 3.25.ap_fe_abfj 
(-15, 134, -805), [1, 2, 3], 3.25.ap_fe_abez 
(-15, 136, -815), [1, 0, 1], 3.25.ap_fg_abfj 
(-15, 136, -795), [1, 0, 1], 3.25.ap_fg_abep 
(-15, 138, -830), [1, 2, 2], 3.25.ap_fi_abfy 
(-15, 138, -805), [1, 2, 3], 3.25.ap_fi_abez 
(-15, 141, -835), [1, 1, 1], 3.25.ap_fl_abgd 
(-15, 142, -840), [1, 2, 0], 3.25.ap_fm_abgi 
(-15, 142, -830), [1, 2, 2], 3.25.ap_fm_abfy 
(-15, 143, -835), [1, 3, 1], 3.25.ap_fn_abgd 
(-14, 74, -285), [2, 2, 3], 3.25.ao_cw_akz 
(-14, 76, -305), [2, 0, 3], 3.25.ao_cy_alt 
(-14, 77, -315), [2, 1, 1], 3.25.ao_cz_amd 
(-14, 79, -335), [2, 3, 1], 3.25.ao_db_amx 
(-14, 82, -365), [2, 2, 3], 3.25.ao_de_aob 
(-14, 82, -360), [2, 2, 0], 3.25.ao_de_anw 
(-14, 84, -385), [2, 0, 3], 3.25.ao_dg_aov 
(-14, 86, -405), [2, 2, 3], 3.25.ao_di_app 
(-14, 86, -395), [2, 2, 1], 3.25.ao_di_apf 
(-14, 88, -415), [2, 0, 1], 3.25.ao_dk_apz 
(-14, 89, -435), [2, 1, 1], 3.25.ao_dl_aqt 
(-14, 91, -455), [2, 3, 1], 3.25.ao_dn_arn 
(-14, 91, -445), [2, 3, 3], 3.25.ao_dn_ard 
(-14, 92, -465), [2, 0, 3], 3.25.ao_do_arx 
(-14, 92, -455), [2, 0, 1], 3.25.ao_do_arn 
(-14, 93, -470), [2, 1, 2], 3.25.ao_dp_asc 
(-14, 94, -465), [2, 2, 3], 3.25.ao_dq_arx 
(-14, 96, -505), [2, 0, 3], 3.25.ao_ds_atl 
(-14, 96, -495), [2, 0, 1], 3.25.ao_ds_atb 
(-14, 96, -485), [2, 0, 3], 3.25.ao_ds_asr 
(-14, 97, -490), [2, 1, 2], 3.25.ao_dt_asw 
(-14, 98, -515), [2, 2, 1], 3.25.ao_du_atv 
(-14, 98, -505), [2, 2, 3], 3.25.ao_du_atl 
(-14, 101, -555), [2, 1, 1], 3.25.ao_dx_avj 
(-14, 101, -540), [2, 1, 0], 3.25.ao_dx_auu 
(-14, 101, -535), [2, 1, 1], 3.25.ao_dx_aup 
(-14, 102, -565), [2, 2, 3], 3.25.ao_dy_avt 
(-14, 102, -555), [2, 2, 1], 3.25.ao_dy_avj 
(-14, 102, -545), [2, 2, 3], 3.25.ao_dy_auz 
(-14, 102, -540), [2, 2, 0], 3.25.ao_dy_auu 
(-14, 102, -535), [2, 2, 1], 3.25.ao_dy_aup 
(-14, 104, -585), [2, 0, 3], 3.25.ao_ea_awn 
(-14, 104, -565), [2, 0, 3], 3.25.ao_ea_avt 
