(-8, 36, -130), [0, 0, 2], 3.13.ai_bk_afa 
(-8, 37, -143), [0, 1, 1], 3.13.ai_bl_afn 
(-8, 37, -130), [0, 1, 2], 3.13.ai_bl_afa 
(-8, 38, -156), [0, 2, 0], 3.13.ai_bm_aga 
(-8, 40, -156), [0, 0, 0], 3.13.ai_bo_aga 
(-8, 41, -156), [0, 1, 0], 3.13.ai_bp_aga 
(-8, 42, -182), [0, 2, 2], 3.13.ai_bq_aha 
(-8, 43, -182), [0, 3, 2], 3.13.ai_br_aha 
(-8, 43, -169), [0, 3, 3], 3.13.ai_br_agn 
(-8, 43, -156), [0, 3, 0], 3.13.ai_br_aga 
(-8, 44, -182), [0, 0, 2], 3.13.ai_bs_aha 
(-8, 45, -195), [0, 1, 1], 3.13.ai_bt_ahn 
(-8, 45, -182), [0, 1, 2], 3.13.ai_bt_aha 
(-8, 45, -169), [0, 1, 3], 3.13.ai_bt_agn 
(-8, 46, -182), [0, 2, 2], 3.13.ai_bu_aha 
(-8, 47, -195), [0, 3, 1], 3.13.ai_bv_ahn 
(-8, 47, -182), [0, 3, 2], 3.13.ai_bv_aha 
(-8, 48, -182), [0, 0, 2], 3.13.ai_bw_aha 
(-8, 49, -195), [0, 1, 1], 3.13.ai_bx_ahn 
(-8, 51, -195), [0, 3, 1], 3.13.ai_bz_ahn 
(-7, 2, 78), [1, 2, 2], 3.13.ah_c_da 
(-7, 7, 39), [1, 3, 3], 3.13.ah_h_bn 
(-7, 9, 26), [1, 1, 2], 3.13.ah_j_ba 
(-7, 10, 26), [1, 2, 2], 3.13.ah_k_ba 
(-7, 14, 0), [1, 2, 0], 3.13.ah_o_a 
(-7, 15, -13), [1, 3, 3], 3.13.ah_p_an 
(-7, 16, -26), [1, 0, 2], 3.13.ah_q_aba 
(-7, 17, -26), [1, 1, 2], 3.13.ah_r_aba 
(-7, 18, -26), [1, 2, 2], 3.13.ah_s_aba 
(-7, 19, -39), [1, 3, 1], 3.13.ah_t_abn 
