(-8, 32, -119), [9, 15, 0], 3.17.ai_bg_aep 
(-8, 32, -85), [9, 15, 0], 3.17.ai_bg_adh 
(-8, 36, -153), [9, 2, 0], 3.17.ai_bk_afx 
(-8, 36, -119), [9, 2, 0], 3.17.ai_bk_aep 
(-8, 38, -153), [9, 4, 0], 3.17.ai_bm_afx 
(-8, 40, -187), [9, 6, 0], 3.17.ai_bo_ahf 
(-8, 40, -153), [9, 6, 0], 3.17.ai_bo_afx 
(-8, 42, -187), [9, 8, 0], 3.17.ai_bq_ahf 
(-8, 42, -153), [9, 8, 0], 3.17.ai_bq_afx 
(-8, 44, -221), [9, 10, 0], 3.17.ai_bs_ain 
(-8, 44, -187), [9, 10, 0], 3.17.ai_bs_ahf 
(-8, 46, -221), [9, 12, 0], 3.17.ai_bu_ain 
(-8, 46, -187), [9, 12, 0], 3.17.ai_bu_ahf 
(-8, 48, -255), [9, 14, 0], 3.17.ai_bw_ajv 
(-8, 48, -221), [9, 14, 0], 3.17.ai_bw_ain 
(-8, 48, -187), [9, 14, 0], 3.17.ai_bw_ahf 
(-8, 50, -255), [9, 16, 0], 3.17.ai_by_ajv 
(-8, 50, -221), [9, 16, 0], 3.17.ai_by_ain 
(-8, 52, -255), [9, 1, 0], 3.17.ai_ca_ajv 
(-8, 52, -221), [9, 1, 0], 3.17.ai_ca_ain 
(-8, 54, -255), [9, 3, 0], 3.17.ai_cc_ajv 
(-8, 54, -221), [9, 3, 0], 3.17.ai_cc_ain 
(-8, 56, -255), [9, 5, 0], 3.17.ai_ce_ajv 
(-8, 58, -255), [9, 7, 0], 3.17.ai_cg_ajv 
(-8, 60, -255), [9, 9, 0], 3.17.ai_ci_ajv 
(-8, 62, -255), [9, 11, 0], 3.17.ai_ck_ajv 
(-7, -14, 221), [10, 3, 0], 3.17.ah_ao_in 
(-7, -10, 187), [10, 7, 0], 3.17.ah_ak_hf 
(-7, -6, 153), [10, 11, 0], 3.17.ah_ag_fx 
(-7, -2, 119), [10, 15, 0], 3.17.ah_ac_ep 
(-7, 2, 85), [10, 2, 0], 3.17.ah_c_dh 
(-7, 4, 85), [10, 4, 0], 3.17.ah_e_dh 
(-7, 6, 51), [10, 6, 0], 3.17.ah_g_bz 
(-7, 8, 51), [10, 8, 0], 3.17.ah_i_bz 
(-7, 12, 17), [10, 12, 0], 3.17.ah_m_r 
