(-5, -2, 54), [3, 2, 2], 3.9.af_ac_cc 
(-5, -1, 48), [3, 3, 0], 3.9.af_ab_bw 
(-5, 2, 27), [3, 2, 3], 3.9.af_c_bb 
(-5, 2, 30), [3, 2, 2], 3.9.af_c_be 
(-5, 2, 33), [3, 2, 1], 3.9.af_c_bh 
(-5, 4, 15), [3, 0, 3], 3.9.af_e_p 
(-5, 4, 21), [3, 0, 1], 3.9.af_e_v 
(-5, 5, 12), [3, 1, 0], 3.9.af_f_m 
(-5, 7, 3), [3, 3, 3], 3.9.af_h_d 
(-5, 8, -9), [3, 0, 3], 3.9.af_i_aj 
(-5, 8, -6), [3, 0, 2], 3.9.af_i_ag 
(-5, 8, -3), [3, 0, 1], 3.9.af_i_ad 
(-5, 8, 0), [3, 0, 0], 3.9.af_i_a 
(-5, 10, -15), [3, 2, 1], 3.9.af_k_ap 
(-5, 10, -9), [3, 2, 3], 3.9.af_k_aj 
(-5, 13, -21), [3, 1, 3], 3.9.af_n_av 
(-5, 14, -45), [3, 2, 3], 3.9.af_o_abt 
(-5, 14, -39), [3, 2, 1], 3.9.af_o_abn 
(-5, 14, -27), [3, 2, 1], 3.9.af_o_abb 
(-5, 16, -45), [3, 0, 3], 3.9.af_q_abt 
(-5, 16, -42), [3, 0, 2], 3.9.af_q_abq 
(-5, 16, -33), [3, 0, 3], 3.9.af_q_abh 
(-5, 17, -36), [3, 1, 0], 3.9.af_r_abk 
(-5, 19, -75), [3, 3, 1], 3.9.af_t_acx 
(-5, 19, -72), [3, 3, 0], 3.9.af_t_acu 
(-5, 20, -81), [3, 0, 3], 3.9.af_u_add 
(-5, 20, -78), [3, 0, 2], 3.9.af_u_ada 
(-5, 20, -75), [3, 0, 1], 3.9.af_u_acx 
(-5, 20, -69), [3, 0, 3], 3.9.af_u_acr 
(-5, 20, -63), [3, 0, 1], 3.9.af_u_acl 
(-5, 20, -60), [3, 0, 0], 3.9.af_u_aci 
(-5, 22, -87), [3, 2, 1], 3.9.af_w_adj 
(-5, 22, -75), [3, 2, 1], 3.9.af_w_acx 
(-5, 22, -69), [3, 2, 3], 3.9.af_w_acr 
(-5, 22, -63), [3, 2, 1], 3.9.af_w_acl 
(-5, 23, -84), [3, 3, 0], 3.9.af_x_adg 
(-5, 26, -87), [3, 2, 1], 3.9.af_ba_adj 
(-5, 26, -81), [3, 2, 3], 3.9.af_ba_add 
(-5, 26, -78), [3, 2, 2], 3.9.af_ba_ada 
(-5, 26, -75), [3, 2, 1], 3.9.af_ba_acx 
(-5, 26, -72), [3, 2, 0], 3.9.af_ba_acu 
(-5, 28, -81), [3, 0, 3], 3.9.af_bc_add 
(-5, 29, -87), [3, 1, 1], 3.9.af_bd_adj 
(-5, 29, -84), [3, 1, 0], 3.9.af_bd_adg 
(-5, 29, -81), [3, 1, 3], 3.9.af_bd_add 
(-5, 31, -87), [3, 3, 1], 3.9.af_bf_adj 
(-4, -8, 69), [0, 0, 1], 3.9.ae_ai_cr 
(-4, -8, 72), [0, 0, 0], 3.9.ae_ai_cu 
(-4, -8, 75), [0, 0, 3], 3.9.ae_ai_cx 
(-4, -7, 66), [0, 1, 2], 3.9.ae_ah_co 
(-4, -7, 69), [0, 1, 1], 3.9.ae_ah_cr 
(-4, -5, 54), [0, 3, 2], 3.9.ae_af_cc 
(-4, -5, 57), [0, 3, 1], 3.9.ae_af_cf 
(-4, -5, 60), [0, 3, 0], 3.9.ae_af_ci 
(-4, -4, 45), [0, 0, 1], 3.9.ae_ae_bt 
(-4, -4, 51), [0, 0, 3], 3.9.ae_ae_bz 
(-4, -4, 57), [0, 0, 1], 3.9.ae_ae_cf 
(-4, -2, 33), [0, 2, 1], 3.9.ae_ac_bh 
(-4, -2, 36), [0, 2, 0], 3.9.ae_ac_bk 
(-4, -2, 39), [0, 2, 3], 3.9.ae_ac_bn 
(-4, -2, 45), [0, 2, 1], 3.9.ae_ac_bt 
(-4, -1, 27), [0, 3, 3], 3.9.ae_ab_bb 
(-4, -1, 30), [0, 3, 2], 3.9.ae_ab_be 
(-4, -1, 33), [0, 3, 1], 3.9.ae_ab_bh 
(-4, -1, 39), [0, 3, 3], 3.9.ae_ab_bn 
(-4, -1, 42), [0, 3, 2], 3.9.ae_ab_bq 
(-4, 2, 9), [0, 2, 1], 3.9.ae_c_j 
(-4, 2, 15), [0, 2, 3], 3.9.ae_c_p 
(-4, 2, 21), [0, 2, 1], 3.9.ae_c_v 
(-4, 2, 24), [0, 2, 0], 3.9.ae_c_y 
(-4, 2, 27), [0, 2, 3], 3.9.ae_c_bb 
(-4, 4, -3), [0, 0, 1], 3.9.ae_e_ad 
(-4, 4, 3), [0, 0, 3], 3.9.ae_e_d 
(-4, 4, 9), [0, 0, 1], 3.9.ae_e_j 
(-4, 4, 12), [0, 0, 0], 3.9.ae_e_m 
(-4, 4, 21), [0, 0, 1], 3.9.ae_e_v 
(-4, 5, -6), [0, 1, 2], 3.9.ae_f_ag 
(-4, 7, -21), [0, 3, 3], 3.9.ae_h_av 
(-4, 7, -15), [0, 3, 1], 3.9.ae_h_ap 
(-4, 7, 6), [0, 3, 2], 3.9.ae_h_g 
(-4, 8, -27), [0, 0, 1], 3.9.ae_i_abb 
(-4, 8, -21), [0, 0, 3], 3.9.ae_i_av 
(-4, 8, -9), [0, 0, 3], 3.9.ae_i_aj 
(-4, 8, 3), [0, 0, 3], 3.9.ae_i_d 
(-4, 10, -39), [0, 2, 1], 3.9.ae_k_abn 
(-4, 10, -33), [0, 2, 3], 3.9.ae_k_abh 
(-4, 10, -27), [0, 2, 1], 3.9.ae_k_abb 
(-4, 10, -21), [0, 2, 3], 3.9.ae_k_av 
(-4, 10, -15), [0, 2, 1], 3.9.ae_k_ap 
(-4, 10, -9), [0, 2, 3], 3.9.ae_k_aj 
(-4, 11, -27), [0, 3, 1], 3.9.ae_l_abb 
(-4, 11, -9), [0, 3, 3], 3.9.ae_l_aj 
(-4, 13, -39), [0, 1, 1], 3.9.ae_n_abn 
(-4, 14, -63), [0, 2, 1], 3.9.ae_o_acl 
(-4, 14, -57), [0, 2, 3], 3.9.ae_o_acf 
(-4, 14, -51), [0, 2, 1], 3.9.ae_o_abz 
(-4, 14, -45), [0, 2, 3], 3.9.ae_o_abt 
(-4, 14, -27), [0, 2, 1], 3.9.ae_o_abb 
(-4, 14, -21), [0, 2, 3], 3.9.ae_o_av 
(-4, 16, -69), [0, 0, 3], 3.9.ae_q_acr 
(-4, 16, -63), [0, 0, 1], 3.9.ae_q_acl 
(-4, 16, -57), [0, 0, 3], 3.9.ae_q_acf 
(-4, 16, -51), [0, 0, 1], 3.9.ae_q_abz 
(-4, 16, -48), [0, 0, 0], 3.9.ae_q_abw 
(-4, 16, -45), [0, 0, 3], 3.9.ae_q_abt 
(-4, 16, -39), [0, 0, 1], 3.9.ae_q_abn 
(-4, 16, -33), [0, 0, 3], 3.9.ae_q_abh 
(-4, 17, -75), [0, 1, 1], 3.9.ae_r_acx 
(-4, 17, -69), [0, 1, 3], 3.9.ae_r_acr 
(-4, 19, -69), [0, 3, 3], 3.9.ae_t_acr 
(-4, 20, -69), [0, 0, 3], 3.9.ae_u_acr 
(-4, 20, -63), [0, 0, 1], 3.9.ae_u_acl 
(-4, 20, -57), [0, 0, 3], 3.9.ae_u_acf 
(-4, 20, -51), [0, 0, 1], 3.9.ae_u_abz 
(-4, 20, -45), [0, 0, 3], 3.9.ae_u_abt 
(-4, 22, -69), [0, 2, 3], 3.9.ae_w_acr 
(-4, 22, -66), [0, 2, 2], 3.9.ae_w_aco 
(-4, 22, -63), [0, 2, 1], 3.9.ae_w_acl 
(-4, 22, -57), [0, 2, 3], 3.9.ae_w_acf 
(-4, 22, -51), [0, 2, 1], 3.9.ae_w_abz 
(-4, 23, -69), [0, 3, 3], 3.9.ae_x_acr 
(-4, 26, -63), [0, 2, 1], 3.9.ae_ba_acl 
(-4, 28, -69), [0, 0, 3], 3.9.ae_bc_acr 
(-3, -8, 54), [1, 0, 2], 3.9.ad_ai_cc 
(-3, -8, 57), [1, 0, 1], 3.9.ad_ai_cf 
(-3, -7, 57), [1, 1, 1], 3.9.ad_ah_cf 
(-3, -7, 60), [1, 1, 0], 3.9.ad_ah_ci 
(-3, -7, 63), [1, 1, 3], 3.9.ad_ah_cl 
(-3, -5, 33), [1, 3, 1], 3.9.ad_af_bh 
(-3, -5, 36), [1, 3, 0], 3.9.ad_af_bk 
(-3, -5, 45), [1, 3, 1], 3.9.ad_af_bt 
(-3, -5, 51), [1, 3, 3], 3.9.ad_af_bz 
(-3, -5, 57), [1, 3, 1], 3.9.ad_af_cf 
(-3, -4, 27), [1, 0, 3], 3.9.ad_ae_bb 
(-3, -4, 30), [1, 0, 2], 3.9.ad_ae_be 
(-3, -4, 33), [1, 0, 1], 3.9.ad_ae_bh 
(-3, -4, 45), [1, 0, 1], 3.9.ad_ae_bt 
(-3, -2, 15), [1, 2, 3], 3.9.ad_ac_p 
(-3, -2, 21), [1, 2, 1], 3.9.ad_ac_v 
(-3, -2, 27), [1, 2, 3], 3.9.ad_ac_bb 
(-3, -2, 30), [1, 2, 2], 3.9.ad_ac_be 
(-3, -2, 39), [1, 2, 3], 3.9.ad_ac_bn 
(-3, -2, 45), [1, 2, 1], 3.9.ad_ac_bt 
(-3, -1, 12), [1, 3, 0], 3.9.ad_ab_m 
(-3, 1, -3), [1, 1, 1], 3.9.ad_b_ad 
(-3, 1, 15), [1, 1, 3], 3.9.ad_b_p 
(-3, 2, -9), [1, 2, 3], 3.9.ad_c_aj 
(-3, 2, -3), [1, 2, 1], 3.9.ad_c_ad 
(-3, 2, 3), [1, 2, 3], 3.9.ad_c_d 
(-3, 2, 9), [1, 2, 1], 3.9.ad_c_j 
(-3, 2, 27), [1, 2, 3], 3.9.ad_c_bb 
(-3, 4, -21), [1, 0, 3], 3.9.ad_e_av 
(-3, 4, -15), [1, 0, 1], 3.9.ad_e_ap 
(-3, 4, -9), [1, 0, 3], 3.9.ad_e_aj 
(-3, 4, 3), [1, 0, 3], 3.9.ad_e_d 
(-3, 4, 9), [1, 0, 1], 3.9.ad_e_j 
(-3, 4, 21), [1, 0, 1], 3.9.ad_e_v 
(-3, 5, -24), [1, 1, 0], 3.9.ad_f_ay 
(-3, 5, 3), [1, 1, 3], 3.9.ad_f_d 
(-3, 7, 0), [1, 3, 0], 3.9.ad_h_a 
(-3, 8, -45), [1, 0, 3], 3.9.ad_i_abt 
(-3, 8, -39), [1, 0, 1], 3.9.ad_i_abn 
(-3, 8, -27), [1, 0, 1], 3.9.ad_i_abb 
(-3, 8, -15), [1, 0, 1], 3.9.ad_i_ap 
(-3, 8, -3), [1, 0, 1], 3.9.ad_i_ad 
(-3, 10, -57), [1, 2, 3], 3.9.ad_k_acf 
(-3, 10, -45), [1, 2, 3], 3.9.ad_k_abt 
(-3, 10, -39), [1, 2, 1], 3.9.ad_k_abn 
(-3, 10, -33), [1, 2, 3], 3.9.ad_k_abh 
(-3, 10, -27), [1, 2, 1], 3.9.ad_k_abb 
(-3, 10, -21), [1, 2, 3], 3.9.ad_k_av 
(-3, 10, -15), [1, 2, 1], 3.9.ad_k_ap 
(-3, 10, -12), [1, 2, 0], 3.9.ad_k_am 
(-3, 10, -9), [1, 2, 3], 3.9.ad_k_aj 
(-3, 13, -57), [1, 1, 3], 3.9.ad_n_acf 
(-3, 14, -45), [1, 2, 3], 3.9.ad_o_abt 
(-3, 14, -33), [1, 2, 3], 3.9.ad_o_abh 
(-3, 14, -27), [1, 2, 1], 3.9.ad_o_abb 
(-3, 14, -21), [1, 2, 3], 3.9.ad_o_av 
(-3, 16, -57), [1, 0, 3], 3.9.ad_q_acf 
(-3, 16, -51), [1, 0, 1], 3.9.ad_q_abz 
(-3, 16, -45), [1, 0, 3], 3.9.ad_q_abt 
(-3, 16, -39), [1, 0, 1], 3.9.ad_q_abn 
(-3, 16, -27), [1, 0, 1], 3.9.ad_q_abb 
(-3, 19, -57), [1, 3, 3], 3.9.ad_t_acf 
(-3, 19, -48), [1, 3, 0], 3.9.ad_t_abw 
(-3, 19, -42), [1, 3, 2], 3.9.ad_t_abq 
(-3, 19, -33), [1, 3, 3], 3.9.ad_t_abh 
(-3, 20, -51), [1, 0, 1], 3.9.ad_u_abz 
(-3, 20, -39), [1, 0, 1], 3.9.ad_u_abn 
(-3, 22, -51), [1, 2, 1], 3.9.ad_w_abz 
(-3, 22, -48), [1, 2, 0], 3.9.ad_w_abw 
(-3, 22, -45), [1, 2, 3], 3.9.ad_w_abt 
(-3, 23, -51), [1, 3, 1], 3.9.ad_x_abz 
(-2, -8, 33), [2, 0, 1], 3.9.ac_ai_bh 
(-2, -8, 39), [2, 0, 3], 3.9.ac_ai_bn 
(-2, -7, 27), [2, 1, 3], 3.9.ac_ah_bb 
(-2, -7, 39), [2, 1, 3], 3.9.ac_ah_bn 
(-2, -7, 42), [2, 1, 2], 3.9.ac_ah_bq 
(-2, -5, 15), [2, 3, 3], 3.9.ac_af_p 
(-2, -5, 18), [2, 3, 2], 3.9.ac_af_s 
(-2, -5, 21), [2, 3, 1], 3.9.ac_af_v 
(-2, -5, 33), [2, 3, 1], 3.9.ac_af_bh 
(-2, -5, 39), [2, 3, 3], 3.9.ac_af_bn 
(-2, -5, 42), [2, 3, 2], 3.9.ac_af_bq 
(-2, -5, 54), [2, 3, 2], 3.9.ac_af_cc 
(-2, -5, 57), [2, 3, 1], 3.9.ac_af_cf 
(-2, -4, 9), [2, 0, 1], 3.9.ac_ae_j 
(-2, -4, 15), [2, 0, 3], 3.9.ac_ae_p 
(-2, -4, 21), [2, 0, 1], 3.9.ac_ae_v 
(-2, -4, 27), [2, 0, 3], 3.9.ac_ae_bb 
(-2, -4, 45), [2, 0, 1], 3.9.ac_ae_bt 
(-2, -4, 51), [2, 0, 3], 3.9.ac_ae_bz 
(-2, -2, -3), [2, 2, 1], 3.9.ac_ac_ad 
(-2, -2, 3), [2, 2, 3], 3.9.ac_ac_d 
(-2, -2, 9), [2, 2, 1], 3.9.ac_ac_j 
(-2, -2, 12), [2, 2, 0], 3.9.ac_ac_m 
(-2, -2, 15), [2, 2, 3], 3.9.ac_ac_p 
(-2, -2, 21), [2, 2, 1], 3.9.ac_ac_v 
(-2, -2, 27), [2, 2, 3], 3.9.ac_ac_bb 
(-2, -2, 33), [2, 2, 1], 3.9.ac_ac_bh 
(-2, -2, 39), [2, 2, 3], 3.9.ac_ac_bn 
(-2, -2, 45), [2, 2, 1], 3.9.ac_ac_bt 
(-2, -1, -9), [2, 3, 3], 3.9.ac_ab_aj 
(-2, -1, -6), [2, 3, 2], 3.9.ac_ab_ag 
(-2, -1, -3), [2, 3, 1], 3.9.ac_ab_ad 
(-2, -1, 3), [2, 3, 3], 3.9.ac_ab_d 
(-2, -1, 33), [2, 3, 1], 3.9.ac_ab_bh 
(-2, -1, 42), [2, 3, 2], 3.9.ac_ab_bq 
(-2, 1, -21), [2, 1, 3], 3.9.ac_b_av 
(-2, 1, -15), [2, 1, 1], 3.9.ac_b_ap 
(-2, 1, -12), [2, 1, 0], 3.9.ac_b_am 
(-2, 1, -3), [2, 1, 1], 3.9.ac_b_ad 
(-2, 1, 3), [2, 1, 3], 3.9.ac_b_d 
(-2, 1, 6), [2, 1, 2], 3.9.ac_b_g 
(-2, 1, 15), [2, 1, 3], 3.9.ac_b_p 
(-2, 1, 21), [2, 1, 1], 3.9.ac_b_v 
(-2, 2, -27), [2, 2, 1], 3.9.ac_c_abb 
(-2, 2, -24), [2, 2, 0], 3.9.ac_c_ay 
(-2, 2, -21), [2, 2, 3], 3.9.ac_c_av 
(-2, 2, -15), [2, 2, 1], 3.9.ac_c_ap 
(-2, 2, -9), [2, 2, 3], 3.9.ac_c_aj 
(-2, 2, 3), [2, 2, 3], 3.9.ac_c_d 
(-2, 2, 9), [2, 2, 1], 3.9.ac_c_j 
(-2, 2, 12), [2, 2, 0], 3.9.ac_c_m 
