(-5, 19, -66), [4, 1, 6], 3.9.af_t_aco 
(-5, 19, -63), [4, 1, 0], 3.9.af_t_acl 
(-5, 19, -60), [4, 1, 3], 3.9.af_t_aci 
(-5, 19, -57), [4, 1, 6], 3.9.af_t_acf 
(-5, 19, -54), [4, 1, 0], 3.9.af_t_acc 
(-5, 19, -51), [4, 1, 3], 3.9.af_t_abz 
(-5, 19, -45), [4, 1, 0], 3.9.af_t_abt 
(-5, 20, -72), [4, 2, 0], 3.9.af_u_acu 
(-5, 20, -66), [4, 2, 6], 3.9.af_u_aco 
(-5, 20, -54), [4, 2, 0], 3.9.af_u_acc 
(-5, 20, -48), [4, 2, 6], 3.9.af_u_abw 
(-5, 22, -84), [4, 4, 6], 3.9.af_w_adg 
(-5, 22, -78), [4, 4, 3], 3.9.af_w_ada 
(-5, 22, -66), [4, 4, 6], 3.9.af_w_aco 
(-5, 22, -60), [4, 4, 3], 3.9.af_w_aci 
(-5, 23, -87), [4, 5, 3], 3.9.af_x_adj 
(-5, 23, -81), [4, 5, 0], 3.9.af_x_add 
(-5, 23, -78), [4, 5, 3], 3.9.af_x_ada 
(-5, 23, -72), [4, 5, 0], 3.9.af_x_acu 
(-5, 23, -66), [4, 5, 6], 3.9.af_x_aco 
(-5, 23, -63), [4, 5, 0], 3.9.af_x_acl 
(-5, 25, -87), [4, 7, 3], 3.9.af_z_adj 
(-5, 25, -81), [4, 7, 0], 3.9.af_z_add 
(-5, 25, -78), [4, 7, 3], 3.9.af_z_ada 
(-5, 25, -75), [4, 7, 6], 3.9.af_z_acx 
(-5, 25, -72), [4, 7, 0], 3.9.af_z_acu 
(-5, 25, -69), [4, 7, 3], 3.9.af_z_acr 
(-5, 26, -84), [4, 8, 6], 3.9.af_ba_adg 
(-5, 28, -84), [4, 1, 6], 3.9.af_bc_adg 
(-4, -7, 63), [5, 2, 0], 3.9.ae_ah_cl 
(-4, -7, 72), [5, 2, 0], 3.9.ae_ah_cu 
(-4, -5, 51), [5, 4, 6], 3.9.ae_af_bz 
(-4, -4, 48), [5, 5, 3], 3.9.ae_ae_bw 
(-4, -4, 54), [5, 5, 0], 3.9.ae_ae_cc 
