(4, 6, 5), [0, 2, 1], 3.5.e_g_f 
(4, 8, 15), [0, 0, 3], 3.5.e_i_p 
(4, 12, 25), [0, 0, 1], 3.5.e_m_z 
(4, 12, 35), [0, 0, 3], 3.5.e_m_bj 
(4, 14, 35), [0, 2, 3], 3.5.e_o_bj 
(4, 16, 35), [0, 0, 3], 3.5.e_q_bj 
(5, 12, 25), [1, 0, 1], 3.5.f_m_z 
(5, 17, 45), [1, 1, 1], 3.5.f_r_bt 
(5, 18, 45), [1, 2, 1], 3.5.f_s_bt 
(6, 22, 55), [2, 2, 3], 3.5.g_w_cd 
(7, 23, 55), [3, 3, 3], 3.5.h_x_cd 
(7, 28, 75), [3, 0, 3], 3.5.h_bc_cx 
(8, 32, 85), [0, 0, 1], 3.5.i_bg_dh 
