(-3, 4, -6), [0, 1, 0] 
(-3, 5, -9), [0, 2, 0] 
(-3, 7, -15), [0, 1, 0] 
(-2, 1, 0), [1, 1, 0] 
(-2, 5, -6), [1, 2, 0] 
(-1, -2, 6), [2, 1, 0] 
(-1, -1, 3), [2, 2, 0] 
(-1, 1, -3), [2, 1, 0] 
(-1, 1, 3), [2, 1, 0] 
(-1, 2, 0), [2, 2, 0] 
(-1, 5, -3), [2, 2, 0] 
(0, 1, -6), [0, 1, 0] 
(0, 1, 6), [0, 1, 0] 
(1, -2, -6), [1, 1, 0] 
(1, -1, -3), [1, 2, 0] 
(1, 1, -3), [1, 1, 0] 
(1, 1, 3), [1, 1, 0] 
(1, 2, 0), [1, 2, 0] 
(1, 5, 3), [1, 2, 0] 
(2, 1, 0), [2, 1, 0] 
(2, 5, 6), [2, 2, 0] 
(3, 4, 6), [0, 1, 0] 
(3, 5, 9), [0, 2, 0] 
(3, 7, 15), [0, 1, 0] 
