(-11, 69, -320), [5, 5, 0], 3.16.al_cr_ami 
(-11, 69, -316), [5, 5, 4], 3.16.al_cr_ame 
(-11, 69, -312), [5, 5, 8], 3.16.al_cr_ama 
(-11, 69, -308), [5, 5, 12], 3.16.al_cr_alw 
(-11, 69, -304), [5, 5, 0], 3.16.al_cr_als 
(-11, 69, -300), [5, 5, 4], 3.16.al_cr_alo 
(-11, 71, -340), [5, 7, 12], 3.16.al_ct_anc 
(-11, 71, -336), [5, 7, 0], 3.16.al_ct_amy 
(-11, 71, -328), [5, 7, 8], 3.16.al_ct_amq 
(-11, 71, -324), [5, 7, 12], 3.16.al_ct_amm 
(-11, 71, -320), [5, 7, 0], 3.16.al_ct_ami 
(-11, 71, -316), [5, 7, 4], 3.16.al_ct_ame 
(-11, 71, -312), [5, 7, 8], 3.16.al_ct_ama 
(-11, 73, -356), [5, 9, 12], 3.16.al_cv_ans 
(-11, 73, -348), [5, 9, 4], 3.16.al_cv_ank 
(-11, 73, -344), [5, 9, 8], 3.16.al_cv_ang 
(-11, 73, -336), [5, 9, 0], 3.16.al_cv_amy 
(-11, 73, -332), [5, 9, 4], 3.16.al_cv_amu 
(-11, 73, -328), [5, 9, 8], 3.16.al_cv_amq 
(-11, 73, -324), [5, 9, 12], 3.16.al_cv_amm 
(-11, 75, -368), [5, 11, 0], 3.16.al_cx_aoe 
(-11, 75, -364), [5, 11, 4], 3.16.al_cx_aoa 
(-11, 75, -360), [5, 11, 8], 3.16.al_cx_anw 
(-11, 75, -356), [5, 11, 12], 3.16.al_cx_ans 
(-11, 75, -344), [5, 11, 8], 3.16.al_cx_ang 
(-11, 75, -340), [5, 11, 12], 3.16.al_cx_anc 
(-11, 75, -336), [5, 11, 0], 3.16.al_cx_amy 
(-11, 77, -372), [5, 13, 12], 3.16.al_cz_aoi 
(-11, 77, -368), [5, 13, 0], 3.16.al_cz_aoe 
(-11, 77, -364), [5, 13, 4], 3.16.al_cz_aoa 
(-11, 77, -360), [5, 13, 8], 3.16.al_cz_anw 
(-11, 77, -348), [5, 13, 4], 3.16.al_cz_ank 
(-11, 79, -376), [5, 15, 8], 3.16.al_db_aom 
(-11, 79, -372), [5, 15, 12], 3.16.al_db_aoi 
(-11, 79, -368), [5, 15, 0], 3.16.al_db_aoe 
(-11, 79, -360), [5, 15, 8], 3.16.al_db_anw 
(-11, 81, -380), [5, 1, 4], 3.16.al_dd_aoq 
(-11, 81, -376), [5, 1, 8], 3.16.al_dd_aom 
(-11, 81, -368), [5, 1, 0], 3.16.al_dd_aoe 
(-11, 83, -384), [5, 3, 0], 3.16.al_df_aou 
(-10, 35, -84), [6, 3, 12], 3.16.ak_bj_adg 
(-10, 39, -116), [6, 7, 12], 3.16.ak_bn_aem 
(-10, 43, -148), [6, 11, 12], 3.16.ak_br_afs 
(-10, 49, -192), [6, 1, 0], 3.16.ak_bx_ahk 
(-10, 51, -200), [6, 3, 8], 3.16.ak_bz_ahs 
(-10, 51, -192), [6, 3, 0], 3.16.ak_bz_ahk 
(-10, 53, -216), [6, 5, 8], 3.16.ak_cb_aii 
(-10, 55, -244), [6, 7, 12], 3.16.ak_cd_ajk 
(-10, 55, -232), [6, 7, 8], 3.16.ak_cd_aiy 
(-10, 55, -224), [6, 7, 0], 3.16.ak_cd_aiq 
