(-7, 9, 26), [6, 9, 0], 3.13.ah_j_ba 
(-7, 10, 26), [6, 10, 0], 3.13.ah_k_ba 
(-7, 14, 0), [6, 1, 0], 3.13.ah_o_a 
(-7, 15, -13), [6, 2, 0], 3.13.ah_p_an 
(-7, 16, -26), [6, 3, 0], 3.13.ah_q_aba 
(-7, 17, -26), [6, 4, 0], 3.13.ah_r_aba 
(-7, 18, -26), [6, 5, 0], 3.13.ah_s_aba 
(-7, 19, -39), [6, 6, 0], 3.13.ah_t_abn 
(-7, 20, -52), [6, 7, 0], 3.13.ah_u_aca 
(-7, 21, -52), [6, 8, 0], 3.13.ah_v_aca 
(-7, 21, -39), [6, 8, 0], 3.13.ah_v_abn 
(-7, 22, -52), [6, 9, 0], 3.13.ah_w_aca 
(-7, 23, -65), [6, 10, 0], 3.13.ah_x_acn 
(-7, 24, -78), [6, 11, 0], 3.13.ah_y_ada 
(-7, 25, -91), [6, 12, 0], 3.13.ah_z_adn 
(-7, 25, -65), [6, 12, 0], 3.13.ah_z_acn 
(-7, 27, -104), [6, 1, 0], 3.13.ah_bb_aea 
(-7, 27, -91), [6, 1, 0], 3.13.ah_bb_adn 
(-7, 27, -78), [6, 1, 0], 3.13.ah_bb_ada 
(-7, 28, -104), [6, 2, 0], 3.13.ah_bc_aea 
(-7, 28, -78), [6, 2, 0], 3.13.ah_bc_ada 
(-7, 29, -117), [6, 3, 0], 3.13.ah_bd_aen 
(-7, 29, -104), [6, 3, 0], 3.13.ah_bd_aea 
(-7, 29, -91), [6, 3, 0], 3.13.ah_bd_adn 
(-7, 30, -104), [6, 4, 0], 3.13.ah_be_aea 
(-7, 31, -130), [6, 5, 0], 3.13.ah_bf_afa 
(-7, 31, -117), [6, 5, 0], 3.13.ah_bf_aen 
(-7, 31, -104), [6, 5, 0], 3.13.ah_bf_aea 
(-7, 32, -130), [6, 6, 0], 3.13.ah_bg_afa 
(-7, 33, -143), [6, 7, 0], 3.13.ah_bh_afn 
(-7, 33, -130), [6, 7, 0], 3.13.ah_bh_afa 
(-7, 33, -117), [6, 7, 0], 3.13.ah_bh_aen 
(-7, 33, -104), [6, 7, 0], 3.13.ah_bh_aea 
(-7, 34, -130), [6, 8, 0], 3.13.ah_bi_afa 
(-7, 35, -156), [6, 9, 0], 3.13.ah_bj_aga 
(-7, 35, -143), [6, 9, 0], 3.13.ah_bj_afn 
(-7, 35, -130), [6, 9, 0], 3.13.ah_bj_afa 
(-7, 35, -117), [6, 9, 0], 3.13.ah_bj_aen 
(-7, 36, -130), [6, 10, 0], 3.13.ah_bk_afa 
(-7, 37, -169), [6, 11, 0], 3.13.ah_bl_agn 
