(-10, 63, -289), [2, 3, 3], 3.17.ak_cl_ald 
(-10, 63, -272), [2, 3, 0], 3.17.ak_cl_akm 
(-10, 64, -306), [2, 0, 2], 3.17.ak_cm_alu 
(-10, 65, -323), [2, 1, 1], 3.17.ak_cn_aml 
(-10, 65, -306), [2, 1, 2], 3.17.ak_cn_alu 
(-10, 65, -289), [2, 1, 3], 3.17.ak_cn_ald 
(-10, 66, -306), [2, 2, 2], 3.17.ak_co_alu 
(-10, 67, -323), [2, 3, 1], 3.17.ak_cp_aml 
(-10, 67, -306), [2, 3, 2], 3.17.ak_cp_alu 
(-10, 69, -323), [2, 1, 1], 3.17.ak_cr_aml 
(-10, 69, -306), [2, 1, 2], 3.17.ak_cr_alu 
(-10, 71, -323), [2, 3, 1], 3.17.ak_ct_aml 
(-9, 12, 68), [3, 0, 0], 3.17.aj_m_cq 
(-9, 16, 34), [3, 0, 2], 3.17.aj_q_bi 
(-9, 19, 17), [3, 3, 1], 3.17.aj_t_r 
(-9, 21, 0), [3, 1, 0], 3.17.aj_v_a 
(-9, 23, -17), [3, 3, 3], 3.17.aj_x_ar 
(-9, 26, -34), [3, 2, 2], 3.17.aj_ba_abi 
(-9, 27, -51), [3, 3, 1], 3.17.aj_bb_abz 
(-9, 29, -68), [3, 1, 0], 3.17.aj_bd_acq 
(-9, 30, -68), [3, 2, 0], 3.17.aj_be_acq 
(-9, 31, -85), [3, 3, 3], 3.17.aj_bf_adh 
(-9, 33, -102), [3, 1, 2], 3.17.aj_bh_ady 
(-9, 33, -85), [3, 1, 3], 3.17.aj_bh_adh 
(-9, 35, -119), [3, 3, 1], 3.17.aj_bj_aep 
(-9, 37, -119), [3, 1, 1], 3.17.aj_bl_aep 
(-9, 38, -136), [3, 2, 0], 3.17.aj_bm_afg 
(-9, 39, -153), [3, 3, 3], 3.17.aj_bn_afx 
(-9, 39, -136), [3, 3, 0], 3.17.aj_bn_afg 
(-9, 40, -136), [3, 0, 0], 3.17.aj_bo_afg 
(-9, 41, -170), [3, 1, 2], 3.17.aj_bp_ago 
