(1, -2, 0), [1, 2, 0], 3.5.b_ac_a 
(1, -1, -10), [1, 3, 2], 3.5.b_ab_ak 
(1, -1, -5), [1, 3, 3], 3.5.b_ab_af 
(1, -1, 0), [1, 3, 0], 3.5.b_ab_a 
(1, -1, 5), [1, 3, 1], 3.5.b_ab_f 
(1, 1, -15), [1, 1, 1], 3.5.b_b_ap 
(1, 1, -10), [1, 1, 2], 3.5.b_b_ak 
(1, 1, -5), [1, 1, 3], 3.5.b_b_af 
(1, 1, 0), [1, 1, 0], 3.5.b_b_a 
(1, 1, 5), [1, 1, 1], 3.5.b_b_f 
(1, 1, 15), [1, 1, 3], 3.5.b_b_p 
(1, 2, -10), [1, 2, 2], 3.5.b_c_ak 
(1, 2, 0), [1, 2, 0], 3.5.b_c_a 
(1, 2, 20), [1, 2, 0], 3.5.b_c_u 
(1, 3, -5), [1, 3, 3], 3.5.b_d_af 
(1, 3, 0), [1, 3, 0], 3.5.b_d_a 
(1, 3, 5), [1, 3, 1], 3.5.b_d_f 
(1, 3, 15), [1, 3, 3], 3.5.b_d_p 
(1, 4, 0), [1, 0, 0], 3.5.b_e_a 
(1, 6, 0), [1, 2, 0], 3.5.b_g_a 
(1, 7, 0), [1, 3, 0], 3.5.b_h_a 
(1, 7, 5), [1, 3, 1], 3.5.b_h_f 
(1, 7, 15), [1, 3, 3], 3.5.b_h_p 
(1, 9, 5), [1, 1, 1], 3.5.b_j_f 
(2, -3, -15), [2, 1, 1], 3.5.c_ad_ap 
(2, -2, -20), [2, 2, 0], 3.5.c_ac_au 
(2, -2, -10), [2, 2, 2], 3.5.c_ac_ak 
(2, -1, -15), [2, 3, 1], 3.5.c_ab_ap 
(2, -1, -10), [2, 3, 2], 3.5.c_ab_ak 
(2, 1, -10), [2, 1, 2], 3.5.c_b_ak 
(2, 1, -5), [2, 1, 3], 3.5.c_b_af 
(2, 1, 0), [2, 1, 0], 3.5.c_b_a 
(2, 2, 10), [2, 2, 2], 3.5.c_c_k 
(2, 3, 0), [2, 3, 0], 3.5.c_d_a 
(2, 3, 5), [2, 3, 1], 3.5.c_d_f 
(2, 3, 10), [2, 3, 2], 3.5.c_d_k 
(2, 4, 0), [2, 0, 0], 3.5.c_e_a 
(2, 4, 10), [2, 0, 2], 3.5.c_e_k 
(2, 7, 10), [2, 3, 2], 3.5.c_h_k 
(2, 7, 15), [2, 3, 3], 3.5.c_h_p 
(2, 8, 10), [2, 0, 2], 3.5.c_i_k 
(2, 9, 10), [2, 1, 2], 3.5.c_j_k 
(2, 9, 15), [2, 1, 3], 3.5.c_j_p 
(3, -2, -20), [3, 2, 0], 3.5.d_ac_au 
(3, 1, -5), [3, 1, 3], 3.5.d_b_af 
(3, 3, -5), [3, 3, 3], 3.5.d_d_af 
(3, 3, 0), [3, 3, 0], 3.5.d_d_a 
(3, 3, 5), [3, 3, 1], 3.5.d_d_f 
(3, 4, 0), [3, 0, 0], 3.5.d_e_a 
(3, 4, 10), [3, 0, 2], 3.5.d_e_k 
(3, 7, 15), [3, 3, 3], 3.5.d_h_p 
(3, 8, 10), [3, 0, 2], 3.5.d_i_k 
(3, 8, 20), [3, 0, 0], 3.5.d_i_u 
(3, 9, 15), [3, 1, 3], 3.5.d_j_p 
(3, 9, 20), [3, 1, 0], 3.5.d_j_u 
(3, 9, 25), [3, 1, 1], 3.5.d_j_z 
(3, 11, 20), [3, 3, 0], 3.5.d_l_u 
(3, 11, 25), [3, 3, 1], 3.5.d_l_z 
(3, 13, 25), [3, 1, 1], 3.5.d_n_z 
(4, 7, 10), [0, 3, 2], 3.5.e_h_k 
(4, 9, 15), [0, 1, 3], 3.5.e_j_p 
(4, 11, 20), [0, 3, 0], 3.5.e_l_u 
(4, 11, 25), [0, 3, 1], 3.5.e_l_z 
(4, 11, 30), [0, 3, 2], 3.5.e_l_be 
(4, 12, 30), [0, 0, 2], 3.5.e_m_be 
(4, 13, 30), [0, 1, 2], 3.5.e_n_be 
(5, 13, 25), [1, 1, 1], 3.5.f_n_z 
(5, 13, 30), [1, 1, 2], 3.5.f_n_be 
(5, 17, 40), [1, 1, 0], 3.5.f_r_bo 
(5, 19, 45), [1, 3, 1], 3.5.f_t_bt 
(6, 21, 55), [2, 1, 3], 3.5.g_v_cd 
