(-11, 65, -285), [8, 8, 0], 3.19.al_cn_akz 
(-11, 66, -304), [8, 9, 0], 3.19.al_co_als 
(-11, 67, -323), [8, 10, 0], 3.19.al_cp_aml 
(-11, 67, -304), [8, 10, 0], 3.19.al_cp_als 
(-11, 69, -323), [8, 12, 0], 3.19.al_cr_aml 
(-11, 70, -342), [8, 13, 0], 3.19.al_cs_ane 
(-11, 71, -361), [8, 14, 0], 3.19.al_ct_anx 
(-11, 71, -342), [8, 14, 0], 3.19.al_ct_ane 
(-11, 71, -323), [8, 14, 0], 3.19.al_ct_aml 
(-11, 72, -342), [8, 15, 0], 3.19.al_cu_ane 
(-11, 73, -380), [8, 16, 0], 3.19.al_cv_aoq 
(-11, 73, -361), [8, 16, 0], 3.19.al_cv_anx 
(-11, 73, -342), [8, 16, 0], 3.19.al_cv_ane 
(-11, 74, -380), [8, 17, 0], 3.19.al_cw_aoq 
(-11, 74, -342), [8, 17, 0], 3.19.al_cw_ane 
(-11, 75, -399), [8, 18, 0], 3.19.al_cx_apj 
(-11, 75, -380), [8, 18, 0], 3.19.al_cx_aoq 
(-11, 75, -361), [8, 18, 0], 3.19.al_cx_anx 
(-11, 77, -399), [8, 1, 0], 3.19.al_cz_apj 
(-11, 77, -380), [8, 1, 0], 3.19.al_cz_aoq 
(-11, 77, -361), [8, 1, 0], 3.19.al_cz_anx 
(-11, 78, -380), [8, 2, 0], 3.19.al_da_aoq 
(-11, 79, -399), [8, 3, 0], 3.19.al_db_apj 
(-11, 79, -380), [8, 3, 0], 3.19.al_db_aoq 
(-11, 80, -380), [8, 4, 0], 3.19.al_dc_aoq 
(-11, 81, -399), [8, 5, 0], 3.19.al_dd_apj 
(-11, 83, -399), [8, 7, 0], 3.19.al_df_apj 
(-11, 85, -437), [8, 9, 0], 3.19.al_dh_aqv 
(-11, 87, -437), [8, 11, 0], 3.19.al_dj_aqv 
(-11, 89, -437), [8, 13, 0], 3.19.al_dl_aqv 
(-10, 25, 0), [9, 6, 0], 3.19.ak_z_a 
(-10, 27, -19), [9, 8, 0], 3.19.ak_bb_at 
(-10, 29, -38), [9, 10, 0], 3.19.ak_bd_abm 
(-10, 30, -38), [9, 11, 0], 3.19.ak_be_abm 
(-10, 34, -76), [9, 15, 0], 3.19.ak_bi_acy 
(-10, 37, -95), [9, 18, 0], 3.19.ak_bl_adr 
(-10, 39, -114), [9, 1, 0], 3.19.ak_bn_aek 
(-10, 41, -133), [9, 3, 0], 3.19.ak_bp_afd 
(-10, 44, -152), [9, 6, 0], 3.19.ak_bs_afw 
(-10, 45, -171), [9, 7, 0], 3.19.ak_bt_agp 
(-10, 45, -152), [9, 7, 0], 3.19.ak_bt_afw 
(-10, 47, -190), [9, 9, 0], 3.19.ak_bv_ahi 
(-10, 47, -171), [9, 9, 0], 3.19.ak_bv_agp 
(-10, 48, -190), [9, 10, 0], 3.19.ak_bw_ahi 
(-10, 49, -209), [9, 11, 0], 3.19.ak_bx_aib 
(-10, 49, -190), [9, 11, 0], 3.19.ak_bx_ahi 
(-10, 50, -190), [9, 12, 0], 3.19.ak_by_ahi 
(-10, 51, -228), [9, 13, 0], 3.19.ak_bz_aiu 
(-10, 51, -209), [9, 13, 0], 3.19.ak_bz_aib 
(-10, 52, -228), [9, 14, 0], 3.19.ak_ca_aiu 
(-10, 53, -247), [9, 15, 0], 3.19.ak_cb_ajn 
(-10, 53, -228), [9, 15, 0], 3.19.ak_cb_aiu 
(-10, 53, -209), [9, 15, 0], 3.19.ak_cb_aib 
(-10, 55, -247), [9, 17, 0], 3.19.ak_cd_ajn 
(-10, 55, -228), [9, 17, 0], 3.19.ak_cd_aiu 
(-10, 56, -228), [9, 18, 0], 3.19.ak_ce_aiu 
(-10, 58, -266), [9, 1, 0], 3.19.ak_cg_akg 
(-10, 59, -285), [9, 2, 0], 3.19.ak_ch_akz 
(-10, 59, -266), [9, 2, 0], 3.19.ak_ch_akg 
(-10, 60, -304), [9, 3, 0], 3.19.ak_ci_als 
(-10, 60, -266), [9, 3, 0], 3.19.ak_ci_akg 
(-10, 61, -304), [9, 4, 0], 3.19.ak_cj_als 
(-10, 61, -285), [9, 4, 0], 3.19.ak_cj_akz 
(-10, 61, -266), [9, 4, 0], 3.19.ak_cj_akg 
(-10, 63, -323), [9, 6, 0], 3.19.ak_cl_aml 
(-10, 63, -304), [9, 6, 0], 3.19.ak_cl_als 
(-10, 64, -342), [9, 7, 0], 3.19.ak_cm_ane 
(-10, 64, -304), [9, 7, 0], 3.19.ak_cm_als 
(-10, 65, -342), [9, 8, 0], 3.19.ak_cn_ane 
(-10, 65, -323), [9, 8, 0], 3.19.ak_cn_aml 
(-10, 65, -304), [9, 8, 0], 3.19.ak_cn_als 
(-10, 65, -285), [9, 8, 0], 3.19.ak_cn_akz 
(-10, 66, -342), [9, 9, 0], 3.19.ak_co_ane 
(-10, 66, -304), [9, 9, 0], 3.19.ak_co_als 
(-10, 67, -361), [9, 10, 0], 3.19.ak_cp_anx 
(-10, 67, -342), [9, 10, 0], 3.19.ak_cp_ane 
(-10, 67, -323), [9, 10, 0], 3.19.ak_cp_aml 
(-10, 67, -304), [9, 10, 0], 3.19.ak_cp_als 
(-10, 68, -342), [9, 11, 0], 3.19.ak_cq_ane 
(-10, 68, -304), [9, 11, 0], 3.19.ak_cq_als 
(-10, 69, -361), [9, 12, 0], 3.19.ak_cr_anx 
(-10, 69, -342), [9, 12, 0], 3.19.ak_cr_ane 
(-10, 69, -323), [9, 12, 0], 3.19.ak_cr_aml 
(-10, 70, -342), [9, 13, 0], 3.19.ak_cs_ane 
(-10, 71, -361), [9, 14, 0], 3.19.ak_ct_anx 
(-10, 71, -342), [9, 14, 0], 3.19.ak_ct_ane 
(-10, 71, -323), [9, 14, 0], 3.19.ak_ct_aml 
(-10, 72, -342), [9, 15, 0], 3.19.ak_cu_ane 
(-10, 73, -361), [9, 16, 0], 3.19.ak_cv_anx 
(-10, 73, -342), [9, 16, 0], 3.19.ak_cv_ane 
(-10, 74, -342), [9, 17, 0], 3.19.ak_cw_ane 
(-10, 75, -361), [9, 18, 0], 3.19.ak_cx_anx 
(-10, 77, -361), [9, 1, 0], 3.19.ak_cz_anx 
(-10, 83, -399), [9, 7, 0], 3.19.ak_df_apj 
(-9, 3, 152), [10, 3, 0], 3.19.aj_d_fw 
(-9, 5, 133), [10, 5, 0], 3.19.aj_f_fd 
(-9, 12, 76), [10, 12, 0], 3.19.aj_m_cy 
(-9, 15, 57), [10, 15, 0], 3.19.aj_p_cf 
(-9, 16, 38), [10, 16, 0], 3.19.aj_q_bm 
(-9, 17, 38), [10, 17, 0], 3.19.aj_r_bm 
(-9, 21, 0), [10, 2, 0], 3.19.aj_v_a 
(-9, 22, 0), [10, 3, 0], 3.19.aj_w_a 
(-9, 23, -19), [10, 4, 0], 3.19.aj_x_at 
(-9, 25, -38), [10, 6, 0], 3.19.aj_z_abm 
(-9, 25, -19), [10, 6, 0], 3.19.aj_z_at 
(-9, 26, -38), [10, 7, 0], 3.19.aj_ba_abm 
(-9, 27, -57), [10, 8, 0], 3.19.aj_bb_acf 
(-9, 29, -76), [10, 10, 0], 3.19.aj_bd_acy 
(-9, 29, -57), [10, 10, 0], 3.19.aj_bd_acf 
(-9, 30, -76), [10, 11, 0], 3.19.aj_be_acy 
(-9, 31, -76), [10, 12, 0], 3.19.aj_bf_acy 
(-9, 32, -76), [10, 13, 0], 3.19.aj_bg_acy 
(-9, 33, -95), [10, 14, 0], 3.19.aj_bh_adr 
