(-11, 28, 23), [12, 5, 0], 3.23.al_bc_x 
(-11, 38, -69), [12, 15, 0], 3.23.al_bm_acr 
(-11, 42, -115), [12, 19, 0], 3.23.al_bq_ael 
(-11, 44, -115), [12, 21, 0], 3.23.al_bs_ael 
(-11, 48, -161), [12, 2, 0], 3.23.al_bw_agf 
(-11, 52, -207), [12, 6, 0], 3.23.al_ca_ahz 
(-11, 54, -207), [12, 8, 0], 3.23.al_cc_ahz 
(-11, 58, -253), [12, 12, 0], 3.23.al_cg_ajt 
(-11, 60, -253), [12, 14, 0], 3.23.al_ci_ajt 
(-11, 62, -299), [12, 16, 0], 3.23.al_ck_aln 
(-11, 66, -345), [12, 20, 0], 3.23.al_co_anh 
(-11, 66, -299), [12, 20, 0], 3.23.al_co_aln 
(-11, 68, -345), [12, 22, 0], 3.23.al_cq_anh 
(-11, 70, -345), [12, 1, 0], 3.23.al_cs_anh 
(-11, 72, -391), [12, 3, 0], 3.23.al_cu_apb 
(-11, 72, -345), [12, 3, 0], 3.23.al_cu_anh 
(-11, 74, -391), [12, 5, 0], 3.23.al_cw_apb 
(-11, 76, -437), [12, 7, 0], 3.23.al_cy_aqv 
(-11, 78, -437), [12, 9, 0], 3.23.al_da_aqv 
(-11, 78, -391), [12, 9, 0], 3.23.al_da_apb 
(-11, 80, -437), [12, 11, 0], 3.23.al_dc_aqv 
(-11, 80, -391), [12, 11, 0], 3.23.al_dc_apb 
(-11, 82, -483), [12, 13, 0], 3.23.al_de_asp 
(-11, 82, -437), [12, 13, 0], 3.23.al_de_aqv 
(-11, 84, -483), [12, 15, 0], 3.23.al_dg_asp 
(-11, 84, -437), [12, 15, 0], 3.23.al_dg_aqv 
(-11, 86, -483), [12, 17, 0], 3.23.al_di_asp 
(-11, 86, -437), [12, 17, 0], 3.23.al_di_aqv 
(-11, 88, -483), [12, 19, 0], 3.23.al_dk_asp 
(-11, 90, -483), [12, 21, 0], 3.23.al_dm_asp 
(-11, 94, -483), [12, 2, 0], 3.23.al_dq_asp 
(-11, 100, -529), [12, 8, 0], 3.23.al_dw_auj 
(-10, -11, 345), [13, 12, 0], 3.23.ak_al_nh 
(-10, 14, 115), [13, 14, 0], 3.23.ak_o_el 
(-10, 18, 69), [13, 18, 0], 3.23.ak_s_cr 
(-10, 24, 23), [13, 1, 0], 3.23.ak_y_x 
(-10, 28, -23), [13, 5, 0], 3.23.ak_bc_ax 
(-10, 30, -23), [13, 7, 0], 3.23.ak_be_ax 
(-10, 34, -69), [13, 11, 0], 3.23.ak_bi_acr 
(-10, 36, -69), [13, 13, 0], 3.23.ak_bk_acr 
(-10, 38, -115), [13, 15, 0], 3.23.ak_bm_ael 
(-10, 40, -115), [13, 17, 0], 3.23.ak_bo_ael 
(-10, 42, -161), [13, 19, 0], 3.23.ak_bq_agf 
(-10, 44, -161), [13, 21, 0], 3.23.ak_bs_agf 
(-10, 48, -207), [13, 2, 0], 3.23.ak_bw_ahz 
(-10, 50, -207), [13, 4, 0], 3.23.ak_by_ahz 
(-10, 52, -253), [13, 6, 0], 3.23.ak_ca_ajt 
(-10, 52, -207), [13, 6, 0], 3.23.ak_ca_ahz 
(-10, 54, -253), [13, 8, 0], 3.23.ak_cc_ajt 
(-10, 54, -207), [13, 8, 0], 3.23.ak_cc_ahz 
(-10, 56, -253), [13, 10, 0], 3.23.ak_ce_ajt 
(-10, 58, -299), [13, 12, 0], 3.23.ak_cg_aln 
(-10, 58, -253), [13, 12, 0], 3.23.ak_cg_ajt 
(-10, 60, -299), [13, 14, 0], 3.23.ak_ci_aln 
(-10, 60, -253), [13, 14, 0], 3.23.ak_ci_ajt 
(-10, 62, -345), [13, 16, 0], 3.23.ak_ck_anh 
(-10, 62, -299), [13, 16, 0], 3.23.ak_ck_aln 
(-10, 64, -345), [13, 18, 0], 3.23.ak_cm_anh 
(-10, 64, -299), [13, 18, 0], 3.23.ak_cm_aln 
(-10, 66, -391), [13, 20, 0], 3.23.ak_co_apb 
(-10, 66, -345), [13, 20, 0], 3.23.ak_co_anh 
(-10, 66, -299), [13, 20, 0], 3.23.ak_co_aln 
(-10, 68, -391), [13, 22, 0], 3.23.ak_cq_apb 
(-10, 68, -345), [13, 22, 0], 3.23.ak_cq_anh 
(-10, 70, -391), [13, 1, 0], 3.23.ak_cs_apb 
(-10, 70, -345), [13, 1, 0], 3.23.ak_cs_anh 
(-10, 72, -437), [13, 3, 0], 3.23.ak_cu_aqv 
(-10, 72, -391), [13, 3, 0], 3.23.ak_cu_apb 
(-10, 72, -345), [13, 3, 0], 3.23.ak_cu_anh 
(-10, 74, -437), [13, 5, 0], 3.23.ak_cw_aqv 
(-10, 74, -391), [13, 5, 0], 3.23.ak_cw_apb 
(-10, 74, -345), [13, 5, 0], 3.23.ak_cw_anh 
(-10, 76, -437), [13, 7, 0], 3.23.ak_cy_aqv 
(-10, 76, -391), [13, 7, 0], 3.23.ak_cy_apb 
(-10, 78, -437), [13, 9, 0], 3.23.ak_da_aqv 
(-10, 78, -391), [13, 9, 0], 3.23.ak_da_apb 
(-10, 80, -437), [13, 11, 0], 3.23.ak_dc_aqv 
(-10, 80, -391), [13, 11, 0], 3.23.ak_dc_apb 
(-10, 82, -437), [13, 13, 0], 3.23.ak_de_aqv 
(-10, 84, -437), [13, 15, 0], 3.23.ak_dg_aqv 
(-10, 86, -437), [13, 17, 0], 3.23.ak_di_aqv 
(-10, 88, -437), [13, 19, 0], 3.23.ak_dk_aqv 
(-10, 98, -483), [13, 6, 0], 3.23.ak_du_asp 
(-9, -11, 299), [14, 12, 0], 3.23.aj_al_ln 
(-9, -6, 253), [14, 17, 0], 3.23.aj_ag_jt 
(-9, 4, 161), [14, 4, 0], 3.23.aj_e_gf 
(-9, 10, 115), [14, 10, 0], 3.23.aj_k_el 
(-9, 16, 69), [14, 16, 0], 3.23.aj_q_cr 
(-9, 18, 23), [14, 18, 0], 3.23.aj_s_x 
