(-2, 1, 20), [2, 1, 0], 3.8.ac_b_u 
(-2, 1, 24), [2, 1, 0], 3.8.ac_b_y 
(-2, 3, -24), [2, 3, 0], 3.8.ac_d_ay 
(-2, 3, -16), [2, 3, 0], 3.8.ac_d_aq 
(-2, 3, -12), [2, 3, 0], 3.8.ac_d_am 
(-2, 3, -8), [2, 3, 0], 3.8.ac_d_ai 
(-2, 3, -4), [2, 3, 0], 3.8.ac_d_ae 
(-2, 3, 0), [2, 3, 0], 3.8.ac_d_a 
(-2, 3, 4), [2, 3, 0], 3.8.ac_d_e 
(-2, 3, 8), [2, 3, 0], 3.8.ac_d_i 
(-2, 3, 16), [2, 3, 0], 3.8.ac_d_q 
(-2, 5, -40), [2, 1, 0], 3.8.ac_f_abo 
(-2, 5, -36), [2, 1, 0], 3.8.ac_f_abk 
(-2, 5, -28), [2, 1, 0], 3.8.ac_f_abc 
(-2, 5, -24), [2, 1, 0], 3.8.ac_f_ay 
(-2, 5, -20), [2, 1, 0], 3.8.ac_f_au 
(-2, 5, -16), [2, 1, 0], 3.8.ac_f_aq 
(-2, 5, -8), [2, 1, 0], 3.8.ac_f_ai 
(-2, 5, -4), [2, 1, 0], 3.8.ac_f_ae 
(-2, 5, 0), [2, 1, 0], 3.8.ac_f_a 
(-2, 5, 4), [2, 1, 0], 3.8.ac_f_e 
(-2, 5, 8), [2, 1, 0], 3.8.ac_f_i 
(-2, 7, -44), [2, 3, 0], 3.8.ac_h_abs 
(-2, 7, -40), [2, 3, 0], 3.8.ac_h_abo 
(-2, 7, -36), [2, 3, 0], 3.8.ac_h_abk 
(-2, 7, -28), [2, 3, 0], 3.8.ac_h_abc 
(-2, 7, -24), [2, 3, 0], 3.8.ac_h_ay 
(-2, 7, -20), [2, 3, 0], 3.8.ac_h_au 
(-2, 7, -16), [2, 3, 0], 3.8.ac_h_aq 
(-2, 7, -12), [2, 3, 0], 3.8.ac_h_am 
(-2, 7, -8), [2, 3, 0], 3.8.ac_h_ai 
(-2, 7, 0), [2, 3, 0], 3.8.ac_h_a 
(-2, 7, 8), [2, 3, 0], 3.8.ac_h_i 
(-2, 9, -40), [2, 1, 0], 3.8.ac_j_abo 
(-2, 9, -36), [2, 1, 0], 3.8.ac_j_abk 
(-2, 9, -28), [2, 1, 0], 3.8.ac_j_abc 
(-2, 9, -24), [2, 1, 0], 3.8.ac_j_ay 
(-2, 9, -20), [2, 1, 0], 3.8.ac_j_au 
(-2, 9, -12), [2, 1, 0], 3.8.ac_j_am 
(-2, 9, -8), [2, 1, 0], 3.8.ac_j_ai 
(-2, 9, 0), [2, 1, 0], 3.8.ac_j_a 
(-2, 11, -40), [2, 3, 0], 3.8.ac_l_abo 
(-2, 11, -36), [2, 3, 0], 3.8.ac_l_abk 
(-2, 11, -28), [2, 3, 0], 3.8.ac_l_abc 
(-2, 11, -24), [2, 3, 0], 3.8.ac_l_ay 
(-2, 11, -20), [2, 3, 0], 3.8.ac_l_au 
(-2, 11, -16), [2, 3, 0], 3.8.ac_l_aq 
(-2, 11, -8), [2, 3, 0], 3.8.ac_l_ai 
(-2, 11, -4), [2, 3, 0], 3.8.ac_l_ae 
(-2, 13, -36), [2, 1, 0], 3.8.ac_n_abk 
(-2, 13, -28), [2, 1, 0], 3.8.ac_n_abc 
(-2, 13, -24), [2, 1, 0], 3.8.ac_n_ay 
(-2, 13, -16), [2, 1, 0], 3.8.ac_n_aq 
