(-9, 10, 95), [10, 10, 0], 3.19.aj_k_dr 
(-9, 20, 19), [10, 1, 0], 3.19.aj_u_t 
(-9, 24, -19), [10, 5, 0], 3.19.aj_y_at 
(-9, 28, -57), [10, 9, 0], 3.19.aj_bc_acf 
(-9, 30, -57), [10, 11, 0], 3.19.aj_be_acf 
(-9, 32, -95), [10, 13, 0], 3.19.aj_bg_adr 
(-9, 34, -95), [10, 15, 0], 3.19.aj_bi_adr 
(-9, 36, -133), [10, 17, 0], 3.19.aj_bk_afd 
(-9, 40, -171), [10, 2, 0], 3.19.aj_bo_agp 
(-9, 40, -133), [10, 2, 0], 3.19.aj_bo_afd 
(-9, 42, -171), [10, 4, 0], 3.19.aj_bq_agp 
(-9, 44, -171), [10, 6, 0], 3.19.aj_bs_agp 
(-9, 46, -209), [10, 8, 0], 3.19.aj_bu_aib 
(-9, 46, -171), [10, 8, 0], 3.19.aj_bu_agp 
(-9, 48, -209), [10, 10, 0], 3.19.aj_bw_aib 
(-9, 50, -247), [10, 12, 0], 3.19.aj_by_ajn 
(-9, 50, -209), [10, 12, 0], 3.19.aj_by_aib 
(-9, 52, -247), [10, 14, 0], 3.19.aj_ca_ajn 
(-9, 54, -285), [10, 16, 0], 3.19.aj_cc_akz 
(-9, 54, -247), [10, 16, 0], 3.19.aj_cc_ajn 
(-9, 56, -247), [10, 18, 0], 3.19.aj_ce_ajn 
(-9, 58, -323), [10, 1, 0], 3.19.aj_cg_aml 
(-9, 58, -285), [10, 1, 0], 3.19.aj_cg_akz 
(-9, 60, -323), [10, 3, 0], 3.19.aj_ci_aml 
(-9, 60, -285), [10, 3, 0], 3.19.aj_ci_akz 
(-9, 62, -323), [10, 5, 0], 3.19.aj_ck_aml 
(-9, 62, -285), [10, 5, 0], 3.19.aj_ck_akz 
(-9, 64, -323), [10, 7, 0], 3.19.aj_cm_aml 
(-9, 64, -285), [10, 7, 0], 3.19.aj_cm_akz 
(-9, 68, -323), [10, 11, 0], 3.19.aj_cq_aml 
(-9, 70, -323), [10, 13, 0], 3.19.aj_cs_aml 
(-9, 72, -323), [10, 15, 0], 3.19.aj_cu_aml 
(-8, -12, 247), [11, 7, 0], 3.19.ai_am_jn 
(-8, -8, 209), [11, 11, 0], 3.19.ai_ai_ib 
(-8, -5, 190), [11, 14, 0], 3.19.ai_af_hi 
(-8, 1, 133), [11, 1, 0], 3.19.ai_b_fd 
(-8, 2, 133), [11, 2, 0], 3.19.ai_c_fd 
(-8, 5, 95), [11, 5, 0], 3.19.ai_f_dr 
(-8, 6, 95), [11, 6, 0], 3.19.ai_g_dr 
(-8, 10, 57), [11, 10, 0], 3.19.ai_k_cf 
(-8, 12, 57), [11, 12, 0], 3.19.ai_m_cf 
(-8, 14, 19), [11, 14, 0], 3.19.ai_o_t 
(-8, 16, 19), [11, 16, 0], 3.19.ai_q_t 
(-8, 20, -19), [11, 1, 0], 3.19.ai_u_at 
(-8, 22, -19), [11, 3, 0], 3.19.ai_w_at 
(-8, 24, -57), [11, 5, 0], 3.19.ai_y_acf 
(-8, 26, -57), [11, 7, 0], 3.19.ai_ba_acf 
(-8, 28, -95), [11, 9, 0], 3.19.ai_bc_adr 
(-8, 28, -57), [11, 9, 0], 3.19.ai_bc_acf 
(-8, 30, -95), [11, 11, 0], 3.19.ai_be_adr 
(-8, 32, -133), [11, 13, 0], 3.19.ai_bg_afd 
(-8, 32, -95), [11, 13, 0], 3.19.ai_bg_adr 
(-8, 34, -133), [11, 15, 0], 3.19.ai_bi_afd 
(-8, 34, -95), [11, 15, 0], 3.19.ai_bi_adr 
(-8, 36, -171), [11, 17, 0], 3.19.ai_bk_agp 
(-8, 36, -133), [11, 17, 0], 3.19.ai_bk_afd 
(-8, 40, -209), [11, 2, 0], 3.19.ai_bo_aib 
(-8, 40, -171), [11, 2, 0], 3.19.ai_bo_agp 
(-8, 40, -133), [11, 2, 0], 3.19.ai_bo_afd 
(-8, 42, -209), [11, 4, 0], 3.19.ai_bq_aib 
(-8, 42, -171), [11, 4, 0], 3.19.ai_bq_agp 
(-8, 44, -209), [11, 6, 0], 3.19.ai_bs_aib 
(-8, 44, -171), [11, 6, 0], 3.19.ai_bs_agp 
(-8, 46, -247), [11, 8, 0], 3.19.ai_bu_ajn 
(-8, 46, -209), [11, 8, 0], 3.19.ai_bu_aib 
(-8, 46, -171), [11, 8, 0], 3.19.ai_bu_agp 
(-8, 48, -247), [11, 10, 0], 3.19.ai_bw_ajn 
(-8, 48, -209), [11, 10, 0], 3.19.ai_bw_aib 
(-8, 50, -285), [11, 12, 0], 3.19.ai_by_akz 
(-8, 50, -247), [11, 12, 0], 3.19.ai_by_ajn 
(-8, 50, -209), [11, 12, 0], 3.19.ai_by_aib 
(-8, 52, -285), [11, 14, 0], 3.19.ai_ca_akz 
(-8, 52, -247), [11, 14, 0], 3.19.ai_ca_ajn 
(-8, 52, -209), [11, 14, 0], 3.19.ai_ca_aib 
(-8, 54, -285), [11, 16, 0], 3.19.ai_cc_akz 
(-8, 54, -247), [11, 16, 0], 3.19.ai_cc_ajn 
(-8, 56, -285), [11, 18, 0], 3.19.ai_ce_akz 
(-8, 56, -247), [11, 18, 0], 3.19.ai_ce_ajn 
(-8, 58, -285), [11, 1, 0], 3.19.ai_cg_akz 
(-8, 58, -247), [11, 1, 0], 3.19.ai_cg_ajn 
(-8, 60, -285), [11, 3, 0], 3.19.ai_ci_akz 
(-8, 60, -247), [11, 3, 0], 3.19.ai_ci_ajn 
(-8, 62, -285), [11, 5, 0], 3.19.ai_ck_akz 
(-8, 64, -285), [11, 7, 0], 3.19.ai_cm_akz 
(-8, 66, -285), [11, 9, 0], 3.19.ai_co_akz 
(-8, 68, -285), [11, 11, 0], 3.19.ai_cq_akz 
(-7, -18, 266), [12, 1, 0], 3.19.ah_as_kg 
(-7, -16, 247), [12, 3, 0], 3.19.ah_aq_jn 
(-7, -12, 209), [12, 7, 0], 3.19.ah_am_ib 
(-7, -8, 171), [12, 11, 0], 3.19.ah_ai_gp 
(-7, -6, 171), [12, 13, 0], 3.19.ah_ag_gp 
(-7, -2, 133), [12, 17, 0], 3.19.ah_ac_fd 
(-7, 2, 95), [12, 2, 0], 3.19.ah_c_dr 
(-7, 4, 95), [12, 4, 0], 3.19.ah_e_dr 
(-7, 6, 57), [12, 6, 0], 3.19.ah_g_cf 
(-7, 8, 57), [12, 8, 0], 3.19.ah_i_cf 
(-7, 10, 57), [12, 10, 0], 3.19.ah_k_cf 
(-7, 12, 19), [12, 12, 0], 3.19.ah_m_t 
(-7, 14, -19), [12, 14, 0], 3.19.ah_o_at 
(-7, 14, 19), [12, 14, 0], 3.19.ah_o_t 
(-7, 16, -19), [12, 16, 0], 3.19.ah_q_at 
(-7, 16, 19), [12, 16, 0], 3.19.ah_q_t 
(-7, 18, -19), [12, 18, 0], 3.19.ah_s_at 
(-7, 20, -57), [12, 1, 0], 3.19.ah_u_acf 
(-7, 20, -19), [12, 1, 0], 3.19.ah_u_at 
(-7, 22, -57), [12, 3, 0], 3.19.ah_w_acf 
(-7, 22, -19), [12, 3, 0], 3.19.ah_w_at 
(-7, 24, -95), [12, 5, 0], 3.19.ah_y_adr 
(-7, 24, -57), [12, 5, 0], 3.19.ah_y_acf 
(-7, 26, -95), [12, 7, 0], 3.19.ah_ba_adr 
(-7, 26, -57), [12, 7, 0], 3.19.ah_ba_acf 
(-7, 28, -133), [12, 9, 0], 3.19.ah_bc_afd 
(-7, 28, -95), [12, 9, 0], 3.19.ah_bc_adr 
(-7, 28, -57), [12, 9, 0], 3.19.ah_bc_acf 
(-7, 30, -133), [12, 11, 0], 3.19.ah_be_afd 
(-7, 30, -95), [12, 11, 0], 3.19.ah_be_adr 
(-7, 32, -171), [12, 13, 0], 3.19.ah_bg_agp 
(-7, 32, -133), [12, 13, 0], 3.19.ah_bg_afd 
(-7, 32, -95), [12, 13, 0], 3.19.ah_bg_adr 
(-7, 34, -171), [12, 15, 0], 3.19.ah_bi_agp 
(-7, 34, -133), [12, 15, 0], 3.19.ah_bi_afd 
(-7, 34, -95), [12, 15, 0], 3.19.ah_bi_adr 
(-7, 36, -209), [12, 17, 0], 3.19.ah_bk_aib 
(-7, 36, -171), [12, 17, 0], 3.19.ah_bk_agp 
(-7, 36, -133), [12, 17, 0], 3.19.ah_bk_afd 
(-7, 40, -247), [12, 2, 0], 3.19.ah_bo_ajn 
(-7, 40, -209), [12, 2, 0], 3.19.ah_bo_aib 
(-7, 40, -171), [12, 2, 0], 3.19.ah_bo_agp 
(-7, 40, -133), [12, 2, 0], 3.19.ah_bo_afd 
(-7, 42, -247), [12, 4, 0], 3.19.ah_bq_ajn 
(-7, 42, -209), [12, 4, 0], 3.19.ah_bq_aib 
(-7, 42, -171), [12, 4, 0], 3.19.ah_bq_agp 
(-7, 44, -209), [12, 6, 0], 3.19.ah_bs_aib 
(-7, 44, -171), [12, 6, 0], 3.19.ah_bs_agp 
(-7, 46, -247), [12, 8, 0], 3.19.ah_bu_ajn 
(-7, 46, -171), [12, 8, 0], 3.19.ah_bu_agp 
(-7, 48, -247), [12, 10, 0], 3.19.ah_bw_ajn 
(-7, 48, -209), [12, 10, 0], 3.19.ah_bw_aib 
(-7, 50, -247), [12, 12, 0], 3.19.ah_by_ajn 
(-7, 52, -247), [12, 14, 0], 3.19.ah_ca_ajn 
(-7, 52, -209), [12, 14, 0], 3.19.ah_ca_aib 
(-7, 54, -247), [12, 16, 0], 3.19.ah_cc_ajn 
(-7, 54, -209), [12, 16, 0], 3.19.ah_cc_aib 
(-7, 56, -247), [12, 18, 0], 3.19.ah_ce_ajn 
(-7, 58, -247), [12, 1, 0], 3.19.ah_cg_ajn 
(-7, 60, -247), [12, 3, 0], 3.19.ah_ci_ajn 
(-7, 62, -247), [12, 5, 0], 3.19.ah_ck_ajn 
(-7, 64, -247), [12, 7, 0], 3.19.ah_cm_ajn 
(-6, -16, 209), [13, 3, 0], 3.19.ag_aq_ib 
(-6, -14, 209), [13, 5, 0], 3.19.ag_ao_ib 
(-6, -12, 171), [13, 7, 0], 3.19.ag_am_gp 
(-6, -10, 171), [13, 9, 0], 3.19.ag_ak_gp 
(-6, -8, 133), [13, 11, 0], 3.19.ag_ai_fd 
(-6, -8, 171), [13, 11, 0], 3.19.ag_ai_gp 
(-6, -6, 133), [13, 13, 0], 3.19.ag_ag_fd 
(-6, -4, 133), [13, 15, 0], 3.19.ag_ae_fd 
(-6, -2, 95), [13, 17, 0], 3.19.ag_ac_dr 
(-6, -2, 133), [13, 17, 0], 3.19.ag_ac_fd 
(-6, 2, 57), [13, 2, 0], 3.19.ag_c_cf 
(-6, 2, 95), [13, 2, 0], 3.19.ag_c_dr 
(-6, 4, 57), [13, 4, 0], 3.19.ag_e_cf 
(-6, 4, 95), [13, 4, 0], 3.19.ag_e_dr 
(-6, 6, 19), [13, 6, 0], 3.19.ag_g_t 
(-6, 6, 57), [13, 6, 0], 3.19.ag_g_cf 
(-6, 8, 19), [13, 8, 0], 3.19.ag_i_t 
(-6, 8, 57), [13, 8, 0], 3.19.ag_i_cf 
(-6, 10, -19), [13, 10, 0], 3.19.ag_k_at 
(-6, 10, 19), [13, 10, 0], 3.19.ag_k_t 
(-6, 12, -19), [13, 12, 0], 3.19.ag_m_at 
(-6, 12, 19), [13, 12, 0], 3.19.ag_m_t 
(-6, 14, -57), [13, 14, 0], 3.19.ag_o_acf 
(-6, 14, -19), [13, 14, 0], 3.19.ag_o_at 
(-6, 14, 19), [13, 14, 0], 3.19.ag_o_t 
(-6, 16, -57), [13, 16, 0], 3.19.ag_q_acf 
(-6, 16, -19), [13, 16, 0], 3.19.ag_q_at 
(-6, 18, -57), [13, 18, 0], 3.19.ag_s_acf 
(-6, 18, -19), [13, 18, 0], 3.19.ag_s_at 
(-6, 20, -95), [13, 1, 0], 3.19.ag_u_adr 
(-6, 20, -57), [13, 1, 0], 3.19.ag_u_acf 
(-6, 20, -19), [13, 1, 0], 3.19.ag_u_at 
(-6, 22, -95), [13, 3, 0], 3.19.ag_w_adr 
(-6, 22, -57), [13, 3, 0], 3.19.ag_w_acf 
(-6, 22, -19), [13, 3, 0], 3.19.ag_w_at 
(-6, 24, -133), [13, 5, 0], 3.19.ag_y_afd 
(-6, 24, -95), [13, 5, 0], 3.19.ag_y_adr 
(-6, 24, -57), [13, 5, 0], 3.19.ag_y_acf 
(-6, 26, -133), [13, 7, 0], 3.19.ag_ba_afd 
(-6, 26, -95), [13, 7, 0], 3.19.ag_ba_adr 
(-6, 26, -57), [13, 7, 0], 3.19.ag_ba_acf 
(-6, 28, -171), [13, 9, 0], 3.19.ag_bc_agp 
(-6, 28, -133), [13, 9, 0], 3.19.ag_bc_afd 
(-6, 28, -95), [13, 9, 0], 3.19.ag_bc_adr 
(-6, 28, -57), [13, 9, 0], 3.19.ag_bc_acf 
(-6, 30, -171), [13, 11, 0], 3.19.ag_be_agp 
(-6, 30, -133), [13, 11, 0], 3.19.ag_be_afd 
(-6, 30, -95), [13, 11, 0], 3.19.ag_be_adr 
(-6, 32, -209), [13, 13, 0], 3.19.ag_bg_aib 
(-6, 32, -171), [13, 13, 0], 3.19.ag_bg_agp 
(-6, 32, -133), [13, 13, 0], 3.19.ag_bg_afd 
(-6, 32, -95), [13, 13, 0], 3.19.ag_bg_adr 
(-6, 34, -209), [13, 15, 0], 3.19.ag_bi_aib 
(-6, 34, -171), [13, 15, 0], 3.19.ag_bi_agp 
(-6, 34, -133), [13, 15, 0], 3.19.ag_bi_afd 
(-6, 34, -95), [13, 15, 0], 3.19.ag_bi_adr 
(-6, 36, -209), [13, 17, 0], 3.19.ag_bk_aib 
(-6, 36, -171), [13, 17, 0], 3.19.ag_bk_agp 
(-6, 36, -133), [13, 17, 0], 3.19.ag_bk_afd 
(-6, 40, -209), [13, 2, 0], 3.19.ag_bo_aib 
(-6, 40, -171), [13, 2, 0], 3.19.ag_bo_agp 
(-6, 40, -133), [13, 2, 0], 3.19.ag_bo_afd 
(-6, 42, -209), [13, 4, 0], 3.19.ag_bq_aib 
(-6, 42, -171), [13, 4, 0], 3.19.ag_bq_agp 
(-6, 42, -133), [13, 4, 0], 3.19.ag_bq_afd 
(-6, 44, -209), [13, 6, 0], 3.19.ag_bs_aib 
(-6, 44, -171), [13, 6, 0], 3.19.ag_bs_agp 
(-6, 46, -209), [13, 8, 0], 3.19.ag_bu_aib 
(-6, 46, -171), [13, 8, 0], 3.19.ag_bu_agp 
(-6, 48, -209), [13, 10, 0], 3.19.ag_bw_aib 
(-6, 48, -171), [13, 10, 0], 3.19.ag_bw_agp 
(-6, 50, -209), [13, 12, 0], 3.19.ag_by_aib 
(-6, 50, -171), [13, 12, 0], 3.19.ag_by_agp 
(-6, 52, -209), [13, 14, 0], 3.19.ag_ca_aib 
(-6, 54, -209), [13, 16, 0], 3.19.ag_cc_aib 
(-6, 56, -209), [13, 18, 0], 3.19.ag_ce_aib 
(-6, 58, -209), [13, 1, 0], 3.19.ag_cg_aib 
(-6, 60, -209), [13, 3, 0], 3.19.ag_ci_aib 
(-5, -16, 171), [14, 3, 0], 3.19.af_aq_gp 
(-5, -16, 209), [14, 3, 0], 3.19.af_aq_ib 
