(-1, 2, 21), [6, 2, 0], 3.7.ab_c_v 
(-1, 3, -35), [6, 3, 0], 3.7.ab_d_abj 
(-1, 4, -35), [6, 4, 0], 3.7.ab_e_abj 
(-1, 4, -21), [6, 4, 0], 3.7.ab_e_av 
(-1, 4, -7), [6, 4, 0], 3.7.ab_e_ah 
(-1, 4, 7), [6, 4, 0], 3.7.ab_e_h 
(-1, 6, -21), [6, 6, 0], 3.7.ab_g_av 
(-1, 6, -7), [6, 6, 0], 3.7.ab_g_ah 
(-1, 6, 7), [6, 6, 0], 3.7.ab_g_h 
(-1, 8, -21), [6, 1, 0], 3.7.ab_i_av 
(-1, 8, -7), [6, 1, 0], 3.7.ab_i_ah 
(-1, 10, -21), [6, 3, 0], 3.7.ab_k_av 
(-1, 10, -7), [6, 3, 0], 3.7.ab_k_ah 
(-1, 12, -7), [6, 5, 0], 3.7.ab_m_ah 
(0, -5, -7), [0, 2, 0], 3.7.a_af_ah 
(0, -5, 7), [0, 2, 0], 3.7.a_af_h 
(0, -4, -7), [0, 3, 0], 3.7.a_ae_ah 
(0, -4, 7), [0, 3, 0], 3.7.a_ae_h 
(0, -2, -21), [0, 5, 0], 3.7.a_ac_av 
(0, -2, -7), [0, 5, 0], 3.7.a_ac_ah 
(0, -2, 7), [0, 5, 0], 3.7.a_ac_h 
(0, -2, 21), [0, 5, 0], 3.7.a_ac_v 
(0, 2, -21), [0, 2, 0], 3.7.a_c_av 
(0, 2, -7), [0, 2, 0], 3.7.a_c_ah 
(0, 2, 7), [0, 2, 0], 3.7.a_c_h 
(0, 2, 21), [0, 2, 0], 3.7.a_c_v 
(0, 4, -21), [0, 4, 0], 3.7.a_e_av 
(0, 4, -7), [0, 4, 0], 3.7.a_e_ah 
(0, 4, 7), [0, 4, 0], 3.7.a_e_h 
(0, 4, 21), [0, 4, 0], 3.7.a_e_v 
(0, 6, -21), [0, 6, 0], 3.7.a_g_av 
(0, 6, -7), [0, 6, 0], 3.7.a_g_ah 
(0, 6, 7), [0, 6, 0], 3.7.a_g_h 
(0, 6, 21), [0, 6, 0], 3.7.a_g_v 
(0, 8, -7), [0, 1, 0], 3.7.a_i_ah 
(0, 8, 7), [0, 1, 0], 3.7.a_i_h 
(0, 10, -7), [0, 3, 0], 3.7.a_k_ah 
(0, 10, 7), [0, 3, 0], 3.7.a_k_h 
(0, 12, -7), [0, 5, 0], 3.7.a_m_ah 
(0, 12, 7), [0, 5, 0], 3.7.a_m_h 
(1, -4, -28), [1, 3, 0], 3.7.b_ae_abc 
(1, -4, -21), [1, 3, 0], 3.7.b_ae_av 
(1, -4, -7), [1, 3, 0], 3.7.b_ae_ah 
(1, -3, -35), [1, 4, 0], 3.7.b_ad_abj 
(1, -2, -35), [1, 5, 0], 3.7.b_ac_abj 
(1, -2, -7), [1, 5, 0], 3.7.b_ac_ah 
(1, -2, 7), [1, 5, 0], 3.7.b_ac_h 
(1, -1, -28), [1, 6, 0], 3.7.b_ab_abc 
(1, 1, 28), [1, 1, 0], 3.7.b_b_bc 
(1, 2, -21), [1, 2, 0], 3.7.b_c_av 
(1, 2, -7), [1, 2, 0], 3.7.b_c_ah 
(1, 2, 7), [1, 2, 0], 3.7.b_c_h 
(1, 2, 21), [1, 2, 0], 3.7.b_c_v 
(1, 3, 35), [1, 3, 0], 3.7.b_d_bj 
(1, 4, -7), [1, 4, 0], 3.7.b_e_ah 
(1, 4, 7), [1, 4, 0], 3.7.b_e_h 
(1, 4, 21), [1, 4, 0], 3.7.b_e_v 
(1, 4, 35), [1, 4, 0], 3.7.b_e_bj 
(1, 6, -7), [1, 6, 0], 3.7.b_g_ah 
(1, 6, 7), [1, 6, 0], 3.7.b_g_h 
(1, 6, 21), [1, 6, 0], 3.7.b_g_v 
(1, 8, 7), [1, 1, 0], 3.7.b_i_h 
(1, 8, 21), [1, 1, 0], 3.7.b_i_v 
(1, 10, 7), [1, 3, 0], 3.7.b_k_h 
(1, 10, 21), [1, 3, 0], 3.7.b_k_v 
(1, 12, 7), [1, 5, 0], 3.7.b_m_h 
(2, -5, -35), [2, 2, 0], 3.7.c_af_abj 
(2, -4, -35), [2, 3, 0], 3.7.c_ae_abj 
(2, -4, -21), [2, 3, 0], 3.7.c_ae_av 
(2, -3, -21), [2, 4, 0], 3.7.c_ad_av 
(2, -3, -7), [2, 4, 0], 3.7.c_ad_ah 
(2, -2, -21), [2, 5, 0], 3.7.c_ac_av 
(2, -2, -7), [2, 5, 0], 3.7.c_ac_ah 
(2, 2, -7), [2, 2, 0], 3.7.c_c_ah 
(2, 2, 7), [2, 2, 0], 3.7.c_c_h 
(2, 3, 21), [2, 3, 0], 3.7.c_d_v 
(2, 4, -7), [2, 4, 0], 3.7.c_e_ah 
(2, 4, 7), [2, 4, 0], 3.7.c_e_h 
(2, 4, 21), [2, 4, 0], 3.7.c_e_v 
(2, 6, -7), [2, 6, 0], 3.7.c_g_ah 
(2, 6, 7), [2, 6, 0], 3.7.c_g_h 
(2, 6, 21), [2, 6, 0], 3.7.c_g_v 
(2, 6, 35), [2, 6, 0], 3.7.c_g_bj 
(2, 8, 7), [2, 1, 0], 3.7.c_i_h 
(2, 8, 21), [2, 1, 0], 3.7.c_i_v 
(2, 8, 35), [2, 1, 0], 3.7.c_i_bj 
(2, 10, 7), [2, 3, 0], 3.7.c_k_h 
(2, 10, 21), [2, 3, 0], 3.7.c_k_v 
(2, 10, 35), [2, 3, 0], 3.7.c_k_bj 
(2, 12, 21), [2, 5, 0], 3.7.c_m_v 
(2, 16, 21), [2, 2, 0], 3.7.c_q_v 
(3, -6, -42), [3, 1, 0], 3.7.d_ag_abq 
(3, -4, -35), [3, 3, 0], 3.7.d_ae_abj 
(3, -3, -21), [3, 4, 0], 3.7.d_ad_av 
(3, -2, -28), [3, 5, 0], 3.7.d_ac_abc 
(3, -2, -21), [3, 5, 0], 3.7.d_ac_av 
(3, 2, -7), [3, 2, 0], 3.7.d_c_ah 
(3, 4, -7), [3, 4, 0], 3.7.d_e_ah 
(3, 6, 7), [3, 6, 0], 3.7.d_g_h 
(3, 6, 21), [3, 6, 0], 3.7.d_g_v 
(3, 8, 7), [3, 1, 0], 3.7.d_i_h 
(3, 8, 21), [3, 1, 0], 3.7.d_i_v 
(3, 8, 35), [3, 1, 0], 3.7.d_i_bj 
(3, 10, 35), [3, 3, 0], 3.7.d_k_bj 
(3, 12, 21), [3, 5, 0], 3.7.d_m_v 
(3, 12, 35), [3, 5, 0], 3.7.d_m_bj 
(3, 18, 35), [3, 4, 0], 3.7.d_s_bj 
(3, 19, 35), [3, 5, 0], 3.7.d_t_bj 
(4, -4, -42), [4, 3, 0], 3.7.e_ae_abq 
(4, -3, -35), [4, 4, 0], 3.7.e_ad_abj 
(4, -2, -35), [4, 5, 0], 3.7.e_ac_abj 
(4, 4, -7), [4, 4, 0], 3.7.e_e_ah 
(4, 5, -7), [4, 5, 0], 3.7.e_f_ah 
(4, 5, 7), [4, 5, 0], 3.7.e_f_h 
(4, 6, 7), [4, 6, 0], 3.7.e_g_h 
(4, 8, 7), [4, 1, 0], 3.7.e_i_h 
(4, 8, 21), [4, 1, 0], 3.7.e_i_v 
(4, 10, 21), [4, 3, 0], 3.7.e_k_v 
(4, 12, 21), [4, 5, 0], 3.7.e_m_v 
(4, 12, 35), [4, 5, 0], 3.7.e_m_bj 
(4, 13, 49), [4, 6, 0], 3.7.e_n_bx 
(4, 16, 35), [4, 2, 0], 3.7.e_q_bj 
(4, 16, 49), [4, 2, 0], 3.7.e_q_bx 
(4, 18, 49), [4, 4, 0], 3.7.e_s_bx 
(4, 20, 49), [4, 6, 0], 3.7.e_u_bx 
(5, -3, -49), [5, 4, 0], 3.7.f_ad_abx 
(5, 1, -28), [5, 1, 0], 3.7.f_b_abc 
(5, 3, -21), [5, 3, 0], 3.7.f_d_av 
(5, 6, -7), [5, 6, 0], 3.7.f_g_ah 
(5, 8, 7), [5, 1, 0], 3.7.f_i_h 
(5, 12, 21), [5, 5, 0], 3.7.f_m_v 
(5, 16, 35), [5, 2, 0], 3.7.f_q_bj 
(5, 16, 49), [5, 2, 0], 3.7.f_q_bx 
(5, 18, 49), [5, 4, 0], 3.7.f_s_bx 
(5, 20, 63), [5, 6, 0], 3.7.f_u_cl 
(5, 24, 63), [5, 3, 0], 3.7.f_y_cl 
(6, 13, 21), [6, 6, 0], 3.7.g_n_v 
(6, 16, 35), [6, 2, 0], 3.7.g_q_bj 
(6, 17, 42), [6, 3, 0], 3.7.g_r_bq 
(6, 20, 49), [6, 6, 0], 3.7.g_u_bx 
(6, 22, 63), [6, 1, 0], 3.7.g_w_cl 
(6, 24, 77), [6, 3, 0], 3.7.g_y_cz 
(6, 25, 77), [6, 4, 0], 3.7.g_z_cz 
(6, 26, 77), [6, 5, 0], 3.7.g_ba_cz 
(7, 29, 84), [0, 1, 0], 3.7.h_bd_dg 
(7, 30, 91), [0, 2, 0], 3.7.h_be_dn 
(8, 32, 91), [1, 4, 0], 3.7.i_bg_dn 
(8, 38, 119), [1, 3, 0], 3.7.i_bm_ep 
(9, 38, 112), [2, 3, 0], 3.7.j_bm_ei 
(9, 44, 140), [2, 2, 0], 3.7.j_bs_fk 
(10, 50, 161), [3, 1, 0], 3.7.k_by_gf 
