[1, -4, 12, -29, 48, -64, 64], (-1, -3, 5)
[1, -3, -3, 21, -12, -48, 64], (-3, 0, -7)
[1, -3, -1, 15, -4, -48, 64], (-3, 0, -5)
[1, -3, 1, 9, 4, -48, 64], (-3, 0, -3)
[1, -2, 0, 11, 0, -32, 64], (-3, 1, -1)
[1, -2, 10, -15, 40, -32, 64], (1, -3, 9)
[1, -1, -3, 7, -12, -16, 64], (-1, 0, -7)
[1, 1, -3, -7, -12, 16, 64], (1, 0, -7)
[1, 2, 0, -11, 0, 32, 64], (3, -1, -1)
[1, 2, 10, 15, 40, 32, 64], (-1, 3, 9)
[1, 3, 1, -9, 4, 48, 64], (3, 0, -3)
[1, 4, 12, 29, 48, 64, 64], (1, 3, 5)
[1, 6, 18, 39, 72, 96, 64], (3, 3, 5)
[1, 7, 25, 59, 100, 112, 64], (3, 4, 9)
