[1, -4, 8, -16, 32, -64, 64], (-4, -2, 2)
[1, -4, 12, -32, 48, -64, 64], (-4, 0, 0)
[1, -4, 16, -32, 64, -64, 64], (0, -2, -2)
[1, -2, -4, 16, -16, -32, 64], (-4, 4, -2)
[1, -2, 4, -16, 16, -32, 64], (-4, 0, 2)
[1, -2, 8, -8, 32, -32, 64], (2, -2, -2)
[1, -2, 12, -16, 48, -32, 64], (-2, 0, 0)
[1, 0, -4, 0, -16, 0, 64], (-4, 4, 0)
[1, 0, 0, -16, 0, 0, 64], (-4, 2, 2)
[1, 0, 0, 16, 0, 0, 64], (4, -2, -2)
[1, 0, 8, 0, 32, 0, 64], (-2, 0, 2)
[1, 0, 12, 0, 48, 0, 64], (0, 0, 0)
[1, 2, 4, 16, 16, 32, 64], (4, -2, 0)
[1, 2, 8, 8, 32, 32, 64], (-2, 2, 2)
[1, 2, 12, 16, 48, 32, 64], (2, 0, 0)
[1, 4, 8, 16, 32, 64, 64], (4, -2, 2)
[1, 4, 12, 32, 48, 64, 64], (4, 0, 0)
[1, 4, 16, 32, 64, 64, 64], (0, 2, 2)
[1, 6, 20, 48, 80, 96, 64], (4, 0, 2)
[1, 6, 24, 56, 96, 96, 64], (2, 2, 2)
[1, 8, 32, 80, 128, 128, 64], (4, 2, 2)
