(-6, 15, -29), (2, 3, 3)
(-6, 19, -47), (2, 3, 1)
(-6, 23, -61), (2, 3, 3)
(-5, 8, -8), (3, 0, 0)
(-5, 12, -26), (3, 0, 2)
(-5, 13, -28), (3, 1, 0)
(-5, 17, -39), (3, 1, 1)
(-4, -1, 23), (0, 3, 3)
(-4, 1, 14), (0, 1, 2)
(-4, 3, 7), (0, 3, 3)
(-4, 5, -3), (0, 1, 1)
(-4, 5, 1), (0, 1, 1)
(-4, 13, -39), (0, 1, 1)
(-4, 13, -29), (0, 1, 3)
(-4, 16, -36), (0, 0, 0)
(-3, -4, 26), (1, 0, 2)
(-3, -4, 28), (1, 0, 0)
(-3, -3, 22), (1, 1, 2)
(-3, -3, 27), (1, 1, 3)
(-3, -2, 18), (1, 2, 2)
(-3, -1, 17), (1, 3, 1)
(-3, 0, 16), (1, 0, 0)
(-3, 1, 4), (1, 1, 0)
(-3, 1, 8), (1, 1, 0)
(-3, 2, 2), (1, 2, 2)
(-3, 3, -4), (1, 3, 0)
(-3, 4, -8), (1, 0, 0)
(-3, 7, -8), (1, 3, 0)
(-3, 8, -28), (1, 0, 0)
(-3, 10, -22), (1, 2, 2)
(-3, 15, -29), (1, 3, 3)
(-2, -3, 12), (2, 1, 0)
(-2, -3, 13), (2, 1, 1)
(-2, -3, 17), (2, 1, 1)
(-2, -3, 18), (2, 1, 2)
(-2, -3, 21), (2, 1, 1)
(-2, -3, 22), (2, 1, 2)
(-2, -3, 23), (2, 1, 3)
(-2, -1, 7), (2, 3, 3)
(-2, -1, 11), (2, 3, 3)
(-2, -1, 18), (2, 3, 2)
(-2, 0, 14), (2, 0, 2)
(-2, 1, -6), (2, 1, 2)
(-2, 1, -3), (2, 1, 1)
(-2, 1, 7), (2, 1, 3)
(-2, 3, -1), (2, 3, 3)
(-2, 5, -21), (2, 1, 3)
(-2, 5, -3), (2, 1, 1)
(-2, 7, -23), (2, 3, 1)
(-2, 7, -13), (2, 3, 3)
(-2, 9, -22), (2, 1, 2)
(-2, 11, -13), (2, 3, 3)
(-1, -4, 6), (3, 0, 2)
(-1, -4, 14), (3, 0, 2)
(-1, -3, 9), (3, 1, 1)
(-1, -3, 16), (3, 1, 0)
(-1, -2, -2), (3, 2, 2)
(-1, -2, 18), (3, 2, 2)
(-1, -2, 22), (3, 2, 2)
(-1, -1, 12), (3, 3, 0)
(-1, 0, -12), (3, 0, 0)
(-1, 1, 12), (3, 1, 0)
(-1, 13, -9), (3, 1, 3)
(0, -3, -7), (0, 1, 1)
(0, -3, -1), (0, 1, 3)
(0, -3, 1), (0, 1, 1)
(0, -3, 7), (0, 1, 3)
(0, -1, -11), (0, 3, 1)
(0, -1, 11), (0, 3, 3)
(0, 0, -16), (0, 0, 0)
(0, 0, 16), (0, 0, 0)
(0, 1, -19), (0, 1, 1)
(0, 1, -1), (0, 1, 3)
(0, 1, 1), (0, 1, 1)
(0, 1, 19), (0, 1, 3)
(0, 3, -13), (0, 3, 3)
(0, 3, 13), (0, 3, 1)
(0, 4, -8), (0, 0, 0)
(0, 4, 8), (0, 0, 0)
(1, -4, -14), (1, 0, 2)
(1, -4, -6), (1, 0, 2)
(1, -3, -16), (1, 1, 0)
(1, -3, -9), (1, 1, 3)
(1, -2, -22), (1, 2, 2)
(1, -2, -18), (1, 2, 2)
(1, -2, 2), (1, 2, 2)
(1, -1, -12), (1, 3, 0)
(1, 0, 12), (1, 0, 0)
(1, 1, -12), (1, 1, 0)
(1, 13, 9), (1, 1, 1)
(2, -3, -23), (2, 1, 1)
(2, -3, -22), (2, 1, 2)
(2, -3, -21), (2, 1, 3)
(2, -3, -18), (2, 1, 2)
(2, -3, -17), (2, 1, 3)
(2, -3, -13), (2, 1, 3)
(2, -3, -12), (2, 1, 0)
(2, -1, -18), (2, 3, 2)
(2, -1, -11), (2, 3, 1)
(2, -1, -7), (2, 3, 1)
(2, 0, -14), (2, 0, 2)
(2, 1, -7), (2, 1, 1)
(2, 1, 3), (2, 1, 3)
(2, 1, 6), (2, 1, 2)
(2, 3, 1), (2, 3, 1)
(2, 5, 3), (2, 1, 3)
(2, 5, 21), (2, 1, 1)
(2, 7, 13), (2, 3, 1)
(2, 7, 23), (2, 3, 3)
(2, 9, 22), (2, 1, 2)
(2, 11, 13), (2, 3, 1)
(3, -4, -28), (3, 0, 0)
(3, -4, -26), (3, 0, 2)
(3, -3, -27), (3, 1, 1)
(3, -3, -22), (3, 1, 2)
(3, -2, -18), (3, 2, 2)
(3, -1, -17), (3, 3, 3)
(3, 0, -16), (3, 0, 0)
(3, 1, -8), (3, 1, 0)
(3, 1, -4), (3, 1, 0)
(3, 2, -2), (3, 2, 2)
(3, 3, 4), (3, 3, 0)
(3, 4, 8), (3, 0, 0)
(3, 7, 8), (3, 3, 0)
(3, 8, 28), (3, 0, 0)
(3, 10, 22), (3, 2, 2)
(3, 15, 29), (3, 3, 1)
(4, 1, -14), (0, 1, 2)
(4, 3, -7), (0, 3, 1)
(4, 5, -1), (0, 1, 3)
(4, 5, 3), (0, 1, 3)
(4, 13, 29), (0, 1, 1)
(4, 13, 39), (0, 1, 3)
(4, 16, 36), (0, 0, 0)
(5, 8, 8), (1, 0, 0)
(5, 12, 26), (1, 0, 2)
(5, 13, 28), (1, 1, 0)
(5, 17, 39), (1, 1, 3)
(6, 15, 29), (2, 3, 1)
(6, 19, 47), (2, 3, 3)
(6, 23, 61), (2, 3, 1)
(7, 25, 63), (3, 1, 3)
(7, 26, 68), (3, 2, 0)
(7, 27, 71), (3, 3, 3)
(7, 27, 72), (3, 3, 0)
(7, 27, 73), (3, 3, 1)
(7, 29, 77), (3, 1, 1)
