(-3, 3, -1), [1, 3, 3], 3.5.ad_d_ab 
(-3, 3, 1), [1, 3, 1], 3.5.ad_d_b 
(-3, 3, 3), [1, 3, 3], 3.5.ad_d_d 
(-3, 3, 4), [1, 3, 0], 3.5.ad_d_e 
(-3, 4, -6), [1, 0, 2], 3.5.ad_e_ag 
(-3, 4, 2), [1, 0, 2], 3.5.ad_e_c 
(-3, 5, -14), [1, 1, 2], 3.5.ad_f_ao 
(-3, 5, -13), [1, 1, 3], 3.5.ad_f_an 
(-3, 5, -12), [1, 1, 0], 3.5.ad_f_am 
(-3, 5, -11), [1, 1, 1], 3.5.ad_f_al 
(-3, 5, -9), [1, 1, 3], 3.5.ad_f_aj 
(-3, 5, -8), [1, 1, 0], 3.5.ad_f_ai 
(-3, 5, -7), [1, 1, 1], 3.5.ad_f_ah 
(-3, 5, -4), [1, 1, 0], 3.5.ad_f_ae 
(-3, 5, -3), [1, 1, 1], 3.5.ad_f_ad 
(-3, 5, -2), [1, 1, 2], 3.5.ad_f_ac 
(-3, 5, -1), [1, 1, 3], 3.5.ad_f_ab 
(-3, 6, -18), [1, 2, 2], 3.5.ad_g_as 
(-3, 6, -16), [1, 2, 0], 3.5.ad_g_aq 
(-3, 6, -14), [1, 2, 2], 3.5.ad_g_ao 
(-3, 6, -12), [1, 2, 0], 3.5.ad_g_am 
(-3, 6, -6), [1, 2, 2], 3.5.ad_g_ag 
(-3, 6, -4), [1, 2, 0], 3.5.ad_g_ae 
(-3, 7, -23), [1, 3, 1], 3.5.ad_h_ax 
(-3, 7, -22), [1, 3, 2], 3.5.ad_h_aw 
(-3, 7, -21), [1, 3, 3], 3.5.ad_h_av 
(-3, 7, -19), [1, 3, 1], 3.5.ad_h_at 
(-3, 7, -18), [1, 3, 2], 3.5.ad_h_as 
(-3, 7, -17), [1, 3, 3], 3.5.ad_h_ar 
(-3, 7, -16), [1, 3, 0], 3.5.ad_h_aq 
(-3, 7, -13), [1, 3, 3], 3.5.ad_h_an 
(-3, 7, -12), [1, 3, 0], 3.5.ad_h_am 
(-3, 7, -11), [1, 3, 1], 3.5.ad_h_al 
(-3, 7, -9), [1, 3, 3], 3.5.ad_h_aj 
(-3, 7, -7), [1, 3, 1], 3.5.ad_h_ah 
(-3, 8, -26), [1, 0, 2], 3.5.ad_i_aba 
(-3, 8, -22), [1, 0, 2], 3.5.ad_i_aw 
(-3, 8, -16), [1, 0, 0], 3.5.ad_i_aq 
(-3, 8, -14), [1, 0, 2], 3.5.ad_i_ao 
(-3, 9, -31), [1, 1, 1], 3.5.ad_j_abf 
(-3, 9, -29), [1, 1, 3], 3.5.ad_j_abd 
(-3, 9, -28), [1, 1, 0], 3.5.ad_j_abc 
(-3, 9, -27), [1, 1, 1], 3.5.ad_j_abb 
(-3, 9, -26), [1, 1, 2], 3.5.ad_j_aba 
(-3, 9, -24), [1, 1, 0], 3.5.ad_j_ay 
(-3, 9, -23), [1, 1, 1], 3.5.ad_j_ax 
(-3, 9, -21), [1, 1, 3], 3.5.ad_j_av 
(-3, 9, -19), [1, 1, 1], 3.5.ad_j_at 
(-3, 9, -18), [1, 1, 2], 3.5.ad_j_as 
(-3, 9, -17), [1, 1, 3], 3.5.ad_j_ar 
(-3, 9, -16), [1, 1, 0], 3.5.ad_j_aq 
(-3, 9, -13), [1, 1, 3], 3.5.ad_j_an 
(-3, 10, -28), [1, 2, 0], 3.5.ad_k_abc 
(-3, 10, -24), [1, 2, 0], 3.5.ad_k_ay 
(-3, 10, -18), [1, 2, 2], 3.5.ad_k_as 
(-3, 11, -31), [1, 3, 1], 3.5.ad_l_abf 
(-3, 11, -29), [1, 3, 3], 3.5.ad_l_abd 
(-3, 11, -28), [1, 3, 0], 3.5.ad_l_abc 
(-3, 11, -27), [1, 3, 1], 3.5.ad_l_abb 
(-3, 11, -26), [1, 3, 2], 3.5.ad_l_aba 
(-3, 11, -23), [1, 3, 1], 3.5.ad_l_ax 
(-3, 11, -22), [1, 3, 2], 3.5.ad_l_aw 
(-3, 11, -21), [1, 3, 3], 3.5.ad_l_av 
(-3, 11, -19), [1, 3, 1], 3.5.ad_l_at 
(-3, 11, -17), [1, 3, 3], 3.5.ad_l_ar 
(-3, 12, -28), [1, 0, 0], 3.5.ad_m_abc 
(-3, 12, -26), [1, 0, 2], 3.5.ad_m_aba 
(-3, 12, -24), [1, 0, 0], 3.5.ad_m_ay 
