(-19, 165, -929), [4, 4, 14], 3.23.at_gj_abjt 
(-19, 166, -938), [4, 5, 5], 3.23.at_gk_abkc 
(-19, 167, -948), [4, 6, 18], 3.23.at_gl_abkm 
(-19, 167, -947), [4, 6, 19], 3.23.at_gl_abkl 
(-19, 168, -958), [4, 7, 8], 3.23.at_gm_abkw 
(-19, 168, -957), [4, 7, 9], 3.23.at_gm_abkv 
(-19, 168, -956), [4, 7, 10], 3.23.at_gm_abku 
(-19, 169, -967), [4, 8, 22], 3.23.at_gn_ablf 
(-19, 169, -965), [4, 8, 1], 3.23.at_gn_abld 
(-19, 170, -977), [4, 9, 12], 3.23.at_go_ablp 
(-19, 170, -975), [4, 9, 14], 3.23.at_go_abln 
(-19, 170, -974), [4, 9, 15], 3.23.at_go_ablm 
(-19, 171, -984), [4, 10, 5], 3.23.at_gp_ablw 
(-19, 171, -983), [4, 10, 6], 3.23.at_gp_ablv 
(-19, 172, -996), [4, 11, 16], 3.23.at_gq_abmi 
(-19, 172, -995), [4, 11, 17], 3.23.at_gq_abmh 
(-19, 172, -993), [4, 11, 19], 3.23.at_gq_abmf 
(-19, 173, -1004), [4, 12, 8], 3.23.at_gr_abmq 
(-19, 174, -1015), [4, 13, 20], 3.23.at_gs_abnb 
(-19, 174, -1014), [4, 13, 21], 3.23.at_gs_abna 
(-19, 174, -1013), [4, 13, 22], 3.23.at_gs_abmz 
(-19, 174, -1011), [4, 13, 1], 3.23.at_gs_abmx 
(-19, 175, -1025), [4, 14, 10], 3.23.at_gt_abnl 
(-19, 175, -1023), [4, 14, 12], 3.23.at_gt_abnj 
(-19, 175, -1022), [4, 14, 13], 3.23.at_gt_abni 
(-19, 175, -1021), [4, 14, 14], 3.23.at_gt_abnh 
(-19, 176, -1034), [4, 15, 1], 3.23.at_gu_abnu 
(-19, 176, -1033), [4, 15, 2], 3.23.at_gu_abnt 
(-19, 176, -1032), [4, 15, 3], 3.23.at_gu_abns 
(-19, 176, -1031), [4, 15, 4], 3.23.at_gu_abnr 
(-19, 176, -1029), [4, 15, 6], 3.23.at_gu_abnp 
(-19, 176, -1025), [4, 15, 10], 3.23.at_gu_abnl 
(-19, 177, -1044), [4, 16, 14], 3.23.at_gv_aboe 
(-19, 178, -1053), [4, 17, 5], 3.23.at_gw_abon 
(-19, 178, -1052), [4, 17, 6], 3.23.at_gw_abom 
(-19, 178, -1051), [4, 17, 7], 3.23.at_gw_abol 
(-19, 178, -1047), [4, 17, 11], 3.23.at_gw_aboh 
(-19, 178, -1046), [4, 17, 12], 3.23.at_gw_abog 
(-19, 178, -1043), [4, 17, 15], 3.23.at_gw_abod 
(-19, 179, -1062), [4, 18, 19], 3.23.at_gx_abow 
(-19, 179, -1059), [4, 18, 22], 3.23.at_gx_abot 
(-19, 179, -1057), [4, 18, 1], 3.23.at_gx_abor 
(-19, 180, -1073), [4, 19, 8], 3.23.at_gy_abph 
(-19, 180, -1071), [4, 19, 10], 3.23.at_gy_abpf 
(-19, 180, -1069), [4, 19, 12], 3.23.at_gy_abpd 
(-19, 180, -1068), [4, 19, 13], 3.23.at_gy_abpc 
(-19, 180, -1067), [4, 19, 14], 3.23.at_gy_abpb 
(-19, 180, -1065), [4, 19, 16], 3.23.at_gy_aboz 
(-19, 180, -1061), [4, 19, 20], 3.23.at_gy_abov 
(-19, 180, -1060), [4, 19, 21], 3.23.at_gy_abou 
(-19, 180, -1059), [4, 19, 22], 3.23.at_gy_abot 
(-19, 181, -1080), [4, 20, 1], 3.23.at_gz_abpo 
(-19, 181, -1079), [4, 20, 2], 3.23.at_gz_abpn 
(-19, 181, -1076), [4, 20, 5], 3.23.at_gz_abpk 
(-19, 181, -1073), [4, 20, 8], 3.23.at_gz_abph 
(-19, 182, -1088), [4, 21, 16], 3.23.at_ha_abpw 
(-19, 182, -1087), [4, 21, 17], 3.23.at_ha_abpv 
(-19, 182, -1085), [4, 21, 19], 3.23.at_ha_abpt 
(-19, 182, -1083), [4, 21, 21], 3.23.at_ha_abpr 
(-19, 182, -1080), [4, 21, 1], 3.23.at_ha_abpo 
(-19, 182, -1079), [4, 21, 2], 3.23.at_ha_abpn 
(-19, 182, -1075), [4, 21, 6], 3.23.at_ha_abpj 
(-19, 183, -1092), [4, 22, 12], 3.23.at_hb_abqa 
(-19, 183, -1091), [4, 22, 13], 3.23.at_hb_abpz 
(-19, 183, -1086), [4, 22, 18], 3.23.at_hb_abpu 
(-19, 183, -1083), [4, 22, 21], 3.23.at_hb_abpr 
(-19, 184, -1098), [4, 0, 6], 3.23.at_hc_abqg 
(-19, 184, -1097), [4, 0, 7], 3.23.at_hc_abqf 
(-19, 184, -1095), [4, 0, 9], 3.23.at_hc_abqd 
(-19, 184, -1093), [4, 0, 11], 3.23.at_hc_abqb 
(-19, 185, -1103), [4, 1, 1], 3.23.at_hd_abql 
(-19, 185, -1101), [4, 1, 3], 3.23.at_hd_abqj 
(-19, 185, -1100), [4, 1, 4], 3.23.at_hd_abqi 
(-19, 186, -1107), [4, 2, 20], 3.23.at_he_abqp 
(-19, 187, -1113), [4, 3, 14], 3.23.at_hf_abqv 
(-18, 141, -745), [5, 3, 14], 3.23.as_fl_abcr 
(-18, 148, -812), [5, 10, 16], 3.23.as_fs_abfg 
(-18, 148, -811), [5, 10, 17], 3.23.as_fs_abff 
(-18, 150, -831), [5, 12, 20], 3.23.as_fu_abfz 
(-18, 150, -830), [5, 12, 21], 3.23.as_fu_abfy 
(-18, 150, -829), [5, 12, 22], 3.23.as_fu_abfx 
(-18, 151, -839), [5, 13, 12], 3.23.as_fv_abgh 
(-18, 151, -838), [5, 13, 13], 3.23.as_fv_abgg 
(-18, 152, -849), [5, 14, 2], 3.23.as_fw_abgr 
(-18, 152, -847), [5, 14, 4], 3.23.as_fw_abgp 
(-18, 154, -869), [5, 16, 5], 3.23.as_fy_abhl 
(-18, 154, -867), [5, 16, 7], 3.23.as_fy_abhj 
(-18, 154, -866), [5, 16, 8], 3.23.as_fy_abhi 
(-18, 154, -865), [5, 16, 9], 3.23.as_fy_abhh 
(-18, 155, -879), [5, 17, 18], 3.23.as_fz_abhv 
(-18, 156, -887), [5, 18, 10], 3.23.as_ga_abid 
(-18, 156, -885), [5, 18, 12], 3.23.as_ga_abib 
(-18, 156, -883), [5, 18, 14], 3.23.as_ga_abhz 
(-18, 156, -881), [5, 18, 16], 3.23.as_ga_abhx 
(-18, 158, -908), [5, 20, 12], 3.23.as_gc_abiy 
(-18, 158, -907), [5, 20, 13], 3.23.as_gc_abix 
(-18, 158, -905), [5, 20, 15], 3.23.as_gc_abiv 
(-18, 158, -903), [5, 20, 17], 3.23.as_gc_abit 
(-18, 158, -902), [5, 20, 18], 3.23.as_gc_abis 
(-18, 158, -901), [5, 20, 19], 3.23.as_gc_abir 
(-18, 158, -899), [5, 20, 21], 3.23.as_gc_abip 
(-18, 159, -917), [5, 21, 3], 3.23.as_gd_abjh 
(-18, 159, -907), [5, 21, 13], 3.23.as_gd_abix 
(-18, 160, -927), [5, 22, 16], 3.23.as_ge_abjr 
(-18, 160, -925), [5, 22, 18], 3.23.as_ge_abjp 
(-18, 160, -923), [5, 22, 20], 3.23.as_ge_abjn 
(-18, 160, -921), [5, 22, 22], 3.23.as_ge_abjl 
(-18, 160, -919), [5, 22, 1], 3.23.as_ge_abjj 
(-18, 160, -917), [5, 22, 3], 3.23.as_ge_abjh 
(-18, 161, -929), [5, 0, 14], 3.23.as_gf_abjt 
(-18, 162, -946), [5, 1, 20], 3.23.as_gg_abkk 
(-18, 162, -945), [5, 1, 21], 3.23.as_gg_abkj 
(-18, 162, -941), [5, 1, 2], 3.23.as_gg_abkf 
(-18, 162, -939), [5, 1, 4], 3.23.as_gg_abkd 
(-18, 162, -937), [5, 1, 6], 3.23.as_gg_abkb 
(-18, 162, -935), [5, 1, 8], 3.23.as_gg_abjz 
(-18, 162, -934), [5, 1, 9], 3.23.as_gg_abjy 
(-18, 162, -933), [5, 1, 10], 3.23.as_gg_abjx 
(-18, 163, -941), [5, 2, 2], 3.23.as_gh_abkf 
(-18, 164, -965), [5, 3, 1], 3.23.as_gi_abld 
(-18, 164, -963), [5, 3, 3], 3.23.as_gi_ablb 
(-18, 164, -961), [5, 3, 5], 3.23.as_gi_abkz 
(-18, 164, -959), [5, 3, 7], 3.23.as_gi_abkx 
(-18, 164, -957), [5, 3, 9], 3.23.as_gi_abkv 
(-18, 164, -955), [5, 3, 11], 3.23.as_gi_abkt 
(-18, 164, -953), [5, 3, 13], 3.23.as_gi_abkr 
(-18, 164, -951), [5, 3, 15], 3.23.as_gi_abkp 
(-18, 164, -949), [5, 3, 17], 3.23.as_gi_abkn 
(-18, 165, -975), [5, 4, 14], 3.23.as_gj_abln 
(-18, 165, -973), [5, 4, 16], 3.23.as_gj_abll 
(-18, 165, -971), [5, 4, 18], 3.23.as_gj_ablj 
(-18, 166, -983), [5, 5, 6], 3.23.as_gk_ablv 
(-18, 166, -981), [5, 5, 8], 3.23.as_gk_ablt 
(-18, 166, -979), [5, 5, 10], 3.23.as_gk_ablr 
(-18, 166, -977), [5, 5, 12], 3.23.as_gk_ablp 
(-18, 166, -975), [5, 5, 14], 3.23.as_gk_abln 
(-18, 166, -974), [5, 5, 15], 3.23.as_gk_ablm 
(-18, 166, -973), [5, 5, 16], 3.23.as_gk_abll 
(-18, 166, -971), [5, 5, 18], 3.23.as_gk_ablj 
(-18, 166, -969), [5, 5, 20], 3.23.as_gk_ablh 
(-18, 166, -967), [5, 5, 22], 3.23.as_gk_ablf 
(-18, 166, -965), [5, 5, 1], 3.23.as_gk_abld 
(-18, 167, -994), [5, 6, 18], 3.23.as_gl_abmg 
(-18, 167, -992), [5, 6, 20], 3.23.as_gl_abme 
(-18, 168, -999), [5, 7, 13], 3.23.as_gm_abml 
(-18, 168, -997), [5, 7, 15], 3.23.as_gm_abmj 
(-18, 168, -995), [5, 7, 17], 3.23.as_gm_abmh 
(-18, 168, -993), [5, 7, 19], 3.23.as_gm_abmf 
(-18, 168, -991), [5, 7, 21], 3.23.as_gm_abmd 
(-18, 168, -987), [5, 7, 2], 3.23.as_gm_ablz 
(-18, 168, -985), [5, 7, 4], 3.23.as_gm_ablx 
(-18, 168, -983), [5, 7, 6], 3.23.as_gm_ablv 
(-18, 168, -981), [5, 7, 8], 3.23.as_gm_ablt 
(-18, 169, -1001), [5, 8, 11], 3.23.as_gn_abmn 
(-18, 170, -1009), [5, 9, 3], 3.23.as_go_abmv 
(-18, 170, -1007), [5, 9, 5], 3.23.as_go_abmt 
(-18, 170, -1006), [5, 9, 6], 3.23.as_go_abms 
(-18, 170, -1005), [5, 9, 7], 3.23.as_go_abmr 
(-18, 170, -1003), [5, 9, 9], 3.23.as_go_abmp 
(-18, 170, -1001), [5, 9, 11], 3.23.as_go_abmn 
(-18, 170, -999), [5, 9, 13], 3.23.as_go_abml 
(-18, 170, -998), [5, 9, 14], 3.23.as_go_abmk 
(-18, 170, -997), [5, 9, 15], 3.23.as_go_abmj 
(-18, 170, -995), [5, 9, 17], 3.23.as_go_abmh 
(-18, 171, -1009), [5, 10, 3], 3.23.as_gp_abmv 
(-18, 172, -1017), [5, 11, 18], 3.23.as_gq_abnd 
(-18, 172, -1015), [5, 11, 20], 3.23.as_gq_abnb 
(-18, 172, -1013), [5, 11, 22], 3.23.as_gq_abmz 
(-18, 172, -1011), [5, 11, 1], 3.23.as_gq_abmx 
(-18, 173, -1021), [5, 12, 14], 3.23.as_gr_abnh 
(-18, 174, -1027), [5, 13, 8], 3.23.as_gs_abnn 
(-18, 174, -1025), [5, 13, 10], 3.23.as_gs_abnl 
(-17, 128, -666), [6, 13, 1], 3.23.ar_ey_azq 
(-17, 130, -685), [6, 15, 5], 3.23.ar_fa_abaj 
(-17, 131, -693), [6, 16, 20], 3.23.ar_fb_abar 
(-17, 132, -703), [6, 17, 10], 3.23.ar_fc_abbb 
(-17, 133, -712), [6, 18, 1], 3.23.ar_fd_abbk 
(-17, 134, -723), [6, 19, 13], 3.23.ar_fe_abbv 
(-17, 134, -722), [6, 19, 14], 3.23.ar_fe_abbu 
(-17, 134, -721), [6, 19, 15], 3.23.ar_fe_abbt 
(-17, 135, -733), [6, 20, 3], 3.23.ar_ff_abcf 
(-17, 136, -743), [6, 21, 16], 3.23.ar_fg_abcp 
