(-2, 7, -7), [2, 3, 1], 3.4.ac_h_ah 
(-2, 9, -15), [2, 1, 1], 3.4.ac_j_ap 
(-2, 9, -13), [2, 1, 3], 3.4.ac_j_an 
(-2, 9, -11), [2, 1, 1], 3.4.ac_j_al 
(-2, 11, -15), [2, 3, 1], 3.4.ac_l_ap 
(-1, -3, 5), [3, 1, 1], 3.4.ab_ad_f 
(-1, -2, 1), [3, 2, 1], 3.4.ab_ac_b 
(-1, -2, 3), [3, 2, 3], 3.4.ab_ac_d 
(-1, -2, 5), [3, 2, 1], 3.4.ab_ac_f 
(-1, -2, 7), [3, 2, 3], 3.4.ab_ac_h 
(-1, -2, 9), [3, 2, 1], 3.4.ab_ac_j 
(-1, -2, 11), [3, 2, 3], 3.4.ab_ac_l 
(-1, -2, 13), [3, 2, 1], 3.4.ab_ac_n 
(-1, -2, 15), [3, 2, 3], 3.4.ab_ac_p 
(-1, -1, -1), [3, 3, 3], 3.4.ab_ab_ab 
(-1, -1, 15), [3, 3, 3], 3.4.ab_ab_p 
(-1, 0, -7), [3, 0, 1], 3.4.ab_a_ah 
(-1, 0, -5), [3, 0, 3], 3.4.ab_a_af 
(-1, 0, -3), [3, 0, 1], 3.4.ab_a_ad 
(-1, 0, -1), [3, 0, 3], 3.4.ab_a_ab 
(-1, 0, 1), [3, 0, 1], 3.4.ab_a_b 
(-1, 0, 3), [3, 0, 3], 3.4.ab_a_d 
(-1, 0, 5), [3, 0, 1], 3.4.ab_a_f 
(-1, 0, 7), [3, 0, 3], 3.4.ab_a_h 
(-1, 0, 9), [3, 0, 1], 3.4.ab_a_j 
(-1, 0, 11), [3, 0, 3], 3.4.ab_a_l 
(-1, 1, 5), [3, 1, 1], 3.4.ab_b_f 
(-1, 2, -15), [3, 2, 1], 3.4.ab_c_ap 
(-1, 2, -13), [3, 2, 3], 3.4.ab_c_an 
(-1, 2, -11), [3, 2, 1], 3.4.ab_c_al 
(-1, 2, -9), [3, 2, 3], 3.4.ab_c_aj 
(-1, 2, -7), [3, 2, 1], 3.4.ab_c_ah 
(-1, 2, -5), [3, 2, 3], 3.4.ab_c_af 
(-1, 2, -3), [3, 2, 1], 3.4.ab_c_ad 
(-1, 2, -1), [3, 2, 3], 3.4.ab_c_ab 
(-1, 2, 1), [3, 2, 1], 3.4.ab_c_b 
(-1, 2, 3), [3, 2, 3], 3.4.ab_c_d 
(-1, 2, 5), [3, 2, 1], 3.4.ab_c_f 
(-1, 2, 7), [3, 2, 3], 3.4.ab_c_h 
(-1, 4, -13), [3, 0, 3], 3.4.ab_e_an 
(-1, 4, -11), [3, 0, 1], 3.4.ab_e_al 
(-1, 4, -9), [3, 0, 3], 3.4.ab_e_aj 
(-1, 4, -7), [3, 0, 1], 3.4.ab_e_ah 
(-1, 4, -5), [3, 0, 3], 3.4.ab_e_af 
(-1, 4, -3), [3, 0, 1], 3.4.ab_e_ad 
(-1, 4, -1), [3, 0, 3], 3.4.ab_e_ab 
(-1, 4, 1), [3, 0, 1], 3.4.ab_e_b 
(-1, 4, 3), [3, 0, 3], 3.4.ab_e_d 
(-1, 6, -11), [3, 2, 1], 3.4.ab_g_al 
(-1, 6, -9), [3, 2, 3], 3.4.ab_g_aj 
(-1, 6, -7), [3, 2, 1], 3.4.ab_g_ah 
(-1, 6, -5), [3, 2, 3], 3.4.ab_g_af 
(-1, 6, -3), [3, 2, 1], 3.4.ab_g_ad 
(-1, 6, -1), [3, 2, 3], 3.4.ab_g_ab 
(-1, 8, -9), [3, 0, 3], 3.4.ab_i_aj 
(-1, 8, -7), [3, 0, 1], 3.4.ab_i_ah 
(-1, 8, -5), [3, 0, 3], 3.4.ab_i_af 
(-1, 9, -7), [3, 1, 1], 3.4.ab_j_ah 
(-1, 10, -7), [3, 2, 1], 3.4.ab_k_ah 
(0, -3, -3), [0, 1, 1], 3.4.a_ad_ad 
(0, -3, -1), [0, 1, 3], 3.4.a_ad_ab 
(0, -3, 1), [0, 1, 1], 3.4.a_ad_b 
(0, -3, 3), [0, 1, 3], 3.4.a_ad_d 
(0, -2, -7), [0, 2, 1], 3.4.a_ac_ah 
(0, -2, -5), [0, 2, 3], 3.4.a_ac_af 
(0, -2, 5), [0, 2, 1], 3.4.a_ac_f 
(0, -2, 7), [0, 2, 3], 3.4.a_ac_h 
(0, -1, -11), [0, 3, 1], 3.4.a_ab_al 
(0, -1, -9), [0, 3, 3], 3.4.a_ab_aj 
(0, -1, -7), [0, 3, 1], 3.4.a_ab_ah 
(0, -1, -5), [0, 3, 3], 3.4.a_ab_af 
(0, -1, -3), [0, 3, 1], 3.4.a_ab_ad 
(0, -1, -1), [0, 3, 3], 3.4.a_ab_ab 
(0, -1, 1), [0, 3, 1], 3.4.a_ab_b 
(0, -1, 3), [0, 3, 3], 3.4.a_ab_d 
(0, -1, 5), [0, 3, 1], 3.4.a_ab_f 
(0, -1, 7), [0, 3, 3], 3.4.a_ab_h 
(0, -1, 9), [0, 3, 1], 3.4.a_ab_j 
(0, -1, 11), [0, 3, 3], 3.4.a_ab_l 
(0, 0, -13), [0, 0, 3], 3.4.a_a_an 
(0, 0, 13), [0, 0, 1], 3.4.a_a_n 
(0, 1, -13), [0, 1, 3], 3.4.a_b_an 
(0, 1, -11), [0, 1, 1], 3.4.a_b_al 
(0, 1, -9), [0, 1, 3], 3.4.a_b_aj 
(0, 1, -7), [0, 1, 1], 3.4.a_b_ah 
(0, 1, -5), [0, 1, 3], 3.4.a_b_af 
(0, 1, -3), [0, 1, 1], 3.4.a_b_ad 
(0, 1, -1), [0, 1, 3], 3.4.a_b_ab 
(0, 1, 1), [0, 1, 1], 3.4.a_b_b 
(0, 1, 3), [0, 1, 3], 3.4.a_b_d 
(0, 1, 5), [0, 1, 1], 3.4.a_b_f 
(0, 1, 7), [0, 1, 3], 3.4.a_b_h 
(0, 1, 9), [0, 1, 1], 3.4.a_b_j 
(0, 1, 11), [0, 1, 3], 3.4.a_b_l 
(0, 1, 13), [0, 1, 1], 3.4.a_b_n 
(0, 3, -9), [0, 3, 3], 3.4.a_d_aj 
(0, 3, -7), [0, 3, 1], 3.4.a_d_ah 
(0, 3, -5), [0, 3, 3], 3.4.a_d_af 
(0, 3, -3), [0, 3, 1], 3.4.a_d_ad 
(0, 3, -1), [0, 3, 3], 3.4.a_d_ab 
(0, 3, 1), [0, 3, 1], 3.4.a_d_b 
(0, 3, 3), [0, 3, 3], 3.4.a_d_d 
(0, 3, 5), [0, 3, 1], 3.4.a_d_f 
(0, 3, 7), [0, 3, 3], 3.4.a_d_h 
(0, 3, 9), [0, 3, 1], 3.4.a_d_j 
(0, 5, -7), [0, 1, 1], 3.4.a_f_ah 
(0, 5, -5), [0, 1, 3], 3.4.a_f_af 
(0, 5, -3), [0, 1, 1], 3.4.a_f_ad 
(0, 5, -1), [0, 1, 3], 3.4.a_f_ab 
(0, 5, 1), [0, 1, 1], 3.4.a_f_b 
(0, 5, 3), [0, 1, 3], 3.4.a_f_d 
(0, 5, 5), [0, 1, 1], 3.4.a_f_f 
(0, 5, 7), [0, 1, 3], 3.4.a_f_h 
(0, 7, -3), [0, 3, 1], 3.4.a_h_ad 
(0, 7, -1), [0, 3, 3], 3.4.a_h_ab 
(0, 7, 1), [0, 3, 1], 3.4.a_h_b 
(0, 7, 3), [0, 3, 3], 3.4.a_h_d 
(0, 9, -1), [0, 1, 3], 3.4.a_j_ab 
(0, 9, 1), [0, 1, 1], 3.4.a_j_b 
(1, -3, -5), [1, 1, 3], 3.4.b_ad_af 
(1, -2, -15), [1, 2, 1], 3.4.b_ac_ap 
(1, -2, -13), [1, 2, 3], 3.4.b_ac_an 
(1, -2, -11), [1, 2, 1], 3.4.b_ac_al 
(1, -2, -9), [1, 2, 3], 3.4.b_ac_aj 
(1, -2, -7), [1, 2, 1], 3.4.b_ac_ah 
(1, -2, -5), [1, 2, 3], 3.4.b_ac_af 
(1, -2, -3), [1, 2, 1], 3.4.b_ac_ad 
