(-21, 218, -1363), [4, 18, 12], 3.25.av_ik_acal 
(-21, 219, -1373), [4, 19, 2], 3.25.av_il_acav 
(-21, 219, -1371), [4, 19, 4], 3.25.av_il_acat 
(-20, 182, -1069), [5, 7, 6], 3.25.au_ha_abpd 
(-20, 183, -1079), [5, 8, 21], 3.25.au_hb_abpn 
(-20, 184, -1089), [5, 9, 11], 3.25.au_hc_abpx 
(-20, 184, -1088), [5, 9, 12], 3.25.au_hc_abpw 
(-20, 185, -1098), [5, 10, 2], 3.25.au_hd_abqg 
(-20, 186, -1109), [5, 11, 16], 3.25.au_he_abqr 
(-20, 186, -1107), [5, 11, 18], 3.25.au_he_abqp 
(-20, 188, -1129), [5, 13, 21], 3.25.au_hg_abrl 
(-20, 188, -1128), [5, 13, 22], 3.25.au_hg_abrk 
(-20, 188, -1127), [5, 13, 23], 3.25.au_hg_abrj 
(-20, 189, -1139), [5, 14, 11], 3.25.au_hh_abrv 
(-20, 189, -1138), [5, 14, 12], 3.25.au_hh_abru 
(-20, 189, -1137), [5, 14, 13], 3.25.au_hh_abrt 
(-20, 189, -1136), [5, 14, 14], 3.25.au_hh_abrs 
(-20, 190, -1149), [5, 15, 1], 3.25.au_hi_absf 
(-20, 190, -1148), [5, 15, 2], 3.25.au_hi_abse 
(-20, 190, -1147), [5, 15, 3], 3.25.au_hi_absd 
(-20, 191, -1159), [5, 16, 16], 3.25.au_hj_absp 
(-20, 191, -1154), [5, 16, 21], 3.25.au_hj_absk 
(-20, 192, -1169), [5, 17, 6], 3.25.au_hk_absz 
(-20, 192, -1167), [5, 17, 8], 3.25.au_hk_absx 
(-20, 192, -1164), [5, 17, 11], 3.25.au_hk_absu 
(-20, 192, -1163), [5, 17, 12], 3.25.au_hk_abst 
(-20, 193, -1179), [5, 18, 21], 3.25.au_hl_abtj 
(-20, 194, -1189), [5, 19, 11], 3.25.au_hm_abtt 
(-20, 194, -1188), [5, 19, 12], 3.25.au_hm_abts 
(-20, 194, -1187), [5, 19, 13], 3.25.au_hm_abtr 
(-20, 194, -1183), [5, 19, 17], 3.25.au_hm_abtn 
(-20, 194, -1181), [5, 19, 19], 3.25.au_hm_abtl 
(-20, 195, -1194), [5, 20, 6], 3.25.au_hn_abty 
(-20, 195, -1193), [5, 20, 7], 3.25.au_hn_abtx 
(-20, 195, -1191), [5, 20, 9], 3.25.au_hn_abtv 
(-20, 196, -1209), [5, 21, 16], 3.25.au_ho_abun 
(-20, 196, -1207), [5, 21, 18], 3.25.au_ho_abul 
(-20, 196, -1204), [5, 21, 21], 3.25.au_ho_abui 
(-20, 196, -1203), [5, 21, 22], 3.25.au_ho_abuh 
(-20, 196, -1201), [5, 21, 24], 3.25.au_ho_abuf 
(-20, 196, -1199), [5, 21, 1], 3.25.au_ho_abud 
(-20, 197, -1219), [5, 22, 6], 3.25.au_hp_abux 
(-20, 197, -1214), [5, 22, 11], 3.25.au_hp_abus 
(-20, 197, -1209), [5, 22, 16], 3.25.au_hp_abun 
(-20, 198, -1229), [5, 23, 21], 3.25.au_hq_abvh 
(-20, 198, -1227), [5, 23, 23], 3.25.au_hq_abvf 
(-20, 198, -1223), [5, 23, 2], 3.25.au_hq_abvb 
(-20, 198, -1222), [5, 23, 3], 3.25.au_hq_abva 
(-20, 198, -1221), [5, 23, 4], 3.25.au_hq_abuz 
(-20, 198, -1219), [5, 23, 6], 3.25.au_hq_abux 
(-20, 198, -1217), [5, 23, 8], 3.25.au_hq_abuv 
(-20, 199, -1239), [5, 24, 11], 3.25.au_hr_abvr 
(-20, 199, -1238), [5, 24, 12], 3.25.au_hr_abvq 
(-20, 199, -1237), [5, 24, 13], 3.25.au_hr_abvp 
(-20, 199, -1233), [5, 24, 17], 3.25.au_hr_abvl 
(-20, 199, -1229), [5, 24, 21], 3.25.au_hr_abvh 
(-20, 199, -1228), [5, 24, 22], 3.25.au_hr_abvg 
(-20, 200, -1249), [5, 0, 1], 3.25.au_hs_abwb 
(-20, 200, -1248), [5, 0, 2], 3.25.au_hs_abwa 
(-20, 200, -1247), [5, 0, 3], 3.25.au_hs_abvz 
(-20, 200, -1243), [5, 0, 7], 3.25.au_hs_abvv 
(-20, 200, -1241), [5, 0, 9], 3.25.au_hs_abvt 
(-20, 200, -1239), [5, 0, 11], 3.25.au_hs_abvr 
(-20, 200, -1237), [5, 0, 13], 3.25.au_hs_abvp 
(-20, 200, -1236), [5, 0, 14], 3.25.au_hs_abvo 
(-20, 200, -1233), [5, 0, 17], 3.25.au_hs_abvl 
(-20, 201, -1254), [5, 1, 21], 3.25.au_ht_abwg 
(-20, 201, -1253), [5, 1, 22], 3.25.au_ht_abwf 
(-20, 201, -1251), [5, 1, 24], 3.25.au_ht_abwd 
(-20, 201, -1246), [5, 1, 4], 3.25.au_ht_abvy 
(-20, 201, -1242), [5, 1, 8], 3.25.au_ht_abvu 
(-20, 202, -1259), [5, 2, 16], 3.25.au_hu_abwl 
(-20, 202, -1257), [5, 2, 18], 3.25.au_hu_abwj 
(-20, 202, -1254), [5, 2, 21], 3.25.au_hu_abwg 
(-20, 202, -1253), [5, 2, 22], 3.25.au_hu_abwf 
(-20, 202, -1251), [5, 2, 24], 3.25.au_hu_abwd 
(-20, 202, -1249), [5, 2, 1], 3.25.au_hu_abwb 
(-20, 203, -1263), [5, 3, 12], 3.25.au_hv_abwp 
(-20, 203, -1262), [5, 3, 13], 3.25.au_hv_abwo 
(-20, 203, -1257), [5, 3, 18], 3.25.au_hv_abwj 
(-20, 204, -1269), [5, 4, 6], 3.25.au_hw_abwv 
(-20, 204, -1268), [5, 4, 7], 3.25.au_hw_abwu 
(-20, 204, -1267), [5, 4, 8], 3.25.au_hw_abwt 
(-20, 205, -1274), [5, 5, 1], 3.25.au_hx_abxa 
(-20, 206, -1281), [5, 6, 19], 3.25.au_hy_abxh 
(-19, 162, -919), [6, 12, 6], 3.25.at_gg_abjj 
(-19, 163, -929), [6, 13, 21], 3.25.at_gh_abjt 
(-19, 164, -939), [6, 14, 11], 3.25.at_gi_abkd 
(-19, 165, -949), [6, 15, 1], 3.25.at_gj_abkn 
(-19, 165, -948), [6, 15, 2], 3.25.at_gj_abkm 
(-19, 166, -958), [6, 16, 17], 3.25.at_gk_abkw 
(-19, 168, -979), [6, 18, 21], 3.25.at_gm_ablr 
(-19, 168, -978), [6, 18, 22], 3.25.at_gm_ablq 
(-19, 169, -989), [6, 19, 11], 3.25.at_gn_abmb 
(-19, 169, -987), [6, 19, 13], 3.25.at_gn_ablz 
(-19, 170, -999), [6, 20, 1], 3.25.at_go_abml 
(-19, 170, -998), [6, 20, 2], 3.25.at_go_abmk 
(-19, 170, -997), [6, 20, 3], 3.25.at_go_abmj 
(-19, 170, -996), [6, 20, 4], 3.25.at_go_abmi 
(-19, 171, -1009), [6, 21, 16], 3.25.at_gp_abmv 
(-19, 171, -1008), [6, 21, 17], 3.25.at_gp_abmu 
(-19, 171, -1007), [6, 21, 18], 3.25.at_gp_abmt 
(-19, 172, -1019), [6, 22, 6], 3.25.at_gq_abnf 
(-19, 172, -1017), [6, 22, 8], 3.25.at_gq_abnd 
(-19, 172, -1016), [6, 22, 9], 3.25.at_gq_abnc 
(-19, 173, -1029), [6, 23, 21], 3.25.at_gr_abnp 
(-19, 173, -1028), [6, 23, 22], 3.25.at_gr_abno 
(-19, 173, -1023), [6, 23, 2], 3.25.at_gr_abnj 
(-19, 174, -1039), [6, 24, 11], 3.25.at_gs_abnz 
(-19, 174, -1037), [6, 24, 13], 3.25.at_gs_abnx 
(-19, 174, -1033), [6, 24, 17], 3.25.at_gs_abnt 
(-19, 175, -1049), [6, 0, 1], 3.25.at_gt_aboj 
(-19, 175, -1048), [6, 0, 2], 3.25.at_gt_aboi 
(-19, 176, -1059), [6, 1, 16], 3.25.at_gu_abot 
(-19, 176, -1057), [6, 1, 18], 3.25.at_gu_abor 
