(-21, 218, -1366), [1, -21, 218, -1366, 5450, -13125, 15625], 3.25.av_ik_acao
(-21, 219, -1373), [1, -21, 219, -1373, 5475, -13125, 15625], 3.25.av_il_acav
(-21, 219, -1371), [1, -21, 219, -1371, 5475, -13125, 15625], 3.25.av_il_acat
(-20, 183, -1079), [1, -20, 183, -1079, 4575, -12500, 15625], 3.25.au_hb_abpn
(-20, 184, -1088), [1, -20, 184, -1088, 4600, -12500, 15625], 3.25.au_hc_abpw
(-20, 185, -1098), [1, -20, 185, -1098, 4625, -12500, 15625], 3.25.au_hd_abqg
(-20, 188, -1128), [1, -20, 188, -1128, 4700, -12500, 15625], 3.25.au_hg_abrk
(-20, 189, -1139), [1, -20, 189, -1139, 4725, -12500, 15625], 3.25.au_hh_abrv
(-20, 189, -1138), [1, -20, 189, -1138, 4725, -12500, 15625], 3.25.au_hh_abru
(-20, 189, -1137), [1, -20, 189, -1137, 4725, -12500, 15625], 3.25.au_hh_abrt
(-20, 189, -1136), [1, -20, 189, -1136, 4725, -12500, 15625], 3.25.au_hh_abrs
(-20, 190, -1148), [1, -20, 190, -1148, 4750, -12500, 15625], 3.25.au_hi_abse
(-20, 191, -1159), [1, -20, 191, -1159, 4775, -12500, 15625], 3.25.au_hj_absp
(-20, 191, -1154), [1, -20, 191, -1154, 4775, -12500, 15625], 3.25.au_hj_absk
(-20, 192, -1164), [1, -20, 192, -1164, 4800, -12500, 15625], 3.25.au_hk_absu
(-20, 193, -1179), [1, -20, 193, -1179, 4825, -12500, 15625], 3.25.au_hl_abtj
(-20, 194, -1188), [1, -20, 194, -1188, 4850, -12500, 15625], 3.25.au_hm_abts
(-20, 195, -1194), [1, -20, 195, -1194, 4875, -12500, 15625], 3.25.au_hn_abty
(-20, 195, -1193), [1, -20, 195, -1193, 4875, -12500, 15625], 3.25.au_hn_abtx
(-20, 195, -1191), [1, -20, 195, -1191, 4875, -12500, 15625], 3.25.au_hn_abtv
(-20, 196, -1204), [1, -20, 196, -1204, 4900, -12500, 15625], 3.25.au_ho_abui
(-20, 197, -1219), [1, -20, 197, -1219, 4925, -12500, 15625], 3.25.au_hp_abux
(-20, 197, -1214), [1, -20, 197, -1214, 4925, -12500, 15625], 3.25.au_hp_abus
(-20, 197, -1209), [1, -20, 197, -1209, 4925, -12500, 15625], 3.25.au_hp_abun
(-20, 198, -1222), [1, -20, 198, -1222, 4950, -12500, 15625], 3.25.au_hq_abva
(-20, 199, -1239), [1, -20, 199, -1239, 4975, -12500, 15625], 3.25.au_hr_abvr
(-20, 199, -1238), [1, -20, 199, -1238, 4975, -12500, 15625], 3.25.au_hr_abvq
(-20, 199, -1237), [1, -20, 199, -1237, 4975, -12500, 15625], 3.25.au_hr_abvp
(-20, 199, -1233), [1, -20, 199, -1233, 4975, -12500, 15625], 3.25.au_hr_abvl
(-20, 199, -1229), [1, -20, 199, -1229, 4975, -12500, 15625], 3.25.au_hr_abvh
(-20, 199, -1228), [1, -20, 199, -1228, 4975, -12500, 15625], 3.25.au_hr_abvg
(-20, 200, -1248), [1, -20, 200, -1248, 5000, -12500, 15625], 3.25.au_hs_abwa
(-20, 200, -1236), [1, -20, 200, -1236, 5000, -12500, 15625], 3.25.au_hs_abvo
(-20, 201, -1254), [1, -20, 201, -1254, 5025, -12500, 15625], 3.25.au_ht_abwg
(-20, 201, -1253), [1, -20, 201, -1253, 5025, -12500, 15625], 3.25.au_ht_abwf
(-20, 201, -1251), [1, -20, 201, -1251, 5025, -12500, 15625], 3.25.au_ht_abwd
(-20, 201, -1246), [1, -20, 201, -1246, 5025, -12500, 15625], 3.25.au_ht_abvy
(-20, 201, -1242), [1, -20, 201, -1242, 5025, -12500, 15625], 3.25.au_ht_abvu
(-20, 202, -1254), [1, -20, 202, -1254, 5050, -12500, 15625], 3.25.au_hu_abwg
