(-15, 113, -560), [1, 1, 0], 3.17.ap_ej_avo 
(-15, 114, -570), [1, 2, 2], 3.17.ap_ek_avy 
(-15, 114, -569), [1, 2, 3], 3.17.ap_ek_avx 
(-15, 114, -567), [1, 2, 1], 3.17.ap_ek_avv 
(-15, 114, -565), [1, 2, 3], 3.17.ap_ek_avt 
(-15, 114, -563), [1, 2, 1], 3.17.ap_ek_avr 
(-15, 115, -577), [1, 3, 3], 3.17.ap_el_awf 
(-15, 115, -576), [1, 3, 0], 3.17.ap_el_awe 
(-15, 115, -572), [1, 3, 0], 3.17.ap_el_awa 
(-15, 115, -569), [1, 3, 3], 3.17.ap_el_avx 
(-15, 116, -583), [1, 0, 1], 3.17.ap_em_awl 
(-15, 116, -581), [1, 0, 3], 3.17.ap_em_awj 
(-15, 116, -579), [1, 0, 1], 3.17.ap_em_awh 
(-15, 116, -577), [1, 0, 3], 3.17.ap_em_awf 
(-15, 116, -575), [1, 0, 1], 3.17.ap_em_awd 
(-15, 117, -593), [1, 1, 3], 3.17.ap_en_awv 
(-15, 117, -589), [1, 1, 3], 3.17.ap_en_awr 
(-15, 117, -587), [1, 1, 1], 3.17.ap_en_awp 
(-15, 117, -583), [1, 1, 1], 3.17.ap_en_awl 
(-15, 118, -601), [1, 2, 3], 3.17.ap_eo_axd 
(-15, 118, -599), [1, 2, 1], 3.17.ap_eo_axb 
(-15, 118, -597), [1, 2, 3], 3.17.ap_eo_awz 
(-15, 118, -593), [1, 2, 3], 3.17.ap_eo_awv 
(-15, 118, -591), [1, 2, 1], 3.17.ap_eo_awt 
(-15, 118, -590), [1, 2, 2], 3.17.ap_eo_aws 
(-15, 118, -589), [1, 2, 3], 3.17.ap_eo_awr 
(-15, 119, -607), [1, 3, 1], 3.17.ap_ep_axj 
(-15, 119, -605), [1, 3, 3], 3.17.ap_ep_axh 
(-15, 119, -604), [1, 3, 0], 3.17.ap_ep_axg 
(-15, 119, -601), [1, 3, 3], 3.17.ap_ep_axd 
(-15, 119, -593), [1, 3, 3], 3.17.ap_ep_awv 
(-15, 120, -607), [1, 0, 1], 3.17.ap_eq_axj 
(-15, 120, -604), [1, 0, 0], 3.17.ap_eq_axg 
(-15, 120, -603), [1, 0, 1], 3.17.ap_eq_axf 
(-15, 121, -611), [1, 1, 1], 3.17.ap_er_axn 
(-15, 121, -607), [1, 1, 1], 3.17.ap_er_axj 
(-15, 122, -617), [1, 2, 3], 3.17.ap_es_axt 
(-15, 122, -616), [1, 2, 0], 3.17.ap_es_axs 
(-15, 122, -613), [1, 2, 3], 3.17.ap_es_axp 
(-15, 123, -621), [1, 3, 3], 3.17.ap_et_axx 
(-14, 86, -373), [2, 2, 3], 3.17.ao_di_aoj 
(-14, 87, -381), [2, 3, 3], 3.17.ao_dj_aor 
(-14, 88, -389), [2, 0, 3], 3.17.ao_dk_aoz 
(-14, 89, -397), [2, 1, 3], 3.17.ao_dl_aph 
(-14, 90, -405), [2, 2, 3], 3.17.ao_dm_app 
(-14, 90, -403), [2, 2, 1], 3.17.ao_dm_apn 
(-14, 91, -414), [2, 3, 2], 3.17.ao_dn_apy 
(-14, 91, -411), [2, 3, 1], 3.17.ao_dn_apv 
(-14, 92, -421), [2, 0, 3], 3.17.ao_do_aqf 
(-14, 92, -419), [2, 0, 1], 3.17.ao_do_aqd 
(-14, 93, -426), [2, 1, 2], 3.17.ao_dp_aqk 
(-14, 94, -439), [2, 2, 1], 3.17.ao_dq_aqx 
(-14, 94, -437), [2, 2, 3], 3.17.ao_dq_aqv 
(-14, 94, -435), [2, 2, 1], 3.17.ao_dq_aqt 
(-14, 94, -433), [2, 2, 3], 3.17.ao_dq_aqr 
(-14, 95, -447), [2, 3, 1], 3.17.ao_dr_arf 
(-14, 96, -455), [2, 0, 1], 3.17.ao_ds_arn 
(-14, 96, -453), [2, 0, 3], 3.17.ao_ds_arl 
(-14, 96, -451), [2, 0, 1], 3.17.ao_ds_arj 
(-14, 96, -449), [2, 0, 3], 3.17.ao_ds_arh 
(-14, 97, -463), [2, 1, 1], 3.17.ao_dt_arv 
(-14, 97, -457), [2, 1, 3], 3.17.ao_dt_arp 
(-14, 98, -471), [2, 2, 1], 3.17.ao_du_asd 
(-14, 98, -469), [2, 2, 3], 3.17.ao_du_asb 
(-14, 98, -467), [2, 2, 1], 3.17.ao_du_arz 
(-14, 98, -465), [2, 2, 3], 3.17.ao_du_arx 
(-14, 98, -463), [2, 2, 1], 3.17.ao_du_arv 
(-14, 99, -479), [2, 3, 1], 3.17.ao_dv_asl 
(-14, 99, -470), [2, 3, 2], 3.17.ao_dv_asc 
(-14, 100, -488), [2, 0, 0], 3.17.ao_dw_asu 
(-14, 100, -487), [2, 0, 1], 3.17.ao_dw_ast 
(-14, 100, -485), [2, 0, 3], 3.17.ao_dw_asr 
(-14, 100, -483), [2, 0, 1], 3.17.ao_dw_asp 
(-14, 100, -481), [2, 0, 3], 3.17.ao_dw_asn 
(-14, 100, -479), [2, 0, 1], 3.17.ao_dw_asl 
(-14, 100, -477), [2, 0, 3], 3.17.ao_dw_asj 
(-14, 102, -505), [2, 2, 3], 3.17.ao_dy_atl 
(-14, 102, -503), [2, 2, 1], 3.17.ao_dy_atj 
(-14, 102, -501), [2, 2, 3], 3.17.ao_dy_ath 
(-14, 102, -499), [2, 2, 1], 3.17.ao_dy_atf 
(-14, 102, -497), [2, 2, 3], 3.17.ao_dy_atd 
(-14, 102, -496), [2, 2, 0], 3.17.ao_dy_atc 
(-14, 102, -495), [2, 2, 1], 3.17.ao_dy_atb 
(-14, 102, -491), [2, 2, 1], 3.17.ao_dy_asx 
(-14, 103, -501), [2, 3, 3], 3.17.ao_dz_ath 
(-14, 104, -521), [2, 0, 3], 3.17.ao_ea_aub 
(-14, 104, -519), [2, 0, 1], 3.17.ao_ea_atz 
(-14, 104, -517), [2, 0, 3], 3.17.ao_ea_atx 
(-14, 104, -515), [2, 0, 1], 3.17.ao_ea_atv 
(-14, 104, -513), [2, 0, 3], 3.17.ao_ea_att 
(-14, 104, -511), [2, 0, 1], 3.17.ao_ea_atr 
(-14, 104, -509), [2, 0, 3], 3.17.ao_ea_atp 
(-14, 104, -507), [2, 0, 1], 3.17.ao_ea_atn 
(-14, 104, -505), [2, 0, 3], 3.17.ao_ea_atl 
(-14, 105, -530), [2, 1, 2], 3.17.ao_eb_auk 
(-14, 105, -529), [2, 1, 3], 3.17.ao_eb_auj 
(-14, 105, -523), [2, 1, 1], 3.17.ao_eb_aud 
(-14, 106, -537), [2, 2, 3], 3.17.ao_ec_aur 
(-14, 106, -535), [2, 2, 1], 3.17.ao_ec_aup 
(-14, 106, -533), [2, 2, 3], 3.17.ao_ec_aun 
(-14, 106, -531), [2, 2, 1], 3.17.ao_ec_aul 
(-14, 106, -529), [2, 2, 3], 3.17.ao_ec_auj 
(-14, 106, -528), [2, 2, 0], 3.17.ao_ec_aui 
(-14, 106, -525), [2, 2, 3], 3.17.ao_ec_auf 
(-14, 106, -523), [2, 2, 1], 3.17.ao_ec_aud 
(-14, 106, -521), [2, 2, 3], 3.17.ao_ec_aub 
(-14, 106, -519), [2, 2, 1], 3.17.ao_ec_atz 
(-14, 106, -517), [2, 2, 3], 3.17.ao_ec_atx 
(-14, 107, -543), [2, 3, 1], 3.17.ao_ed_aux 
(-14, 107, -541), [2, 3, 3], 3.17.ao_ed_auv 
(-14, 107, -539), [2, 3, 1], 3.17.ao_ed_aut 
(-14, 108, -547), [2, 0, 1], 3.17.ao_ee_avb 
(-14, 108, -545), [2, 0, 3], 3.17.ao_ee_auz 
(-14, 108, -543), [2, 0, 1], 3.17.ao_ee_aux 
(-14, 108, -541), [2, 0, 3], 3.17.ao_ee_auv 
(-14, 108, -539), [2, 0, 1], 3.17.ao_ee_aut 
(-14, 108, -537), [2, 0, 3], 3.17.ao_ee_aur 
(-14, 108, -535), [2, 0, 1], 3.17.ao_ee_aup 
(-14, 108, -534), [2, 0, 2], 3.17.ao_ee_auo 
(-14, 108, -533), [2, 0, 3], 3.17.ao_ee_aun 
(-14, 108, -531), [2, 0, 1], 3.17.ao_ee_aul 
(-14, 109, -547), [2, 1, 1], 3.17.ao_ef_avb 
(-14, 109, -543), [2, 1, 1], 3.17.ao_ef_aux 
(-14, 110, -553), [2, 2, 3], 3.17.ao_eg_avh 
(-14, 110, -551), [2, 2, 1], 3.17.ao_eg_avf 
(-14, 110, -549), [2, 2, 3], 3.17.ao_eg_avd 
(-14, 110, -547), [2, 2, 1], 3.17.ao_eg_avb 
(-14, 110, -545), [2, 2, 3], 3.17.ao_eg_auz 
(-14, 110, -543), [2, 2, 1], 3.17.ao_eg_aux 
(-14, 112, -559), [2, 0, 1], 3.17.ao_ei_avn 
(-14, 112, -557), [2, 0, 3], 3.17.ao_ei_avl 
(-14, 112, -555), [2, 0, 1], 3.17.ao_ei_avj 
(-14, 114, -567), [2, 2, 1], 3.17.ao_ek_avv 
(-13, 69, -267), [3, 1, 1], 3.17.an_cr_akh 
(-13, 70, -275), [3, 2, 1], 3.17.an_cs_akp 
(-13, 72, -291), [3, 0, 1], 3.17.an_cu_alf 
(-13, 74, -307), [3, 2, 1], 3.17.an_cw_alv 
(-13, 74, -305), [3, 2, 3], 3.17.an_cw_alt 
(-13, 75, -313), [3, 3, 3], 3.17.an_cx_amb 
(-13, 76, -321), [3, 0, 3], 3.17.an_cy_amj 
(-13, 77, -333), [3, 1, 3], 3.17.an_cz_amv 
(-13, 78, -341), [3, 2, 3], 3.17.an_da_and 
(-13, 78, -339), [3, 2, 1], 3.17.an_da_anb 
(-13, 79, -348), [3, 3, 0], 3.17.an_db_ank 
(-13, 80, -355), [3, 0, 1], 3.17.an_dc_anr 
(-13, 80, -353), [3, 0, 3], 3.17.an_dc_anp 
(-13, 80, -350), [3, 0, 2], 3.17.an_dc_anm 
(-13, 81, -360), [3, 1, 0], 3.17.an_dd_anw 
(-13, 82, -373), [3, 2, 3], 3.17.an_de_aoj 
(-13, 82, -371), [3, 2, 1], 3.17.an_de_aoh 
(-13, 82, -369), [3, 2, 3], 3.17.an_de_aof 
(-13, 82, -367), [3, 2, 1], 3.17.an_de_aod 
(-13, 84, -389), [3, 0, 3], 3.17.an_dg_aoz 
