(-13, 97, -467), [3, 1, 13], 3.16.an_dt_arz 
(-13, 97, -463), [3, 1, 1], 3.16.an_dt_arv 
(-13, 97, -459), [3, 1, 5], 3.16.an_dt_arr 
(-13, 99, -477), [3, 3, 3], 3.16.an_dv_asj 
(-13, 99, -475), [3, 3, 5], 3.16.an_dv_ash 
(-13, 99, -473), [3, 3, 7], 3.16.an_dv_asf 
(-12, 62, -239), [4, 14, 1], 3.16.am_ck_ajf 
(-12, 64, -255), [4, 0, 1], 3.16.am_cm_ajv 
(-12, 64, -253), [4, 0, 3], 3.16.am_cm_ajt 
(-12, 66, -271), [4, 2, 1], 3.16.am_co_akl 
(-12, 66, -269), [4, 2, 3], 3.16.am_co_akj 
(-12, 66, -267), [4, 2, 5], 3.16.am_co_akh 
(-12, 68, -287), [4, 4, 1], 3.16.am_cq_alb 
(-12, 68, -285), [4, 4, 3], 3.16.am_cq_akz 
(-12, 68, -283), [4, 4, 5], 3.16.am_cq_akx 
(-12, 68, -281), [4, 4, 7], 3.16.am_cq_akv 
(-12, 70, -303), [4, 6, 1], 3.16.am_cs_alr 
(-12, 70, -301), [4, 6, 3], 3.16.am_cs_alp 
(-12, 70, -299), [4, 6, 5], 3.16.am_cs_aln 
(-12, 70, -297), [4, 6, 7], 3.16.am_cs_all 
(-12, 70, -295), [4, 6, 9], 3.16.am_cs_alj 
(-12, 72, -319), [4, 8, 1], 3.16.am_cu_amh 
(-12, 72, -317), [4, 8, 3], 3.16.am_cu_amf 
(-12, 72, -315), [4, 8, 5], 3.16.am_cu_amd 
(-12, 72, -313), [4, 8, 7], 3.16.am_cu_amb 
(-12, 72, -311), [4, 8, 9], 3.16.am_cu_alz 
(-12, 72, -309), [4, 8, 11], 3.16.am_cu_alx 
(-12, 74, -333), [4, 10, 3], 3.16.am_cw_amv 
(-12, 74, -331), [4, 10, 5], 3.16.am_cw_amt 
(-12, 74, -329), [4, 10, 7], 3.16.am_cw_amr 
(-12, 74, -327), [4, 10, 9], 3.16.am_cw_amp 
(-12, 74, -325), [4, 10, 11], 3.16.am_cw_amn 
(-12, 74, -323), [4, 10, 13], 3.16.am_cw_aml 
(-12, 76, -351), [4, 12, 1], 3.16.am_cy_ann 
(-12, 76, -347), [4, 12, 5], 3.16.am_cy_anj 
(-12, 76, -345), [4, 12, 7], 3.16.am_cy_anh 
(-12, 76, -341), [4, 12, 11], 3.16.am_cy_and 
(-12, 76, -339), [4, 12, 13], 3.16.am_cy_anb 
(-12, 76, -337), [4, 12, 15], 3.16.am_cy_amz 
(-12, 78, -367), [4, 14, 1], 3.16.am_da_aod 
(-12, 78, -365), [4, 14, 3], 3.16.am_da_aob 
(-12, 78, -363), [4, 14, 5], 3.16.am_da_anz 
(-12, 78, -361), [4, 14, 7], 3.16.am_da_anx 
(-12, 78, -357), [4, 14, 11], 3.16.am_da_ant 
(-12, 78, -355), [4, 14, 13], 3.16.am_da_anr 
(-12, 78, -353), [4, 14, 15], 3.16.am_da_anp 
(-12, 78, -351), [4, 14, 1], 3.16.am_da_ann 
(-12, 80, -383), [4, 0, 1], 3.16.am_dc_aot 
(-12, 80, -381), [4, 0, 3], 3.16.am_dc_aor 
(-12, 80, -379), [4, 0, 5], 3.16.am_dc_aop 
(-12, 80, -377), [4, 0, 7], 3.16.am_dc_aon 
(-12, 80, -375), [4, 0, 9], 3.16.am_dc_aol 
(-12, 80, -373), [4, 0, 11], 3.16.am_dc_aoj 
(-12, 80, -371), [4, 0, 13], 3.16.am_dc_aoh 
(-12, 80, -367), [4, 0, 1], 3.16.am_dc_aod 
(-12, 80, -365), [4, 0, 3], 3.16.am_dc_aob 
(-12, 80, -361), [4, 0, 7], 3.16.am_dc_anx 
(-12, 82, -399), [4, 2, 1], 3.16.am_de_apj 
(-12, 82, -397), [4, 2, 3], 3.16.am_de_aph 
(-12, 82, -395), [4, 2, 5], 3.16.am_de_apf 
(-12, 82, -393), [4, 2, 7], 3.16.am_de_apd 
(-12, 82, -391), [4, 2, 9], 3.16.am_de_apb 
(-12, 82, -389), [4, 2, 11], 3.16.am_de_aoz 
(-12, 82, -387), [4, 2, 13], 3.16.am_de_aox 
(-12, 82, -385), [4, 2, 15], 3.16.am_de_aov 
(-12, 82, -383), [4, 2, 1], 3.16.am_de_aot 
(-12, 82, -381), [4, 2, 3], 3.16.am_de_aor 
(-12, 82, -375), [4, 2, 9], 3.16.am_de_aol 
(-12, 82, -373), [4, 2, 11], 3.16.am_de_aoj 
(-12, 84, -415), [4, 4, 1], 3.16.am_dg_apz 
(-12, 84, -407), [4, 4, 9], 3.16.am_dg_apr 
(-12, 84, -405), [4, 4, 11], 3.16.am_dg_app 
(-12, 84, -403), [4, 4, 13], 3.16.am_dg_apn 
(-12, 84, -401), [4, 4, 15], 3.16.am_dg_apl 
(-12, 84, -399), [4, 4, 1], 3.16.am_dg_apj 
(-12, 84, -397), [4, 4, 3], 3.16.am_dg_aph 
(-12, 84, -395), [4, 4, 5], 3.16.am_dg_apf 
(-12, 84, -393), [4, 4, 7], 3.16.am_dg_apd 
(-12, 84, -387), [4, 4, 13], 3.16.am_dg_aox 
(-12, 86, -419), [4, 6, 13], 3.16.am_di_aqd 
(-12, 86, -413), [4, 6, 3], 3.16.am_di_apx 
(-12, 86, -409), [4, 6, 7], 3.16.am_di_apt 
(-12, 86, -407), [4, 6, 9], 3.16.am_di_apr 
(-12, 86, -403), [4, 6, 13], 3.16.am_di_apn 
(-12, 86, -401), [4, 6, 15], 3.16.am_di_apl 
(-12, 86, -397), [4, 6, 3], 3.16.am_di_aph 
(-12, 88, -421), [4, 8, 11], 3.16.am_dk_aqf 
(-12, 88, -417), [4, 8, 15], 3.16.am_dk_aqb 
(-12, 88, -415), [4, 8, 1], 3.16.am_dk_apz 
(-12, 88, -411), [4, 8, 5], 3.16.am_dk_apv 
(-12, 90, -427), [4, 10, 5], 3.16.am_dm_aql 
(-12, 90, -425), [4, 10, 7], 3.16.am_dm_aqj 
(-12, 90, -421), [4, 10, 11], 3.16.am_dm_aqf 
(-12, 92, -433), [4, 12, 15], 3.16.am_do_aqr 
(-12, 92, -431), [4, 12, 1], 3.16.am_do_aqp 
(-11, 41, -103), [5, 9, 9], 3.16.al_bp_adz 
(-11, 47, -151), [5, 15, 9], 3.16.al_bv_afv 
(-11, 49, -167), [5, 1, 9], 3.16.al_bx_agl 
(-11, 49, -165), [5, 1, 11], 3.16.al_bx_agj 
(-11, 51, -183), [5, 3, 9], 3.16.al_bz_ahb 
(-11, 51, -181), [5, 3, 11], 3.16.al_bz_agz 
(-11, 51, -179), [5, 3, 13], 3.16.al_bz_agx 
(-11, 53, -199), [5, 5, 9], 3.16.al_cb_ahr 
(-11, 53, -197), [5, 5, 11], 3.16.al_cb_ahp 
(-11, 53, -195), [5, 5, 13], 3.16.al_cb_ahn 
(-11, 53, -193), [5, 5, 15], 3.16.al_cb_ahl 
(-11, 55, -215), [5, 7, 9], 3.16.al_cd_aih 
(-11, 55, -213), [5, 7, 11], 3.16.al_cd_aif 
(-11, 55, -211), [5, 7, 13], 3.16.al_cd_aid 
(-11, 55, -209), [5, 7, 15], 3.16.al_cd_aib 
(-11, 55, -207), [5, 7, 1], 3.16.al_cd_ahz 
(-11, 57, -231), [5, 9, 9], 3.16.al_cf_aix 
