(-17, 144, -768), [2, 11, 11], 3.19.ar_fo_abdo 
(-17, 144, -767), [2, 11, 12], 3.19.ar_fo_abdn 
(-17, 145, -783), [2, 12, 15], 3.19.ar_fp_abed 
(-17, 145, -782), [2, 12, 16], 3.19.ar_fp_abec 
(-17, 145, -781), [2, 12, 17], 3.19.ar_fp_abeb 
(-17, 145, -776), [2, 12, 3], 3.19.ar_fp_abdw 
(-17, 146, -792), [2, 13, 6], 3.19.ar_fq_abem 
(-17, 146, -790), [2, 13, 8], 3.19.ar_fq_abek 
(-17, 146, -789), [2, 13, 9], 3.19.ar_fq_abej 
(-17, 146, -788), [2, 13, 10], 3.19.ar_fq_abei 
(-17, 146, -785), [2, 13, 13], 3.19.ar_fq_abef 
(-17, 146, -783), [2, 13, 15], 3.19.ar_fq_abed 
(-17, 146, -781), [2, 13, 17], 3.19.ar_fq_abeb 
(-17, 147, -788), [2, 14, 10], 3.19.ar_fr_abei 
(-17, 148, -800), [2, 15, 17], 3.19.ar_fs_abeu 
(-17, 148, -799), [2, 15, 18], 3.19.ar_fs_abet 
(-17, 148, -797), [2, 15, 1], 3.19.ar_fs_aber 
(-17, 148, -795), [2, 15, 3], 3.19.ar_fs_abep 
(-17, 148, -794), [2, 15, 4], 3.19.ar_fs_abeo 
(-17, 149, -804), [2, 16, 13], 3.19.ar_ft_abey 
(-17, 149, -803), [2, 16, 14], 3.19.ar_ft_abex 
(-17, 150, -809), [2, 17, 8], 3.19.ar_fu_abfd 
(-17, 151, -815), [2, 18, 2], 3.19.ar_fv_abfj 
(-16, 112, -534), [3, 17, 17], 3.19.aq_ei_auo 
(-16, 115, -559), [3, 1, 11], 3.19.aq_el_avn 
(-16, 117, -577), [3, 3, 12], 3.19.aq_en_awf 
(-16, 118, -586), [3, 4, 3], 3.19.aq_eo_awo 
(-16, 118, -585), [3, 4, 4], 3.19.aq_eo_awn 
(-16, 119, -595), [3, 5, 13], 3.19.aq_ep_awx 
(-16, 119, -593), [3, 5, 15], 3.19.aq_ep_awv 
(-16, 120, -603), [3, 6, 5], 3.19.aq_eq_axf 
(-16, 120, -601), [3, 6, 7], 3.19.aq_eq_axd 
(-16, 122, -621), [3, 8, 6], 3.19.aq_es_axx 
(-16, 122, -619), [3, 8, 8], 3.19.aq_es_axv 
(-16, 122, -617), [3, 8, 10], 3.19.aq_es_axt 
(-16, 124, -638), [3, 10, 8], 3.19.aq_eu_ayo 
(-16, 124, -637), [3, 10, 9], 3.19.aq_eu_ayn 
(-16, 124, -635), [3, 10, 11], 3.19.aq_eu_ayl 
(-16, 124, -634), [3, 10, 12], 3.19.aq_eu_ayk 
(-16, 124, -633), [3, 10, 13], 3.19.aq_eu_ayj 
(-16, 125, -647), [3, 11, 18], 3.19.aq_ev_ayx 
(-16, 125, -641), [3, 11, 5], 3.19.aq_ev_ayr 
(-16, 126, -655), [3, 12, 10], 3.19.aq_ew_azf 
(-16, 126, -653), [3, 12, 12], 3.19.aq_ew_azd 
(-16, 126, -651), [3, 12, 14], 3.19.aq_ew_azb 
(-16, 126, -649), [3, 12, 16], 3.19.aq_ew_ayz 
(-16, 127, -659), [3, 13, 6], 3.19.aq_ex_azj 
(-16, 128, -673), [3, 14, 11], 3.19.aq_ey_azx 
