(2, 5, 11), [2, 2, 2], 3.3.c_f_l 
(2, 6, 7), [2, 0, 1], 3.3.c_g_h 
(2, 6, 10), [2, 0, 1], 3.3.c_g_k 
(2, 6, 11), [2, 0, 2], 3.3.c_g_l 
(2, 8, 11), [2, 2, 2], 3.3.c_i_l 
(3, 0, -8), [0, 0, 1], 3.3.d_a_ai 
(3, 1, -5), [0, 1, 1], 3.3.d_b_af 
(3, 2, -2), [0, 2, 1], 3.3.d_c_ac 
(3, 2, -1), [0, 2, 2], 3.3.d_c_ab 
(3, 4, 5), [0, 1, 2], 3.3.d_e_f 
(3, 6, 11), [0, 0, 2], 3.3.d_g_l 
(3, 8, 13), [0, 2, 1], 3.3.d_i_n 
(3, 8, 17), [0, 2, 2], 3.3.d_i_r 
(4, 6, 7), [1, 0, 1], 3.3.e_g_h 
(4, 8, 13), [1, 2, 1], 3.3.e_i_n 
(4, 10, 19), [1, 1, 1], 3.3.e_k_t 
(4, 12, 23), [1, 0, 2], 3.3.e_m_x 
(5, 13, 25), [2, 1, 1], 3.3.f_n_z 
(5, 15, 31), [2, 0, 1], 3.3.f_p_bf 
