(-14, 98, -463), [2, 2, 1], 3.16.ao_du_arv 
(-14, 99, -471), [2, 3, 1], 3.16.ao_dv_asd 
(-14, 99, -469), [2, 3, 3], 3.16.ao_dv_asb 
(-14, 99, -467), [2, 3, 1], 3.16.ao_dv_arz 
(-14, 99, -465), [2, 3, 3], 3.16.ao_dv_arx 
(-14, 99, -463), [2, 3, 1], 3.16.ao_dv_arv 
(-14, 101, -487), [2, 1, 1], 3.16.ao_dx_ast 
(-14, 101, -485), [2, 1, 3], 3.16.ao_dx_asr 
(-14, 101, -483), [2, 1, 1], 3.16.ao_dx_asp 
(-14, 101, -481), [2, 1, 3], 3.16.ao_dx_asn 
(-14, 101, -479), [2, 1, 1], 3.16.ao_dx_asl 
(-14, 101, -477), [2, 1, 3], 3.16.ao_dx_asj 
(-14, 102, -495), [2, 2, 1], 3.16.ao_dy_atb 
(-14, 102, -485), [2, 2, 3], 3.16.ao_dy_asr 
(-14, 103, -503), [2, 3, 1], 3.16.ao_dz_atj 
(-14, 103, -501), [2, 3, 3], 3.16.ao_dz_ath 
(-14, 103, -499), [2, 3, 1], 3.16.ao_dz_atf 
(-14, 103, -497), [2, 3, 3], 3.16.ao_dz_atd 
(-14, 103, -495), [2, 3, 1], 3.16.ao_dz_atb 
(-14, 103, -493), [2, 3, 3], 3.16.ao_dz_asz 
(-14, 103, -491), [2, 3, 1], 3.16.ao_dz_asx 
(-14, 103, -489), [2, 3, 3], 3.16.ao_dz_asv 
(-14, 104, -511), [2, 0, 1], 3.16.ao_ea_atr 
(-14, 104, -501), [2, 0, 3], 3.16.ao_ea_ath 
(-14, 105, -519), [2, 1, 1], 3.16.ao_eb_atz 
(-14, 105, -517), [2, 1, 3], 3.16.ao_eb_atx 
(-14, 105, -515), [2, 1, 1], 3.16.ao_eb_atv 
(-14, 105, -513), [2, 1, 3], 3.16.ao_eb_att 
(-14, 105, -511), [2, 1, 1], 3.16.ao_eb_atr 
(-14, 105, -509), [2, 1, 3], 3.16.ao_eb_atp 
(-14, 105, -507), [2, 1, 1], 3.16.ao_eb_atn 
(-14, 105, -505), [2, 1, 3], 3.16.ao_eb_atl 
(-14, 105, -503), [2, 1, 1], 3.16.ao_eb_atj 
(-14, 106, -521), [2, 2, 3], 3.16.ao_ec_aub 
(-14, 106, -515), [2, 2, 1], 3.16.ao_ec_atv 
(-14, 107, -525), [2, 3, 3], 3.16.ao_ed_auf 
(-14, 107, -523), [2, 3, 1], 3.16.ao_ed_aud 
(-14, 107, -521), [2, 3, 3], 3.16.ao_ed_aub 
(-14, 107, -519), [2, 3, 1], 3.16.ao_ed_atz 
(-14, 107, -517), [2, 3, 3], 3.16.ao_ed_atx 
(-14, 107, -515), [2, 3, 1], 3.16.ao_ed_atv 
(-14, 108, -527), [2, 0, 1], 3.16.ao_ee_auh 
(-14, 108, -521), [2, 0, 3], 3.16.ao_ee_aub 
(-14, 109, -531), [2, 1, 1], 3.16.ao_ef_aul 
(-14, 109, -529), [2, 1, 3], 3.16.ao_ef_auj 
(-14, 109, -527), [2, 1, 1], 3.16.ao_ef_auh 
(-14, 111, -539), [2, 3, 1], 3.16.ao_eh_aut 
(-13, 72, -287), [3, 0, 1], 3.16.an_cu_alb 
(-13, 73, -295), [3, 1, 1], 3.16.an_cv_alj 
(-13, 74, -303), [3, 2, 1], 3.16.an_cw_alr 
(-13, 76, -319), [3, 0, 1], 3.16.an_cy_amh 
(-13, 76, -317), [3, 0, 3], 3.16.an_cy_amf 
(-13, 78, -335), [3, 2, 1], 3.16.an_da_amx 
(-13, 78, -333), [3, 2, 3], 3.16.an_da_amv 
(-13, 80, -351), [3, 0, 1], 3.16.an_dc_ann 
(-13, 80, -349), [3, 0, 3], 3.16.an_dc_anl 
(-13, 80, -347), [3, 0, 1], 3.16.an_dc_anj 
(-13, 81, -355), [3, 1, 1], 3.16.an_dd_anr 
(-13, 82, -367), [3, 2, 1], 3.16.an_de_aod 
(-13, 82, -365), [3, 2, 3], 3.16.an_de_aob 
(-13, 82, -363), [3, 2, 1], 3.16.an_de_anz 
(-13, 82, -361), [3, 2, 3], 3.16.an_de_anx 
(-13, 84, -383), [3, 0, 1], 3.16.an_dg_aot 
(-13, 84, -381), [3, 0, 3], 3.16.an_dg_aor 
(-13, 84, -379), [3, 0, 1], 3.16.an_dg_aop 
(-13, 84, -377), [3, 0, 3], 3.16.an_dg_aon 
