(-3, 4, -1), [1, 0, 3], 3.5.ad_e_ab 
(-3, 4, 1), [1, 0, 1], 3.5.ad_e_b 
(-3, 6, -17), [1, 2, 3], 3.5.ad_g_ar 
(-3, 6, -13), [1, 2, 3], 3.5.ad_g_an 
(-3, 6, -11), [1, 2, 1], 3.5.ad_g_al 
(-3, 6, -9), [1, 2, 3], 3.5.ad_g_aj 
(-3, 6, -7), [1, 2, 1], 3.5.ad_g_ah 
(-3, 7, -8), [1, 3, 0], 3.5.ad_h_ai 
(-3, 8, -28), [1, 0, 0], 3.5.ad_i_abc 
(-3, 8, -27), [1, 0, 1], 3.5.ad_i_abb 
(-3, 8, -23), [1, 0, 1], 3.5.ad_i_ax 
(-3, 8, -19), [1, 0, 1], 3.5.ad_i_at 
(-3, 8, -17), [1, 0, 3], 3.5.ad_i_ar 
(-3, 8, -13), [1, 0, 3], 3.5.ad_i_an 
(-3, 8, -11), [1, 0, 1], 3.5.ad_i_al 
(-3, 10, -29), [1, 2, 3], 3.5.ad_k_abd 
(-3, 10, -27), [1, 2, 1], 3.5.ad_k_abb 
(-3, 10, -22), [1, 2, 2], 3.5.ad_k_aw 
(-3, 10, -21), [1, 2, 3], 3.5.ad_k_av 
(-3, 10, -19), [1, 2, 1], 3.5.ad_k_at 
(-3, 10, -17), [1, 2, 3], 3.5.ad_k_ar 
(-3, 12, -27), [1, 0, 1], 3.5.ad_m_abb 
(-3, 12, -23), [1, 0, 1], 3.5.ad_m_ax 
(-3, 14, -29), [1, 2, 3], 3.5.ad_o_abd 
(-3, 15, -29), [1, 3, 3], 3.5.ad_p_abd 
(-2, -4, 17), [2, 0, 1], 3.5.ac_ae_r 
(-2, -4, 19), [2, 0, 3], 3.5.ac_ae_t 
(-2, -4, 21), [2, 0, 1], 3.5.ac_ae_v 
(-2, -4, 23), [2, 0, 3], 3.5.ac_ae_x 
(-2, -3, 12), [2, 1, 0], 3.5.ac_ad_m 
(-2, -3, 13), [2, 1, 1], 3.5.ac_ad_n 
(-2, -3, 17), [2, 1, 1], 3.5.ac_ad_r 
(-2, -3, 18), [2, 1, 2], 3.5.ac_ad_s 
(-2, -3, 21), [2, 1, 1], 3.5.ac_ad_v 
(-2, -3, 22), [2, 1, 2], 3.5.ac_ad_w 
(-2, -3, 23), [2, 1, 3], 3.5.ac_ad_x 
(-2, -2, 7), [2, 2, 3], 3.5.ac_ac_h 
(-2, -2, 9), [2, 2, 1], 3.5.ac_ac_j 
(-2, -2, 11), [2, 2, 3], 3.5.ac_ac_l 
(-2, -2, 13), [2, 2, 1], 3.5.ac_ac_n 
(-2, -2, 17), [2, 2, 1], 3.5.ac_ac_r 
(-2, -2, 19), [2, 2, 3], 3.5.ac_ac_t 
(-2, -2, 21), [2, 2, 1], 3.5.ac_ac_v 
(-2, -1, 7), [2, 3, 3], 3.5.ac_ab_h 
(-2, -1, 11), [2, 3, 3], 3.5.ac_ab_l 
(-2, -1, 18), [2, 3, 2], 3.5.ac_ab_s 
(-2, 0, -1), [2, 0, 3], 3.5.ac_a_ab 
(-2, 0, 1), [2, 0, 1], 3.5.ac_a_b 
(-2, 0, 3), [2, 0, 3], 3.5.ac_a_d 
(-2, 0, 7), [2, 0, 3], 3.5.ac_a_h 
(-2, 0, 9), [2, 0, 1], 3.5.ac_a_j 
(-2, 0, 11), [2, 0, 3], 3.5.ac_a_l 
(-2, 0, 13), [2, 0, 1], 3.5.ac_a_n 
(-2, 0, 14), [2, 0, 2], 3.5.ac_a_o 
(-2, 1, -6), [2, 1, 2], 3.5.ac_b_ag 
(-2, 1, -3), [2, 1, 1], 3.5.ac_b_ad 
(-2, 1, 7), [2, 1, 3], 3.5.ac_b_h 
(-2, 2, -11), [2, 2, 1], 3.5.ac_c_al 
(-2, 2, -9), [2, 2, 3], 3.5.ac_c_aj 
(-2, 2, -7), [2, 2, 1], 3.5.ac_c_ah 
(-2, 2, -3), [2, 2, 1], 3.5.ac_c_ad 
(-2, 2, -1), [2, 2, 3], 3.5.ac_c_ab 
(-2, 2, 1), [2, 2, 1], 3.5.ac_c_b 
(-2, 2, 3), [2, 2, 3], 3.5.ac_c_d 
(-2, 2, 7), [2, 2, 3], 3.5.ac_c_h 
(-2, 2, 9), [2, 2, 1], 3.5.ac_c_j 
(-2, 3, -1), [2, 3, 3], 3.5.ac_d_ab 
(-2, 4, -19), [2, 0, 1], 3.5.ac_e_at 
(-2, 4, -17), [2, 0, 3], 3.5.ac_e_ar 
(-2, 4, -13), [2, 0, 3], 3.5.ac_e_an 
(-2, 4, -11), [2, 0, 1], 3.5.ac_e_al 
(-2, 4, -9), [2, 0, 3], 3.5.ac_e_aj 
(-2, 4, -7), [2, 0, 1], 3.5.ac_e_ah 
(-2, 4, -3), [2, 0, 1], 3.5.ac_e_ad 
(-2, 4, -1), [2, 0, 3], 3.5.ac_e_ab 
(-2, 4, 1), [2, 0, 1], 3.5.ac_e_b 
(-2, 4, 3), [2, 0, 3], 3.5.ac_e_d 
(-2, 5, -21), [2, 1, 3], 3.5.ac_f_av 
(-2, 5, -3), [2, 1, 1], 3.5.ac_f_ad 
(-2, 6, -23), [2, 2, 1], 3.5.ac_g_ax 
(-2, 6, -21), [2, 2, 3], 3.5.ac_g_av 
(-2, 6, -19), [2, 2, 1], 3.5.ac_g_at 
(-2, 6, -17), [2, 2, 3], 3.5.ac_g_ar 
(-2, 6, -13), [2, 2, 3], 3.5.ac_g_an 
(-2, 6, -11), [2, 2, 1], 3.5.ac_g_al 
(-2, 6, -9), [2, 2, 3], 3.5.ac_g_aj 
(-2, 6, -7), [2, 2, 1], 3.5.ac_g_ah 
(-2, 6, -3), [2, 2, 1], 3.5.ac_g_ad 
(-2, 6, -1), [2, 2, 3], 3.5.ac_g_ab 
(-2, 7, -23), [2, 3, 1], 3.5.ac_h_ax 
(-2, 7, -13), [2, 3, 3], 3.5.ac_h_an 
(-2, 8, -23), [2, 0, 1], 3.5.ac_i_ax 
(-2, 8, -21), [2, 0, 3], 3.5.ac_i_av 
(-2, 8, -19), [2, 0, 1], 3.5.ac_i_at 
(-2, 8, -17), [2, 0, 3], 3.5.ac_i_ar 
(-2, 8, -13), [2, 0, 3], 3.5.ac_i_an 
(-2, 8, -11), [2, 0, 1], 3.5.ac_i_al 
(-2, 8, -9), [2, 0, 3], 3.5.ac_i_aj 
(-2, 8, -7), [2, 0, 1], 3.5.ac_i_ah 
(-2, 9, -22), [2, 1, 2], 3.5.ac_j_aw 
(-2, 10, -21), [2, 2, 3], 3.5.ac_k_av 
(-2, 10, -19), [2, 2, 1], 3.5.ac_k_at 
(-2, 10, -17), [2, 2, 3], 3.5.ac_k_ar 
(-2, 10, -13), [2, 2, 3], 3.5.ac_k_an 
(-2, 10, -11), [2, 2, 1], 3.5.ac_k_al 
(-2, 11, -13), [2, 3, 3], 3.5.ac_l_an 
(-2, 12, -19), [2, 0, 1], 3.5.ac_m_at 
(-2, 12, -17), [2, 0, 3], 3.5.ac_m_ar 
(-2, 14, -19), [2, 2, 1], 3.5.ac_o_at 
(-1, -4, 6), [3, 0, 2], 3.5.ab_ae_g 
(-1, -4, 7), [3, 0, 3], 3.5.ab_ae_h 
(-1, -4, 11), [3, 0, 3], 3.5.ab_ae_l 
(-1, -4, 13), [3, 0, 1], 3.5.ab_ae_n 
(-1, -4, 14), [3, 0, 2], 3.5.ab_ae_o 
(-1, -3, 9), [3, 1, 1], 3.5.ab_ad_j 
(-1, -3, 16), [3, 1, 0], 3.5.ab_ad_q 
(-1, -2, -3), [3, 2, 1], 3.5.ab_ac_ad 
(-1, -2, -2), [3, 2, 2], 3.5.ab_ac_ac 
(-1, -2, -1), [3, 2, 3], 3.5.ab_ac_ab 
(-1, -2, 1), [3, 2, 1], 3.5.ab_ac_b 
(-1, -2, 3), [3, 2, 3], 3.5.ab_ac_d 
(-1, -2, 9), [3, 2, 1], 3.5.ab_ac_j 
(-1, -2, 11), [3, 2, 3], 3.5.ab_ac_l 
(-1, -2, 13), [3, 2, 1], 3.5.ab_ac_n 
(-1, -2, 17), [3, 2, 1], 3.5.ab_ac_r 
(-1, -2, 18), [3, 2, 2], 3.5.ab_ac_s 
(-1, -2, 19), [3, 2, 3], 3.5.ab_ac_t 
(-1, -2, 21), [3, 2, 1], 3.5.ab_ac_v 
(-1, -2, 22), [3, 2, 2], 3.5.ab_ac_w 
(-1, -1, 12), [3, 3, 0], 3.5.ab_ab_m 
(-1, 0, -12), [3, 0, 0], 3.5.ab_a_am 
(-1, 0, -11), [3, 0, 1], 3.5.ab_a_al 
(-1, 0, -9), [3, 0, 3], 3.5.ab_a_aj 
(-1, 0, -7), [3, 0, 1], 3.5.ab_a_ah 
(-1, 0, -3), [3, 0, 1], 3.5.ab_a_ad 
(-1, 0, -1), [3, 0, 3], 3.5.ab_a_ab 
(-1, 0, 1), [3, 0, 1], 3.5.ab_a_b 
(-1, 0, 3), [3, 0, 3], 3.5.ab_a_d 
(-1, 0, 7), [3, 0, 3], 3.5.ab_a_h 
(-1, 0, 9), [3, 0, 1], 3.5.ab_a_j 
(-1, 0, 11), [3, 0, 3], 3.5.ab_a_l 
(-1, 0, 13), [3, 0, 1], 3.5.ab_a_n 
(-1, 1, 12), [3, 1, 0], 3.5.ab_b_m 
(-1, 2, -19), [3, 2, 1], 3.5.ab_c_at 
(-1, 2, -17), [3, 2, 3], 3.5.ab_c_ar 
(-1, 2, -11), [3, 2, 1], 3.5.ab_c_al 
(-1, 2, -9), [3, 2, 3], 3.5.ab_c_aj 
(-1, 2, -7), [3, 2, 1], 3.5.ab_c_ah 
(-1, 2, -3), [3, 2, 1], 3.5.ab_c_ad 
(-1, 2, -1), [3, 2, 3], 3.5.ab_c_ab 
(-1, 2, 1), [3, 2, 1], 3.5.ab_c_b 
(-1, 2, 7), [3, 2, 3], 3.5.ab_c_h 
(-1, 2, 9), [3, 2, 1], 3.5.ab_c_j 
(-1, 2, 13), [3, 2, 1], 3.5.ab_c_n 
(-1, 4, -17), [3, 0, 3], 3.5.ab_e_ar 
(-1, 4, -13), [3, 0, 3], 3.5.ab_e_an 
(-1, 4, -11), [3, 0, 1], 3.5.ab_e_al 
(-1, 4, -9), [3, 0, 3], 3.5.ab_e_aj 
(-1, 4, -3), [3, 0, 1], 3.5.ab_e_ad 
(-1, 4, -1), [3, 0, 3], 3.5.ab_e_ab 
(-1, 4, 3), [3, 0, 3], 3.5.ab_e_d 
(-1, 4, 7), [3, 0, 3], 3.5.ab_e_h 
(-1, 6, -13), [3, 2, 3], 3.5.ab_g_an 
(-1, 6, -11), [3, 2, 1], 3.5.ab_g_al 
(-1, 6, -9), [3, 2, 3], 3.5.ab_g_aj 
(-1, 6, -7), [3, 2, 1], 3.5.ab_g_ah 
