(-10, -10, -10), [2, 2, 2], 3.25.abe_ol_adse 
(-10, -10, -5), [2, 2, 3], 3.25.az_kp_acpi 
(-10, -10, 5), [2, 2, 1], 3.25.ap_cx_ajq 
(-5, -5, -5), [3, 3, 3], 3.25.ap_fu_abhr 
(-10, -10, 10), [2, 2, 2], 3.25.ak_az_tg 
(-5, -5, 5), [3, 3, 1], 3.25.af_by_aev 
(-5, 5, 5), [3, 1, 1], 3.25.f_by_ev 
(-10, 10, 10), [2, 2, 2], 3.25.k_az_atg 
(-5, 10, 10), [3, 2, 2], 3.25.p_cx_jq 
(5, 5, 5), [1, 1, 1], 3.25.p_fu_bhr 
(5, 10, 10), [1, 2, 2], 3.25.z_kp_cpi 
(10, 10, 10), [2, 2, 2], 3.25.be_ol_dse 
