(-10, -5, -5), [15, 20, 20] 
(-10, -5, 5), [15, 20, 5] 
(-10, 0, 0), [15, 0, 0] 
(-10, 10, -5), [15, 10, 20] 
(-5, 0, 0), [20, 0, 0] 
(-10, 5, 5), [15, 5, 5] 
(10, -5, -5), [10, 20, 20] 
(-10, 10, 5), [15, 10, 5] 
(5, 0, 0), [5, 0, 0] 
(10, -5, 5), [10, 20, 5] 
(10, 0, 0), [10, 0, 0] 
(10, 5, 5), [10, 5, 5] 
