1,-15,125,-725,3125,-9375,15625
1,-10,75,-475,1875,-6250,15625
1,-10,75,-450,1875,-6250,15625
1,-10,75,-425,1875,-6250,15625
1,-10,75,-400,1875,-6250,15625
1,-5,0,50,0,-3125,15625
1,-5,0,100,0,-3125,15625
1,-5,0,150,0,-3125,15625
1,-5,25,-225,625,-3125,15625
1,-5,25,-200,625,-3125,15625
1,-5,25,-175,625,-3125,15625
1,-5,25,-150,625,-3125,15625
1,-5,25,-100,625,-3125,15625
1,-5,25,-75,625,-3125,15625
1,-5,25,-50,625,-3125,15625
1,-5,25,-25,625,-3125,15625
1,-5,50,-200,1250,-3125,15625
1,-5,50,-150,1250,-3125,15625
1,0,0,-200,0,0,15625
1,0,0,-150,0,0,15625
1,0,0,-100,0,0,15625
1,0,0,-50,0,0,15625
1,0,0,50,0,0,15625
1,0,0,100,0,0,15625
1,0,0,150,0,0,15625
1,0,0,200,0,0,15625
1,0,25,-100,625,0,15625
1,0,25,-75,625,0,15625
1,0,25,-50,625,0,15625
1,0,25,-25,625,0,15625
1,0,25,25,625,0,15625
1,0,25,50,625,0,15625
1,0,25,75,625,0,15625
1,0,25,100,625,0,15625
1,5,0,-150,0,3125,15625
1,5,0,-100,0,3125,15625
1,5,0,-50,0,3125,15625
1,5,25,25,625,3125,15625
1,5,25,50,625,3125,15625
1,5,25,75,625,3125,15625
1,5,25,100,625,3125,15625
1,5,25,150,625,3125,15625
1,5,25,175,625,3125,15625
1,5,25,200,625,3125,15625
1,5,25,225,625,3125,15625
1,5,50,150,1250,3125,15625
1,5,50,200,1250,3125,15625
1,10,75,400,1875,6250,15625
1,10,75,425,1875,6250,15625
1,10,75,450,1875,6250,15625
1,10,75,475,1875,6250,15625
1,15,125,725,3125,9375,15625
