[1, -6, -11, 132, -121, -726, 1331], (-6, 0, 0)
[1, -5, -11, 110, -121, -605, 1331], (-5, 0, 0)
[1, -3, -11, 66, -121, -363, 1331], (-3, 0, 0)
[1, -3, 33, -66, 363, -363, 1331], (-3, 0, 0)
[1, -2, -11, 44, -121, -242, 1331], (-2, 0, 0)
[1, -2, 33, -44, 363, -242, 1331], (-2, 0, 0)
[1, -1, -11, 22, -121, -121, 1331], (-1, 0, 0)
[1, 1, -11, -22, -121, 121, 1331], (1, 0, 0)
[1, 2, -11, -44, -121, 242, 1331], (2, 0, 0)
[1, 2, 33, 44, 363, 242, 1331], (2, 0, 0)
[1, 3, -11, -66, -121, 363, 1331], (3, 0, 0)
[1, 3, 33, 66, 363, 363, 1331], (3, 0, 0)
[1, 5, -11, -110, -121, 605, 1331], (5, 0, 0)
[1, 6, -11, -132, -121, 726, 1331], (6, 0, 0)
