(-7, 10, 10), [1, 2, 2], 3.25.n_bj_aby 
(-5, 8, 10), [3, 0, 2], 3.25.n_cn_jq 
(-2, 5, 10), [2, 1, 2], 3.25.n_dr_ve 
(3, 5, 5), [3, 1, 1], 3.25.n_fa_bbx 
(-5, 9, 10), [3, 1, 2], 3.25.o_cs_jq 
(-1, 5, 10), [3, 1, 2], 3.25.o_eg_za 
(4, 5, 5), [0, 1, 1], 3.25.o_fk_beu 
(-4, 10, 10), [0, 2, 2], 3.25.q_dr_pk 
(5, 5, 6), [1, 1, 2], 3.25.q_ge_bko 
(-3, 10, 10), [1, 2, 2], 3.25.r_el_ve 
(2, 5, 10), [2, 1, 2], 3.25.r_fz_bko 
(5, 5, 7), [1, 1, 3], 3.25.r_go_bnl 
(-2, 10, 10), [2, 2, 2], 3.25.s_ff_bay 
(3, 5, 10), [3, 1, 2], 3.25.s_go_bok 
(-1, 10, 10), [3, 2, 2], 3.25.t_fz_bgs 
(4, 5, 10), [0, 1, 2], 3.25.t_hd_bsg 
(5, 5, 9), [1, 1, 1], 3.25.t_hi_btf 
(1, 10, 10), [1, 2, 2], 3.25.v_hn_bsg 
(5, 6, 10), [1, 2, 2], 3.25.v_ih_bzy 
(2, 10, 10), [2, 2, 2], 3.25.w_ih_bya 
(5, 7, 10), [1, 3, 2], 3.25.w_iw_cdu 
(3, 10, 10), [3, 2, 2], 3.25.x_jb_cdu 
(5, 8, 10), [1, 0, 2], 3.25.x_jl_chq 
(4, 10, 10), [0, 2, 2], 3.25.y_jv_cjo 
(5, 9, 10), [1, 1, 2], 3.25.y_ka_clm 
(7, 10, 10), [3, 2, 2], 3.25.bb_md_daw 
(8, 10, 10), [0, 2, 2], 3.25.bc_mx_dgq 
(9, 10, 10), [1, 2, 2], 3.25.bd_nr_dmk 
