(2, -9, 51), [2, 3, 3], 3.17.ah_by_ahw 
(0, -7, 38), [0, 1, 2], 3.17.ah_cd_aje 
(0, -7, 39), [0, 1, 3], 3.17.ah_ce_aje 
(0, -7, 41), [0, 1, 1], 3.17.ah_cg_aje 
(0, -7, 42), [0, 1, 2], 3.17.ah_ch_aje 
(0, -7, 43), [0, 1, 3], 3.17.ah_ci_aje 
(0, -7, 45), [0, 1, 1], 3.17.ah_ck_aje 
(-8, 2, 0), [0, 2, 0], 3.17.ag_b_cq 
(-5, -1, -17), [3, 3, 3], 3.17.ag_f_bz 
(-4, -2, -17), [0, 2, 3], 3.17.ag_i_a 
(-7, 1, 0), [1, 1, 0], 3.17.ag_k_bi 
(6, -12, 68), [2, 0, 0], 3.17.ag_n_a 
(-8, 2, 17), [0, 2, 1], 3.17.ag_s_acq 
(-5, -1, 0), [3, 3, 0], 3.17.ag_w_abi 
(-2, -4, 0), [2, 0, 0], 3.17.ag_z_afg 
(-4, -2, 0), [0, 2, 0], 3.17.ag_z_acq 
(-3, -3, 0), [1, 1, 0], 3.17.ag_ba_ady 
(-7, 1, 17), [1, 1, 1], 3.17.ag_bb_adh 
(4, -10, 51), [0, 2, 3], 3.17.ag_bc_afg 
(0, -6, 16), [0, 2, 0], 3.17.ag_bh_ahw 
(0, -6, 19), [0, 2, 3], 3.17.ag_bk_ahw 
(0, -6, 20), [0, 2, 0], 3.17.ag_bl_ahw 
(0, -6, 21), [0, 2, 1], 3.17.ag_bm_ahw 
(0, -6, 22), [0, 2, 2], 3.17.ag_bn_ahw 
(-1, -5, 17), [3, 3, 1], 3.17.ag_bn_ahf 
(0, -6, 23), [0, 2, 3], 3.17.ag_bo_ahw 
(0, -6, 24), [0, 2, 0], 3.17.ag_bp_ahw 
(3, -9, 51), [3, 3, 3], 3.17.ag_bp_afx 
(0, -6, 25), [0, 2, 1], 3.17.ag_bq_ahw 
(-2, -4, 17), [2, 0, 1], 3.17.ag_bq_ago 
(-4, -2, 17), [0, 2, 1], 3.17.ag_bq_afg 
(0, -6, 26), [0, 2, 2], 3.17.ag_br_ahw 
(-3, -3, 17), [1, 1, 1], 3.17.ag_br_afx 
(0, -6, 28), [0, 2, 0], 3.17.ag_bt_ahw 
(0, -6, 29), [0, 2, 1], 3.17.ag_bu_ahw 
(0, -6, 30), [0, 2, 2], 3.17.ag_bv_ahw 
(0, -6, 31), [0, 2, 3], 3.17.ag_bw_ahw 
(0, -6, 32), [0, 2, 0], 3.17.ag_bx_ahw 
(0, -6, 36), [0, 2, 0], 3.17.ag_cb_ahw 
(0, -6, 37), [0, 2, 1], 3.17.ag_cc_ahw 
(0, -6, 38), [0, 2, 2], 3.17.ag_cd_ahw 
(0, -6, 40), [0, 2, 0], 3.17.ag_cf_ahw 
(0, -6, 41), [0, 2, 1], 3.17.ag_cg_ahw 
(-8, 3, 0), [0, 3, 0], 3.17.af_ah_dy 
(-6, 1, -17), [2, 1, 3], 3.17.af_ag_fg 
(7, -12, 68), [3, 0, 0], 3.17.af_b_cq 
(-7, 2, 0), [1, 2, 0], 3.17.af_d_cq 
(-4, -1, -17), [0, 3, 3], 3.17.af_e_bi 
(-8, 3, 17), [0, 3, 1], 3.17.af_k_abi 
(-6, 1, 0), [2, 1, 0], 3.17.af_l_bi 
(-1, -4, 0), [3, 0, 0], 3.17.af_v_afg 
(-4, -1, 0), [0, 3, 0], 3.17.af_v_abi 
(-2, -3, 0), [2, 1, 0], 3.17.af_x_ady 
(-3, -2, 0), [1, 2, 0], 3.17.af_x_acq 
(0, -5, 8), [0, 3, 0], 3.17.af_z_ago 
(0, -5, 9), [0, 3, 1], 3.17.af_ba_ago 
(0, -5, 11), [0, 3, 3], 3.17.af_bc_ago 
(-6, 1, 17), [2, 1, 1], 3.17.af_bc_acq 
(0, -5, 12), [0, 3, 0], 3.17.af_bd_ago 
(0, -5, 13), [0, 3, 1], 3.17.af_be_ago 
(0, -5, 14), [0, 3, 2], 3.17.af_bf_ago 
(0, -5, 15), [0, 3, 3], 3.17.af_bg_ago 
(4, -9, 51), [0, 3, 3], 3.17.af_bg_ady 
(0, -5, 16), [0, 3, 0], 3.17.af_bh_ago 
(0, -5, 18), [0, 3, 2], 3.17.af_bj_ago 
(0, -5, 19), [0, 3, 3], 3.17.af_bk_ago 
(0, -5, 21), [0, 3, 1], 3.17.af_bm_ago 
(-4, -1, 17), [0, 3, 1], 3.17.af_bm_ady 
(0, -5, 22), [0, 3, 2], 3.17.af_bn_ago 
(0, -5, 23), [0, 3, 3], 3.17.af_bo_ago 
(-2, -3, 17), [2, 1, 1], 3.17.af_bo_afg 
(0, -5, 24), [0, 3, 0], 3.17.af_bp_ago 
(0, -5, 25), [0, 3, 1], 3.17.af_bq_ago 
(0, -5, 26), [0, 3, 2], 3.17.af_br_ago 
(0, -5, 27), [0, 3, 3], 3.17.af_bs_ago 
(0, -5, 29), [0, 3, 1], 3.17.af_bu_ago 
(0, -5, 30), [0, 3, 2], 3.17.af_bv_ago 
(0, -5, 39), [0, 3, 3], 3.17.af_ce_ago 
(-8, 4, 0), [0, 0, 0], 3.17.ae_ap_fg 
(8, -12, 68), [0, 0, 0], 3.17.ae_al_fg 
(-5, 1, -17), [3, 1, 3], 3.17.ae_af_ep 
(-7, 3, 0), [1, 3, 0], 3.17.ae_ae_dy 
(-8, 4, 17), [0, 0, 1], 3.17.ae_c_a 
(-3, -1, -17), [1, 3, 3], 3.17.ae_d_r 
(-2, -2, -17), [2, 2, 3], 3.17.ae_e_abi 
(-6, 2, 0), [2, 2, 0], 3.17.ae_f_cq 
(6, -10, 51), [2, 2, 3], 3.17.ae_i_abi 
(-5, 1, 0), [3, 1, 0], 3.17.ae_m_bi 
(-7, 3, 17), [1, 3, 1], 3.17.ae_n_ar 
(0, -4, -1), [0, 0, 3], 3.17.ae_q_afg 
(0, -4, 1), [0, 0, 1], 3.17.ae_s_afg 
(0, -4, 3), [0, 0, 3], 3.17.ae_u_afg 
(-1, -3, 0), [3, 1, 0], 3.17.ae_u_ady 
(-3, -1, 0), [1, 3, 0], 3.17.ae_u_abi 
(0, -4, 4), [0, 0, 0], 3.17.ae_v_afg 
(-2, -2, 0), [2, 2, 0], 3.17.ae_v_acq 
(0, -4, 5), [0, 0, 1], 3.17.ae_w_afg 
(-6, 2, 17), [2, 2, 1], 3.17.ae_w_abi 
(0, -4, 6), [0, 0, 2], 3.17.ae_x_afg 
(5, -9, 51), [1, 3, 3], 3.17.ae_x_abz 
(0, -4, 7), [0, 0, 3], 3.17.ae_y_afg 
(0, -4, 8), [0, 0, 0], 3.17.ae_z_afg 
(0, -4, 9), [0, 0, 1], 3.17.ae_ba_afg 
(0, -4, 10), [0, 0, 2], 3.17.ae_bb_afg 
(0, -4, 11), [0, 0, 3], 3.17.ae_bc_afg 
(1, -5, 17), [1, 3, 1], 3.17.ae_bd_afx 
(0, -4, 12), [0, 0, 0], 3.17.ae_bd_afg 
(-5, 1, 17), [3, 1, 1], 3.17.ae_bd_abz 
(0, -4, 14), [0, 0, 2], 3.17.ae_bf_afg 
(0, -4, 15), [0, 0, 3], 3.17.ae_bg_afg 
(0, -4, 16), [0, 0, 0], 3.17.ae_bh_afg 
(0, -4, 18), [0, 0, 2], 3.17.ae_bj_afg 
(0, -4, 19), [0, 0, 3], 3.17.ae_bk_afg 
(0, -4, 20), [0, 0, 0], 3.17.ae_bl_afg 
(-1, -3, 17), [3, 1, 1], 3.17.ae_bl_aep 
(-3, -1, 17), [1, 3, 1], 3.17.ae_bl_adh 
(0, -4, 21), [0, 0, 1], 3.17.ae_bm_afg 
