(0, 3, 25), [0, 3, 12], 3.13.d_bm_da 
(0, 3, 27), [0, 3, 1], 3.13.d_bo_da 
(5, -1, -13), [5, 12, 0], 3.13.e_af_adn 
(0, 4, 3), [0, 4, 3], 3.13.e_q_ea 
(0, 4, 24), [0, 4, 11], 3.13.e_bl_ea 
(0, 4, 25), [0, 4, 12], 3.13.e_bm_ea 
(0, 4, 27), [0, 4, 1], 3.13.e_bo_ea 
(6, -1, -13), [6, 12, 0], 3.13.f_ag_aea 
(7, -2, 13), [7, 11, 0], 3.13.f_m_bn 
(-3, 8, 39), [10, 8, 0], 3.13.f_bc_dn 
(4, 1, 13), [4, 1, 0], 3.13.f_be_da 
(1, 4, 13), [1, 4, 0], 3.13.f_be_en 
(3, 2, 13), [3, 2, 0], 3.13.f_bg_dn 
(0, 5, 23), [0, 5, 10], 3.13.f_bk_fa 
(0, 5, 24), [0, 5, 11], 3.13.f_bl_fa 
(0, 5, 25), [0, 5, 12], 3.13.f_bm_fa 
(0, 5, 27), [0, 5, 1], 3.13.f_bo_fa 
(0, 5, 28), [0, 5, 2], 3.13.f_bp_fa 
(0, 5, 29), [0, 5, 3], 3.13.f_bq_fa 
(7, -1, -13), [7, 12, 0], 3.13.g_ah_aen 
(0, 6, 25), [0, 6, 12], 3.13.g_bm_ga 
(0, 6, 27), [0, 6, 1], 3.13.g_bo_ga 
(6, 1, 0), [6, 1, 0], 3.13.h_t_ba 
(5, 2, 13), [5, 2, 0], 3.13.h_bk_en 
(3, 4, 13), [3, 4, 0], 3.13.h_bm_fn 
(0, 7, 25), [0, 7, 12], 3.13.h_bm_ha 
(0, 7, 27), [0, 7, 1], 3.13.h_bo_ha 
(0, 7, 28), [0, 7, 2], 3.13.h_bp_ha 
(0, 7, 29), [0, 7, 3], 3.13.h_bq_ha 
(-1, 8, 39), [12, 8, 0], 3.13.h_bs_gn 
(7, 1, -13), [7, 1, 0], 3.13.i_h_acn 
(5, 3, 13), [5, 3, 0], 3.13.i_bp_fn 
(-1, 9, 39), [12, 9, 0], 3.13.i_br_hn 
(7, 2, 13), [7, 2, 0], 3.13.j_bo_fn 
(5, 4, 13), [5, 4, 0], 3.13.j_bu_gn 
(1, 8, 39), [1, 8, 0], 3.13.j_ci_jn 
(6, 4, 13), [6, 4, 0], 3.13.k_by_ha 
(1, 9, 39), [1, 9, 0], 3.13.k_cj_kn 
(2, 8, 39), [2, 8, 0], 3.13.k_cq_la 
