(5, 2, 11), [1, 2, 3], 3.11.h_bg_dv 
(3, 4, 11), [3, 0, 3], 3.11.h_bi_er 
(-1, 8, 33), [3, 0, 1], 3.11.h_bk_fn 
(0, 7, 25), [0, 3, 1], 3.11.h_bk_fy 
(5, 3, 11), [1, 3, 3], 3.11.i_bl_er 
(6, 3, 0), [2, 3, 0], 3.11.j_bd_co 
(5, 4, 11), [1, 0, 3], 3.11.j_bq_fn 
(1, 8, 33), [1, 0, 1], 3.11.j_ca_ib 
(2, 7, 33), [2, 3, 1], 3.11.j_cg_im 
(6, 4, 11), [2, 0, 3], 3.11.k_bu_fy 
(2, 8, 33), [2, 0, 1], 3.11.k_ci_ji 
(3, 7, 33), [3, 3, 1], 3.11.k_cn_jt 
(0, 11, 51), [0, 3, 3], 3.11.l_ck_ji 
(3, 8, 33), [3, 0, 1], 3.11.l_cq_kp 
(4, 7, 33), [0, 3, 1], 3.11.l_cu_la 
(5, 7, 33), [1, 3, 1], 3.11.m_db_mh 
(5, 8, 33), [1, 0, 1], 3.11.n_dg_nd 
(6, 7, 33), [2, 3, 1], 3.11.n_di_no 
(6, 8, 33), [2, 0, 1], 3.11.o_do_ok 
