(0, -8, 46), [0, 0, 2], 3.19.ai_cn_als 
(0, -8, 47), [0, 0, 3], 3.19.ai_co_als 
(0, -8, 48), [0, 0, 0], 3.19.ai_cp_als 
(1, -9, 57), [1, 3, 1], 3.19.ai_cp_akz 
(0, -8, 49), [0, 0, 1], 3.19.ai_cq_als 
(0, -8, 51), [0, 0, 3], 3.19.ai_cs_als 
(0, -8, 52), [0, 0, 0], 3.19.ai_ct_als 
(-8, 1, -19), [0, 1, 1], 3.19.ah_ai_hi 
(-6, -1, -19), [2, 3, 1], 3.19.ah_g_cy 
(-8, 1, 0), [0, 1, 0], 3.19.ah_l_bm 
(6, -13, 76), [2, 3, 0], 3.19.ah_r_abm 
(-6, -1, 0), [2, 3, 0], 3.19.ah_z_abm 
(-5, -2, 0), [3, 2, 0], 3.19.ah_bd_acy 
(-8, 1, 19), [0, 1, 3], 3.19.ah_be_aek 
(-3, -4, 0), [1, 0, 0], 3.19.ah_bf_afw 
(-4, -3, 0), [0, 1, 0], 3.19.ah_bf_aek 
(0, -7, 24), [0, 1, 0], 3.19.ah_br_akg 
(0, -7, 25), [0, 1, 1], 3.19.ah_bs_akg 
(-6, -1, 19), [2, 3, 3], 3.19.ah_bs_afw 
(0, -7, 26), [0, 1, 2], 3.19.ah_bt_akg 
(0, -7, 27), [0, 1, 3], 3.19.ah_bu_akg 
(0, -7, 28), [0, 1, 0], 3.19.ah_bv_akg 
(0, -7, 29), [0, 1, 1], 3.19.ah_bw_akg 
(-2, -5, 19), [2, 3, 3], 3.19.ah_bw_aiu 
(0, -7, 31), [0, 1, 3], 3.19.ah_by_akg 
(-4, -3, 19), [0, 1, 3], 3.19.ah_by_ahi 
(0, -7, 32), [0, 1, 0], 3.19.ah_bz_akg 
(0, -7, 33), [0, 1, 1], 3.19.ah_ca_akg 
(0, -7, 34), [0, 1, 2], 3.19.ah_cb_akg 
(2, -9, 57), [2, 3, 1], 3.19.ah_cg_aiu 
(0, -7, 42), [0, 1, 2], 3.19.ah_cj_akg 
(0, -7, 43), [0, 1, 3], 3.19.ah_ck_akg 
(0, -7, 45), [0, 1, 1], 3.19.ah_cm_akg 
(0, -7, 46), [0, 1, 2], 3.19.ah_cn_akg 
(0, -7, 47), [0, 1, 3], 3.19.ah_co_akg 
(0, -7, 49), [0, 1, 1], 3.19.ah_cq_akg 
(-8, 2, -19), [0, 2, 1], 3.19.ag_aq_iu 
(-8, 2, 0), [0, 2, 0], 3.19.ag_d_cy 
(7, -13, 76), [3, 3, 0], 3.19.ag_e_bm 
(-5, -1, -19), [3, 3, 1], 3.19.ag_f_cf 
(-4, -2, -19), [0, 2, 1], 3.19.ag_i_a 
(-7, 1, 0), [1, 1, 0], 3.19.ag_m_bm 
(-8, 2, 19), [0, 2, 3], 3.19.ag_w_acy 
(-5, -1, 0), [3, 3, 0], 3.19.ag_y_abm 
(-2, -4, 0), [2, 0, 0], 3.19.ag_bb_afw 
(-4, -2, 0), [0, 2, 0], 3.19.ag_bb_acy 
(-3, -3, 0), [1, 1, 0], 3.19.ag_bc_aek 
(-7, 1, 19), [1, 1, 3], 3.19.ag_bf_adr 
(0, -6, 15), [0, 2, 3], 3.19.ag_bi_aiu 
(0, -6, 16), [0, 2, 0], 3.19.ag_bj_aiu 
(0, -6, 17), [0, 2, 1], 3.19.ag_bk_aiu 
(4, -10, 57), [0, 2, 1], 3.19.ag_bk_afw 
(0, -6, 18), [0, 2, 2], 3.19.ag_bl_aiu 
(0, -6, 20), [0, 2, 0], 3.19.ag_bn_aiu 
(0, -6, 21), [0, 2, 1], 3.19.ag_bo_aiu 
(0, -6, 23), [0, 2, 3], 3.19.ag_bq_aiu 
(0, -6, 24), [0, 2, 0], 3.19.ag_br_aiu 
(-1, -5, 19), [3, 3, 3], 3.19.ag_br_aib 
(0, -6, 25), [0, 2, 1], 3.19.ag_bs_aiu 
(0, -6, 26), [0, 2, 2], 3.19.ag_bt_aiu 
(0, -6, 27), [0, 2, 3], 3.19.ag_bu_aiu 
(-2, -4, 19), [2, 0, 3], 3.19.ag_bu_ahi 
(-4, -2, 19), [0, 2, 3], 3.19.ag_bu_afw 
(0, -6, 28), [0, 2, 0], 3.19.ag_bv_aiu 
(-3, -3, 19), [1, 1, 3], 3.19.ag_bv_agp 
(0, -6, 29), [0, 2, 1], 3.19.ag_bw_aiu 
(0, -6, 30), [0, 2, 2], 3.19.ag_bx_aiu 
(3, -9, 57), [3, 3, 1], 3.19.ag_bx_agp 
(0, -6, 32), [0, 2, 0], 3.19.ag_bz_aiu 
(0, -6, 33), [0, 2, 1], 3.19.ag_ca_aiu 
(0, -6, 34), [0, 2, 2], 3.19.ag_cb_aiu 
(0, -6, 35), [0, 2, 3], 3.19.ag_cc_aiu 
(0, -6, 36), [0, 2, 0], 3.19.ag_cd_aiu 
(0, -6, 40), [0, 2, 0], 3.19.ag_ch_aiu 
(0, -6, 41), [0, 2, 1], 3.19.ag_ci_aiu 
(0, -6, 42), [0, 2, 2], 3.19.ag_cj_aiu 
(0, -6, 44), [0, 2, 0], 3.19.ag_cl_aiu 
(0, -6, 45), [0, 2, 1], 3.19.ag_cm_aiu 
(8, -13, 76), [0, 3, 0], 3.19.af_aj_ek 
(-6, 1, -19), [2, 1, 1], 3.19.af_ag_fw 
(-8, 3, 0), [0, 3, 0], 3.19.af_af_ek 
(-4, -1, -19), [0, 3, 1], 3.19.af_e_bm 
(-7, 2, 0), [1, 2, 0], 3.19.af_f_cy 
(-6, 1, 0), [2, 1, 0], 3.19.af_n_bm 
(-8, 3, 19), [0, 3, 3], 3.19.af_o_abm 
(-1, -4, 0), [3, 0, 0], 3.19.af_x_afw 
(-4, -1, 0), [0, 3, 0], 3.19.af_x_abm 
(0, -5, 6), [0, 3, 2], 3.19.af_z_ahi 
(-2, -3, 0), [2, 1, 0], 3.19.af_z_aek 
(-3, -2, 0), [1, 2, 0], 3.19.af_z_acy 
(0, -5, 7), [0, 3, 3], 3.19.af_ba_ahi 
(0, -5, 8), [0, 3, 0], 3.19.af_bb_ahi 
(0, -5, 9), [0, 3, 1], 3.19.af_bc_ahi 
(0, -5, 10), [0, 3, 2], 3.19.af_bd_ahi 
(0, -5, 11), [0, 3, 3], 3.19.af_be_ahi 
(0, -5, 12), [0, 3, 0], 3.19.af_bf_ahi 
(0, -5, 13), [0, 3, 1], 3.19.af_bg_ahi 
(-6, 1, 19), [2, 1, 3], 3.19.af_bg_acy 
(0, -5, 15), [0, 3, 3], 3.19.af_bi_ahi 
(0, -5, 16), [0, 3, 0], 3.19.af_bj_ahi 
(0, -5, 17), [0, 3, 1], 3.19.af_bk_ahi 
(0, -5, 18), [0, 3, 2], 3.19.af_bl_ahi 
(0, -5, 20), [0, 3, 0], 3.19.af_bn_ahi 
(0, -5, 21), [0, 3, 1], 3.19.af_bo_ahi 
(4, -9, 57), [0, 3, 1], 3.19.af_bo_aek 
(0, -5, 22), [0, 3, 2], 3.19.af_bp_ahi 
(0, -5, 23), [0, 3, 3], 3.19.af_bq_ahi 
(-4, -1, 19), [0, 3, 3], 3.19.af_bq_aek 
(0, -5, 25), [0, 3, 1], 3.19.af_bs_ahi 
(-2, -3, 19), [2, 1, 3], 3.19.af_bs_afw 
(0, -5, 26), [0, 3, 2], 3.19.af_bt_ahi 
(0, -5, 27), [0, 3, 3], 3.19.af_bu_ahi 
(0, -5, 28), [0, 3, 0], 3.19.af_bv_ahi 
(0, -5, 29), [0, 3, 1], 3.19.af_bw_ahi 
(0, -5, 30), [0, 3, 2], 3.19.af_bx_ahi 
(0, -5, 31), [0, 3, 3], 3.19.af_by_ahi 
(0, -5, 33), [0, 3, 1], 3.19.af_ca_ahi 
(0, -5, 34), [0, 3, 2], 3.19.af_cb_ahi 
(0, -5, 43), [0, 3, 3], 3.19.af_ck_ahi 
(-8, 4, 0), [0, 0, 0], 3.19.ae_an_fw 
(-6, 2, -19), [2, 2, 1], 3.19.ae_am_hi 
(-5, 1, -19), [3, 1, 1], 3.19.ae_af_fd 
(-7, 3, 0), [1, 3, 0], 3.19.ae_ac_ek 
(-3, -1, -19), [1, 3, 1], 3.19.ae_d_t 
(-2, -2, -19), [2, 2, 1], 3.19.ae_e_abm 
(-8, 4, 19), [0, 0, 3], 3.19.ae_g_a 
(-6, 2, 0), [2, 2, 0], 3.19.ae_h_cy 
(-5, 1, 0), [3, 1, 0], 3.19.ae_o_bm 
(0, -4, -3), [0, 0, 1], 3.19.ae_q_afw 
(6, -10, 57), [2, 2, 1], 3.19.ae_q_abm 
(0, -4, -2), [0, 0, 2], 3.19.ae_r_afw 
(-7, 3, 19), [1, 3, 3], 3.19.ae_r_at 
(0, -4, -1), [0, 0, 3], 3.19.ae_s_afw 
(0, -4, 1), [0, 0, 1], 3.19.ae_u_afw 
(0, -4, 2), [0, 0, 2], 3.19.ae_v_afw 
(0, -4, 3), [0, 0, 3], 3.19.ae_w_afw 
(-1, -3, 0), [3, 1, 0], 3.19.ae_w_aek 
(-3, -1, 0), [1, 3, 0], 3.19.ae_w_abm 
(0, -4, 4), [0, 0, 0], 3.19.ae_x_afw 
(-2, -2, 0), [2, 2, 0], 3.19.ae_x_acy 
(0, -4, 5), [0, 0, 1], 3.19.ae_y_afw 
(2, -6, 19), [2, 2, 3], 3.19.ae_ba_ahi 
(0, -4, 7), [0, 0, 3], 3.19.ae_ba_afw 
(-6, 2, 19), [2, 2, 3], 3.19.ae_ba_abm 
(0, -4, 8), [0, 0, 0], 3.19.ae_bb_afw 
(0, -4, 9), [0, 0, 1], 3.19.ae_bc_afw 
(0, -4, 10), [0, 0, 2], 3.19.ae_bd_afw 
(0, -4, 11), [0, 0, 3], 3.19.ae_be_afw 
(0, -4, 12), [0, 0, 0], 3.19.ae_bf_afw 
(5, -9, 57), [1, 3, 1], 3.19.ae_bf_acf 
(0, -4, 13), [0, 0, 1], 3.19.ae_bg_afw 
(1, -5, 19), [1, 3, 3], 3.19.ae_bh_agp 
(0, -4, 14), [0, 0, 2], 3.19.ae_bh_afw 
(-5, 1, 19), [3, 1, 3], 3.19.ae_bh_acf 
(0, -4, 15), [0, 0, 3], 3.19.ae_bi_afw 
(0, -4, 16), [0, 0, 0], 3.19.ae_bj_afw 
(0, -4, 18), [0, 0, 2], 3.19.ae_bl_afw 
(0, -4, 20), [0, 0, 0], 3.19.ae_bn_afw 
(0, -4, 21), [0, 0, 1], 3.19.ae_bo_afw 
(0, -4, 22), [0, 0, 2], 3.19.ae_bp_afw 
(-1, -3, 19), [3, 1, 3], 3.19.ae_bp_afd 
(-3, -1, 19), [1, 3, 3], 3.19.ae_bp_adr 
(0, -4, 23), [0, 0, 3], 3.19.ae_bq_afw 
(-2, -2, 19), [2, 2, 3], 3.19.ae_bq_aek 
(0, -4, 24), [0, 0, 0], 3.19.ae_br_afw 
(0, -4, 25), [0, 0, 1], 3.19.ae_bs_afw 
(0, -4, 27), [0, 0, 3], 3.19.ae_bu_afw 
(0, -4, 28), [0, 0, 0], 3.19.ae_bv_afw 
(0, -4, 29), [0, 0, 1], 3.19.ae_bw_afw 
(0, -4, 30), [0, 0, 2], 3.19.ae_bx_afw 
(0, -4, 31), [0, 0, 3], 3.19.ae_by_afw 
(0, -4, 32), [0, 0, 0], 3.19.ae_bz_afw 
(0, -4, 34), [0, 0, 2], 3.19.ae_cb_afw 
(0, -4, 35), [0, 0, 3], 3.19.ae_cc_afw 
(0, -4, 36), [0, 0, 0], 3.19.ae_cd_afw 
(0, -4, 40), [0, 0, 0], 3.19.ae_ch_afw 
(-7, 4, 0), [1, 0, 0], 3.19.ad_aj_fw 
(-4, 1, -19), [0, 1, 1], 3.19.ad_ae_ek 
(-8, 5, 19), [0, 1, 3], 3.19.ad_ac_bm 
(-6, 3, 0), [2, 3, 0], 3.19.ad_b_ek 
(-2, -1, -19), [2, 3, 1], 3.19.ad_c_a 
(0, -3, -11), [0, 1, 1], 3.19.ad_i_aek 
(0, -3, -10), [0, 1, 2], 3.19.ad_j_aek 
(0, -3, -9), [0, 1, 3], 3.19.ad_k_aek 
(0, -3, -8), [0, 1, 0], 3.19.ad_l_aek 
(0, -3, -7), [0, 1, 1], 3.19.ad_m_aek 
(0, -3, -6), [0, 1, 2], 3.19.ad_n_aek 
(0, -3, -5), [0, 1, 3], 3.19.ad_o_aek 
(1, -4, 0), [1, 0, 0], 3.19.ad_p_afw 
(0, -3, -4), [0, 1, 0], 3.19.ad_p_aek 
(-4, 1, 0), [0, 1, 0], 3.19.ad_p_bm 
(0, -3, -3), [0, 1, 1], 3.19.ad_q_aek 
(0, -3, -1), [0, 1, 3], 3.19.ad_s_aek 
(0, -3, 1), [0, 1, 1], 3.19.ad_u_aek 
(-6, 3, 19), [2, 3, 3], 3.19.ad_u_a 
(0, -3, 2), [0, 1, 2], 3.19.ad_v_aek 
(-1, -2, 0), [3, 2, 0], 3.19.ad_v_acy 
(-2, -1, 0), [2, 3, 0], 3.19.ad_v_abm 
(0, -3, 3), [0, 1, 3], 3.19.ad_w_aek 
(6, -9, 57), [2, 3, 1], 3.19.ad_w_a 
(0, -3, 4), [0, 1, 0], 3.19.ad_x_aek 
(0, -3, 5), [0, 1, 1], 3.19.ad_y_aek 
(0, -3, 6), [0, 1, 2], 3.19.ad_z_aek 
