(-6, -1, 17), [3, 8, 8], 3.9.ah_bg_aeq 
(-3, -4, 11), [6, 5, 2], 3.9.ah_bg_aeb 
(-3, -4, 16), [6, 5, 7], 3.9.ah_bl_aeq 
(-3, -4, 17), [6, 5, 8], 3.9.ah_bm_aet 
(-2, -5, 21), [7, 4, 3], 3.9.ah_bo_afc 
(-3, -4, 19), [6, 5, 1], 3.9.ah_bo_aez 
(-3, -4, 20), [6, 5, 2], 3.9.ah_bp_afc 
(-6, 0, -17), [3, 0, 1], 3.9.ag_ai_dy 
(-6, 0, -16), [3, 0, 2], 3.9.ag_ah_ds 
(-6, 0, -13), [3, 0, 5], 3.9.ag_ae_da 
(-6, 0, -11), [3, 0, 7], 3.9.ag_ac_co 
(-6, 0, -10), [3, 0, 8], 3.9.ag_ab_ci 
(-6, 0, -8), [3, 0, 1], 3.9.ag_b_bw 
(-6, 0, -5), [3, 0, 4], 3.9.ag_e_be 
(-6, 0, -4), [3, 0, 5], 3.9.ag_f_y 
(-5, -1, -9), [4, 8, 0], 3.9.ag_f_bb 
(-6, 0, -1), [3, 0, 8], 3.9.ag_i_g 
(-6, 0, 1), [3, 0, 1], 3.9.ag_k_ag 
(-5, -1, -3), [4, 8, 6], 3.9.ag_l_ad 
(-6, 0, 4), [3, 0, 4], 3.9.ag_n_ay 
(-6, 0, 5), [3, 0, 5], 3.9.ag_o_abe 
(-6, 0, 8), [3, 0, 8], 3.9.ag_r_abw 
(-3, -3, 1), [6, 6, 1], 3.9.ag_t_acf 
(-6, 0, 11), [3, 0, 2], 3.9.ag_u_aco 
(-6, 0, 13), [3, 0, 4], 3.9.ag_w_ada 
(-6, 0, 16), [3, 0, 7], 3.9.ag_z_ads 
(-3, -3, 7), [6, 6, 7], 3.9.ag_z_acx 
(-4, -2, 9), [5, 7, 0], 3.9.ag_ba_acu 
(0, -6, 19), [0, 3, 1], 3.9.ag_bc_aee 
(-3, -3, 10), [6, 6, 1], 3.9.ag_bc_adg 
(0, -6, 20), [0, 3, 2], 3.9.ag_bd_aee 
(-3, -3, 11), [6, 6, 2], 3.9.ag_bd_adj 
(-3, -3, 13), [6, 6, 4], 3.9.ag_bf_adp 
(0, -6, 25), [0, 3, 7], 3.9.ag_bi_aee 
(-1, -5, 21), [8, 4, 3], 3.9.ag_bj_aeh 
(-3, -3, 17), [6, 6, 8], 3.9.ag_bj_aeb 
(-3, -3, 19), [6, 6, 1], 3.9.ag_bl_aeh 
(-6, 1, -11), [3, 1, 7], 3.9.af_ai_dg 
(-6, 1, -10), [3, 1, 8], 3.9.af_ah_da 
(-6, 1, -8), [3, 1, 1], 3.9.af_af_co 
(-6, 1, -7), [3, 1, 2], 3.9.af_ae_ci 
(-6, 1, -5), [3, 1, 4], 3.9.af_ac_bw 
(-6, 1, -4), [3, 1, 5], 3.9.af_ab_bq 
(-6, 1, -1), [3, 1, 8], 3.9.af_c_y 
(-6, 1, 2), [3, 1, 2], 3.9.af_f_g 
(-6, 1, 4), [3, 1, 4], 3.9.af_h_ag 
(-6, 1, 5), [3, 1, 5], 3.9.af_i_am 
(-6, 1, 7), [3, 1, 7], 3.9.af_k_ay 
(-3, -2, -5), [6, 7, 4], 3.9.af_k_av 
(-6, 1, 10), [3, 1, 1], 3.9.af_n_abq 
(-6, 1, 11), [3, 1, 2], 3.9.af_o_abw 
(-3, -2, -1), [6, 7, 8], 3.9.af_o_abh 
(-6, 1, 13), [3, 1, 4], 3.9.af_q_aci 
(3, -8, 31), [3, 1, 4], 3.9.af_q_abz 
(-3, -2, 1), [6, 7, 1], 3.9.af_q_abn 
(-4, -1, 3), [5, 8, 3], 3.9.af_q_abe 
(-6, 1, 14), [3, 1, 5], 3.9.af_r_aco 
(-6, 1, 17), [3, 1, 8], 3.9.af_u_adg 
