(-3, -3, 24), [1, 1, 0], 3.16.ag_bx_agm 
(-4, 0, -29), [0, 0, 3], 3.16.ae_an_em 
(-4, 0, -27), [0, 0, 1], 3.16.ae_al_ee 
(-4, 0, -25), [0, 0, 3], 3.16.ae_aj_dw 
(-7, 3, -4), [1, 3, 0], 3.16.ae_aj_eu 
(-5, 1, -20), [3, 1, 0], 3.16.ae_aj_fc 
(-4, 0, -23), [0, 0, 1], 3.16.ae_ah_do 
(-4, 0, -21), [0, 0, 3], 3.16.ae_af_dg 
(-7, 3, 0), [1, 3, 0], 3.16.ae_af_ds 
(-5, 1, -16), [3, 1, 0], 3.16.ae_af_ei 
(-4, 0, -19), [0, 0, 1], 3.16.ae_ad_cy 
(-3, -1, -20), [1, 3, 0], 3.16.ae_ab_bc 
(-5, 1, -12), [3, 1, 0], 3.16.ae_ab_do 
(-8, 4, 17), [0, 0, 1], 3.16.ae_b_ai 
(-4, 0, -15), [0, 0, 1], 3.16.ae_b_ci 
(-3, -1, -16), [1, 3, 0], 3.16.ae_d_q 
(-4, 0, -13), [0, 0, 3], 3.16.ae_d_ca 
(-5, 1, -8), [3, 1, 0], 3.16.ae_d_cu 
(-4, 0, -11), [0, 0, 1], 3.16.ae_f_bs 
(-3, -1, -12), [1, 3, 0], 3.16.ae_h_e 
(-7, 3, 12), [1, 3, 0], 3.16.ae_h_m 
(-4, 0, -9), [0, 0, 3], 3.16.ae_h_bk 
(-5, 1, -4), [3, 1, 0], 3.16.ae_h_ca 
(-7, 3, 16), [1, 3, 0], 3.16.ae_l_aq 
(-3, -1, -8), [1, 3, 0], 3.16.ae_l_ai 
(-4, 0, -5), [0, 0, 3], 3.16.ae_l_u 
(-4, 0, -3), [0, 0, 1], 3.16.ae_n_m 
(-1, -3, -4), [3, 1, 0], 3.16.ae_p_ado 
(5, -9, 44), [1, 3, 0], 3.16.ae_p_acq 
(-7, 3, 20), [1, 3, 0], 3.16.ae_p_abs 
(-3, -1, -4), [1, 3, 0], 3.16.ae_p_au 
(-4, 0, -1), [0, 0, 3], 3.16.ae_p_e 
(0, -4, 1), [0, 0, 1], 3.16.ae_r_aey 
(4, -8, 33), [0, 0, 1], 3.16.ae_r_aeu 
(-4, 0, 1), [0, 0, 1], 3.16.ae_r_ae 
(0, -4, 3), [0, 0, 3], 3.16.ae_t_aey 
(4, -8, 35), [0, 0, 3], 3.16.ae_t_aem 
(-1, -3, 0), [3, 1, 0], 3.16.ae_t_ads 
(-7, 3, 24), [1, 3, 0], 3.16.ae_t_acu 
(5, -9, 48), [1, 3, 0], 3.16.ae_t_abw 
(-3, -1, 0), [1, 3, 0], 3.16.ae_t_abg 
(-4, 0, 3), [0, 0, 3], 3.16.ae_t_am 
(-5, 1, 8), [3, 1, 0], 3.16.ae_t_ai 
(0, -4, 5), [0, 0, 1], 3.16.ae_v_aey 
(4, -8, 37), [0, 0, 1], 3.16.ae_v_aee 
(-4, 0, 5), [0, 0, 1], 3.16.ae_v_au 
(1, -5, 12), [1, 3, 0], 3.16.ae_x_afs 
(3, -7, 28), [3, 1, 0], 3.16.ae_x_afk 
(0, -4, 7), [0, 0, 3], 3.16.ae_x_aey 
(-3, -1, 4), [1, 3, 0], 3.16.ae_x_abs 
(0, -4, 9), [0, 0, 1], 3.16.ae_z_aey 
(4, -8, 41), [0, 0, 1], 3.16.ae_z_ado 
(-4, 0, 9), [0, 0, 1], 3.16.ae_z_abk 
(1, -5, 16), [1, 3, 0], 3.16.ae_bb_afo 
(4, -8, 43), [0, 0, 3], 3.16.ae_bb_adg 
(-3, -1, 8), [1, 3, 0], 3.16.ae_bb_ace 
(-5, 1, 16), [3, 1, 0], 3.16.ae_bb_abw 
(-4, 0, 11), [0, 0, 3], 3.16.ae_bb_abs 
(0, -4, 13), [0, 0, 1], 3.16.ae_bd_aey 
(4, -8, 45), [0, 0, 1], 3.16.ae_bd_acy 
(1, -5, 20), [1, 3, 0], 3.16.ae_bf_afk 
(0, -4, 15), [0, 0, 3], 3.16.ae_bf_aey 
(3, -7, 36), [3, 1, 0], 3.16.ae_bf_aem 
(-1, -3, 12), [3, 1, 0], 3.16.ae_bf_aee 
(0, -4, 17), [0, 0, 1], 3.16.ae_bh_aey 
(0, -4, 19), [0, 0, 3], 3.16.ae_bj_aey 
(-1, -3, 16), [3, 1, 0], 3.16.ae_bj_aei 
(3, -7, 40), [3, 1, 0], 3.16.ae_bj_aea 
(-5, 1, 24), [3, 1, 0], 3.16.ae_bj_adk 
(-3, -1, 16), [1, 3, 0], 3.16.ae_bj_adc 
(0, -4, 21), [0, 0, 1], 3.16.ae_bl_aey 
(-4, 0, 21), [0, 0, 1], 3.16.ae_bl_adg 
(0, -4, 23), [0, 0, 3], 3.16.ae_bn_aey 
(-1, -3, 20), [3, 1, 0], 3.16.ae_bn_aem 
(-5, 1, 28), [3, 1, 0], 3.16.ae_bn_aee 
(0, -4, 25), [0, 0, 1], 3.16.ae_bp_aey 
(-4, 0, 25), [0, 0, 1], 3.16.ae_bp_adw 
(-1, -3, 24), [3, 1, 0], 3.16.ae_br_aeq 
