(0, 0, -33), [0, 0, 3], 3.17.a_aq_a 
(0, 0, -25), [0, 0, 3], 3.17.a_ai_a 
(4, -4, 0), [0, 0, 0], 3.17.a_b_afg 
(-4, 4, 0), [0, 0, 0], 3.17.a_b_fg 
(0, 0, -9), [0, 0, 3], 3.17.a_i_a 
(3, -3, 17), [3, 1, 1], 3.17.a_z_abz 
(-3, 3, 17), [1, 3, 1], 3.17.a_z_bz 
(0, 0, 15), [0, 0, 3], 3.17.a_bg_a 
(0, 0, 27), [0, 0, 3], 3.17.a_bs_a 
(0, 0, 31), [0, 0, 3], 3.17.a_bw_a 
(7, -6, 17), [3, 2, 1], 3.17.b_ai_adh 
(3, -2, -17), [3, 2, 3], 3.17.b_ag_aep 
(5, -4, 0), [1, 0, 0], 3.17.b_ad_afg 
(-1, 2, -17), [3, 2, 3], 3.17.b_ac_dh 
(-5, 6, 17), [3, 2, 1], 3.17.b_e_ep 
(5, -4, 17), [1, 0, 1], 3.17.b_o_abz 
(-3, 4, 17), [1, 0, 1], 3.17.b_w_dh 
(3, -2, 17), [3, 2, 1], 3.17.b_bc_ar 
(-1, 2, 17), [3, 2, 1], 3.17.b_bg_bz 
(0, 1, 31), [0, 1, 3], 3.17.b_bw_bi 
(0, 1, 33), [0, 1, 1], 3.17.b_by_bi 
(0, 2, 33), [0, 2, 1], 3.17.c_by_cq 
(5, -2, -17), [1, 2, 3], 3.17.d_ak_afx 
(-7, 10, 51), [1, 2, 3], 3.17.d_ac_ar 
(1, 2, -17), [1, 2, 3], 3.17.d_c_bz 
(7, -4, 17), [3, 0, 1], 3.17.d_g_ar 
(5, -2, 0), [1, 2, 0], 3.17.d_h_acq 
(-3, 6, 17), [1, 2, 1], 3.17.d_q_fx 
(5, -2, 17), [1, 2, 1], 3.17.d_y_r 
(-2, 5, 17), [2, 1, 1], 3.17.d_y_fg 
(4, -1, 17), [0, 3, 1], 3.17.d_be_bi 
(-1, 4, 17), [3, 0, 1], 3.17.d_be_ep 
(1, 2, 17), [1, 2, 1], 3.17.d_bk_dh 
(0, 3, 31), [0, 3, 3], 3.17.d_bw_dy 
(0, 3, 32), [0, 3, 0], 3.17.d_bx_dy 
(0, 3, 33), [0, 3, 1], 3.17.d_by_dy 
(0, 3, 35), [0, 3, 3], 3.17.d_ca_dy 
(6, -2, -17), [2, 2, 3], 3.17.e_am_ago 
(-2, 6, 17), [2, 2, 1], 3.17.e_w_go 
(0, 4, 33), [0, 0, 1], 3.17.e_by_fg 
(0, 4, 35), [0, 0, 3], 3.17.e_ca_fg 
(7, -2, -17), [3, 2, 3], 3.17.f_ao_ahf 
(3, 2, -17), [3, 2, 3], 3.17.f_g_r 
(-5, 10, 51), [3, 2, 3], 3.17.f_s_dh 
(7, -2, 17), [3, 2, 1], 3.17.f_u_bz 
(-1, 6, 17), [3, 2, 1], 3.17.f_bc_hf 
(1, 4, 17), [1, 0, 1], 3.17.f_bm_fx 
(3, 2, 17), [3, 2, 1], 3.17.f_bo_ep 
(0, 5, 31), [0, 1, 3], 3.17.f_bw_go 
(0, 5, 32), [0, 1, 0], 3.17.f_bx_go 
(0, 5, 33), [0, 1, 1], 3.17.f_by_go 
(0, 5, 35), [0, 1, 3], 3.17.f_ca_go 
(0, 5, 36), [0, 1, 0], 3.17.f_cb_go 
(0, 5, 37), [0, 1, 1], 3.17.f_cc_go 
(8, -2, -17), [0, 2, 3], 3.17.g_aq_ahw 
(7, -1, -17), [3, 3, 3], 3.17.g_ah_afx 
(5, 1, 17), [1, 1, 1], 3.17.g_bn_ep 
(0, 6, 33), [0, 2, 1], 3.17.g_by_hw 
(0, 6, 35), [0, 2, 3], 3.17.g_ca_hw 
(5, 2, -17), [1, 2, 3], 3.17.h_k_ar 
(-3, 10, 51), [1, 2, 3], 3.17.h_bm_hf 
(1, 6, 17), [1, 2, 1], 3.17.h_bo_in 
(5, 2, 17), [1, 2, 1], 3.17.h_bs_fx 
(3, 4, 17), [3, 0, 1], 3.17.h_bu_hf 
(0, 7, 31), [0, 3, 3], 3.17.h_bw_je 
(0, 7, 32), [0, 3, 0], 3.17.h_bx_je 
(0, 7, 33), [0, 3, 1], 3.17.h_by_je 
(0, 7, 35), [0, 3, 3], 3.17.h_ca_je 
(0, 7, 36), [0, 3, 0], 3.17.h_cb_je 
(0, 7, 37), [0, 3, 1], 3.17.h_cc_je 
(0, 8, 33), [0, 0, 1], 3.17.i_by_km 
(0, 8, 35), [0, 0, 3], 3.17.i_ca_km 
(7, 2, -17), [3, 2, 3], 3.17.j_o_abz 
(7, 2, 0), [3, 2, 0], 3.17.j_bf_cq 
(7, 2, 17), [3, 2, 1], 3.17.j_bw_hf 
(6, 3, 17), [2, 3, 1], 3.17.j_ca_hw 
(3, 6, 17), [3, 2, 1], 3.17.j_ca_jv 
(5, 4, 17), [1, 0, 1], 3.17.j_cc_in 
(-1, 10, 51), [3, 2, 3], 3.17.j_cg_ld 
(8, 2, -17), [0, 2, 3], 3.17.k_q_acq 
(7, 3, 0), [3, 3, 0], 3.17.k_bm_dy 
(1, 9, 51), [1, 1, 3], 3.17.k_cz_nt 
(7, 4, 17), [3, 0, 1], 3.17.l_ck_jv 
(5, 6, 17), [1, 2, 1], 3.17.l_cm_ld 
(1, 10, 51), [1, 2, 3], 3.17.l_da_pb 
(2, 9, 51), [2, 1, 3], 3.17.l_di_ps 
(7, 5, 17), [3, 1, 1], 3.17.m_cr_ld 
(2, 10, 51), [2, 2, 3], 3.17.m_dk_ra 
(3, 9, 51), [3, 1, 3], 3.17.m_dr_rr 
(7, 6, 17), [3, 2, 1], 3.17.n_cy_ml 
(3, 10, 51), [3, 2, 3], 3.17.n_du_sz 
(4, 9, 51), [0, 1, 3], 3.17.n_ea_tq 
(8, 6, 17), [0, 2, 1], 3.17.o_de_nc 
(4, 10, 51), [0, 2, 3], 3.17.o_ee_uy 
(5, 9, 51), [1, 1, 3], 3.17.o_ej_vp 
(5, 10, 51), [1, 2, 3], 3.17.p_eo_wx 
(3, 12, 68), [3, 0, 0], 3.17.p_er_xo 
(6, 9, 51), [2, 1, 3], 3.17.p_es_xo 
(7, 9, 51), [3, 1, 3], 3.17.q_fb_zn 
(7, 10, 51), [3, 2, 3], 3.17.r_fi_bav 
(8, 9, 51), [0, 1, 3], 3.17.r_fk_bbm 
(5, 12, 68), [1, 0, 0], 3.17.r_fp_bcu 
(8, 10, 51), [0, 2, 3], 3.17.s_fs_bcu 
(6, 12, 68), [2, 0, 0], 3.17.s_gb_bfk 
(7, 12, 68), [3, 0, 0], 3.17.t_gn_bia 
(8, 12, 68), [0, 0, 0], 3.17.u_gz_bkq 
