(-5, 4, 23), [3, 0, 3], 3.23.ab_ba_cr 
(3, -4, 23), [3, 0, 3], 3.23.ab_bi_ael 
(-3, 2, 23), [1, 2, 3], 3.23.ab_bo_x 
(1, -2, 23), [1, 2, 3], 3.23.ab_bs_acr 
(0, -1, 43), [0, 3, 3], 3.23.ab_co_abu 
(0, -1, 45), [0, 3, 1], 3.23.ab_cq_abu 
(0, 0, -37), [0, 0, 3], 3.23.a_ao_a 
(0, 0, -21), [0, 0, 3], 3.23.a_c_a 
(0, 0, 35), [0, 0, 3], 3.23.a_cg_a 
(0, 0, 44), [0, 0, 0], 3.23.a_cp_a 
(3, -2, -23), [3, 2, 1], 3.23.b_ag_agf 
(-1, 2, -23), [3, 2, 1], 3.23.b_ac_el 
(-9, 10, 69), [3, 2, 1], 3.23.b_c_agf 
(5, -4, 0), [1, 0, 0], 3.23.b_d_ahc 
(7, -6, 23), [3, 2, 3], 3.23.b_e_ael 
(-5, 6, 23), [3, 2, 3], 3.23.b_q_gf 
(5, -4, 23), [1, 0, 3], 3.23.b_ba_acr 
(-3, 4, 23), [1, 0, 3], 3.23.b_bi_el 
(3, -2, 23), [3, 2, 3], 3.23.b_bo_ax 
(-1, 2, 23), [3, 2, 3], 3.23.b_bs_cr 
(0, 1, 43), [0, 1, 3], 3.23.b_co_bu 
(0, 1, 45), [0, 1, 1], 3.23.b_cq_bu 
(-3, 5, 23), [1, 1, 3], 3.23.c_bf_gf 
(4, -2, 23), [0, 2, 3], 3.23.c_bm_a 
(0, 2, 45), [0, 2, 1], 3.23.c_cq_do 
(5, -2, -23), [1, 2, 1], 3.23.d_ak_ahz 
(9, -6, 23), [1, 2, 3], 3.23.d_ai_acr 
(1, 2, -23), [1, 2, 1], 3.23.d_c_cr 
(7, -4, 23), [3, 0, 3], 3.23.d_s_ax 
(-7, 10, 69), [1, 2, 1], 3.23.d_w_ax 
(-3, 6, 23), [1, 2, 3], 3.23.d_bc_hz 
(5, -2, 23), [1, 2, 3], 3.23.d_bk_x 
(4, -1, 23), [0, 3, 3], 3.23.d_bq_bu 
(-1, 4, 23), [3, 0, 3], 3.23.d_bq_gf 
(1, 2, 23), [1, 2, 3], 3.23.d_bw_el 
(0, 3, 43), [0, 3, 3], 3.23.d_co_fi 
(0, 3, 44), [0, 3, 0], 3.23.d_cp_fi 
(0, 3, 45), [0, 3, 1], 3.23.d_cq_fi 
(0, 3, 47), [0, 3, 3], 3.23.d_cs_fi 
(0, 4, 45), [0, 0, 1], 3.23.e_cq_hc 
(0, 4, 47), [0, 0, 3], 3.23.e_cs_hc 
(7, -2, -23), [3, 2, 1], 3.23.f_ao_ajt 
(3, 2, -23), [3, 2, 1], 3.23.f_g_x 
(9, -4, 23), [1, 0, 3], 3.23.f_k_x 
(7, -2, 23), [3, 2, 3], 3.23.f_bg_cr 
(-1, 6, 23), [3, 2, 3], 3.23.f_bo_jt 
(-5, 10, 69), [3, 2, 1], 3.23.f_bq_el 
(1, 4, 23), [1, 0, 3], 3.23.f_by_hz 
(3, 2, 23), [3, 2, 3], 3.23.f_ca_gf 
(0, 5, 43), [0, 1, 3], 3.23.f_co_iw 
(0, 5, 44), [0, 1, 0], 3.23.f_cp_iw 
(0, 5, 45), [0, 1, 1], 3.23.f_cq_iw 
(0, 5, 47), [0, 1, 3], 3.23.f_cs_iw 
(0, 5, 48), [0, 1, 0], 3.23.f_ct_iw 
(0, 5, 49), [0, 1, 1], 3.23.f_cu_iw 
(5, 1, 23), [1, 1, 3], 3.23.g_bz_gf 
(0, 6, 45), [0, 2, 1], 3.23.g_cq_kq 
(0, 6, 47), [0, 2, 3], 3.23.g_cs_kq 
(9, -2, -23), [1, 2, 1], 3.23.h_as_aln 
(8, -1, -23), [0, 3, 1], 3.23.h_ai_aiw 
(5, 2, -23), [1, 2, 1], 3.23.h_k_ax 
(9, -2, 23), [1, 2, 3], 3.23.h_bc_el 
(1, 6, 23), [1, 2, 3], 3.23.h_ca_ln 
(5, 2, 23), [1, 2, 3], 3.23.h_ce_hz 
(3, 4, 23), [3, 0, 3], 3.23.h_cg_jt 
(-3, 10, 69), [1, 2, 1], 3.23.h_ck_jt 
(0, 7, 43), [0, 3, 3], 3.23.h_co_mk 
(0, 7, 44), [0, 3, 0], 3.23.h_cp_mk 
(0, 7, 45), [0, 3, 1], 3.23.h_cq_mk 
(0, 7, 47), [0, 3, 3], 3.23.h_cs_mk 
(0, 7, 48), [0, 3, 0], 3.23.h_ct_mk 
(0, 7, 49), [0, 3, 1], 3.23.h_cu_mk 
(6, 2, 23), [2, 2, 3], 3.23.i_cg_iw 
(0, 8, 41), [0, 0, 1], 3.23.i_cm_oe 
(0, 8, 45), [0, 0, 1], 3.23.i_cq_oe 
(0, 8, 47), [0, 0, 3], 3.23.i_cs_oe 
(7, 2, -23), [3, 2, 1], 3.23.j_o_acr 
(7, 2, 23), [3, 2, 3], 3.23.j_ci_jt 
(3, 6, 23), [3, 2, 3], 3.23.j_cm_nh 
(5, 4, 23), [1, 0, 3], 3.23.j_co_ln 
(0, 9, 43), [0, 1, 3], 3.23.j_co_py 
