(0, -10, 66), [0, 2, 2], 3.23.ak_dl_ars 
(0, -10, 68), [0, 2, 0], 3.23.ak_dn_ars 
(-8, -1, -23), [0, 3, 1], 3.23.aj_i_fi 
(-8, -1, 0), [0, 3, 0], 3.23.aj_bf_abu 
(-7, -2, 0), [1, 2, 0], 3.23.aj_bl_ado 
(-6, -3, 0), [2, 1, 0], 3.23.aj_bp_afi 
(-5, -4, 0), [3, 0, 0], 3.23.aj_br_ahc 
(5, -14, 92), [1, 2, 0], 3.23.aj_bt_ahc 
(-8, -1, 23), [0, 3, 3], 3.23.aj_cc_aiw 
(-2, -7, 23), [2, 1, 3], 3.23.aj_ci_aoe 
(0, -9, 41), [0, 3, 1], 3.23.aj_cm_apy 
(-6, -3, 23), [2, 1, 3], 3.23.aj_cm_akq 
(0, -9, 42), [0, 3, 2], 3.23.aj_cn_apy 
(-4, -5, 23), [0, 3, 3], 3.23.aj_co_amk 
(2, -11, 69), [2, 1, 1], 3.23.aj_cs_aoe 
(0, -9, 50), [0, 3, 2], 3.23.aj_cv_apy 
(0, -9, 51), [0, 3, 3], 3.23.aj_cw_apy 
(0, -9, 52), [0, 3, 0], 3.23.aj_cx_apy 
(0, -9, 53), [0, 3, 1], 3.23.aj_cy_apy 
(0, -9, 55), [0, 3, 3], 3.23.aj_da_apy 
(0, -9, 56), [0, 3, 0], 3.23.aj_db_apy 
(0, -9, 57), [0, 3, 1], 3.23.aj_dc_apy 
(0, -9, 58), [0, 3, 2], 3.23.aj_dd_apy 
(0, -9, 59), [0, 3, 3], 3.23.aj_de_apy 
(0, -9, 61), [0, 3, 1], 3.23.aj_dg_apy 
(0, -9, 62), [0, 3, 2], 3.23.aj_dh_apy 
(0, -9, 63), [0, 3, 3], 3.23.aj_di_apy 
(0, -9, 65), [0, 3, 1], 3.23.aj_dk_apy 
(-9, 1, -23), [3, 1, 1], 3.23.ai_aj_jt 
(-7, -1, -23), [1, 3, 1], 3.23.ai_h_el 
(-6, -2, -23), [2, 2, 1], 3.23.ai_m_bu 
(-9, 1, 0), [3, 1, 0], 3.23.ai_o_bu 
(-7, -1, 0), [1, 3, 0], 3.23.ai_be_abu 
(6, -14, 92), [2, 2, 0], 3.23.ai_bf_ado 
(-6, -2, 0), [2, 2, 0], 3.23.ai_bj_ado 
(-9, 1, 23), [3, 1, 3], 3.23.ai_bl_agf 
(-5, -3, 0), [3, 1, 0], 3.23.ai_bm_afi 
(-4, -4, 0), [0, 0, 0], 3.23.ai_bn_ahc 
(-1, -7, 23), [3, 1, 3], 3.23.ai_cb_anh 
(-7, -1, 23), [1, 3, 3], 3.23.ai_cb_ahz 
(0, -8, 31), [0, 0, 3], 3.23.ai_cc_aoe 
(0, -8, 32), [0, 0, 0], 3.23.ai_cd_aoe 
(0, -8, 33), [0, 0, 1], 3.23.ai_ce_aoe 
(0, -8, 34), [0, 0, 2], 3.23.ai_cf_aoe 
(0, -8, 35), [0, 0, 3], 3.23.ai_cg_aoe 
(-2, -6, 23), [2, 2, 3], 3.23.ai_cg_amk 
(0, -8, 36), [0, 0, 0], 3.23.ai_ch_aoe 
(3, -11, 69), [3, 1, 1], 3.23.ai_ch_aln 
(0, -8, 38), [0, 0, 2], 3.23.ai_cj_aoe 
(-3, -5, 23), [1, 3, 3], 3.23.ai_cj_aln 
(-5, -3, 23), [3, 1, 3], 3.23.ai_cj_ajt 
(0, -8, 39), [0, 0, 3], 3.23.ai_ck_aoe 
(-4, -4, 23), [0, 0, 3], 3.23.ai_ck_akq 
(0, -8, 40), [0, 0, 0], 3.23.ai_cl_aoe 
(0, -8, 42), [0, 0, 2], 3.23.ai_cn_aoe 
(0, -8, 43), [0, 0, 3], 3.23.ai_co_aoe 
(0, -8, 44), [0, 0, 0], 3.23.ai_cp_aoe 
(0, -8, 48), [0, 0, 0], 3.23.ai_ct_aoe 
(0, -8, 49), [0, 0, 1], 3.23.ai_cu_aoe 
(2, -10, 69), [2, 2, 1], 3.23.ai_cu_amk 
(0, -8, 50), [0, 0, 2], 3.23.ai_cv_aoe 
(0, -8, 51), [0, 0, 3], 3.23.ai_cw_aoe 
(0, -8, 52), [0, 0, 0], 3.23.ai_cx_aoe 
(0, -8, 54), [0, 0, 2], 3.23.ai_cz_aoe 
(0, -8, 55), [0, 0, 3], 3.23.ai_da_aoe 
(0, -8, 56), [0, 0, 0], 3.23.ai_db_aoe 
(0, -8, 57), [0, 0, 1], 3.23.ai_dc_aoe 
(0, -8, 59), [0, 0, 3], 3.23.ai_de_aoe 
(0, -8, 60), [0, 0, 0], 3.23.ai_df_aoe 
(-9, 2, 0), [3, 2, 0], 3.23.ah_f_do 
(-6, -1, -23), [2, 3, 1], 3.23.ah_g_do 
