(-2, -4, 9), [2, 0, 1], 3.9.ag_ba_adm 
(-1, -5, 15), [3, 3, 3], 3.9.ag_bd_aeb 
(1, -7, 27), [1, 1, 3], 3.9.ag_bd_adv 
(-4, -2, 12), [0, 2, 0], 3.9.ag_bd_adg 
(0, -6, 22), [0, 2, 2], 3.9.ag_bf_aee 
(-2, -4, 15), [2, 0, 3], 3.9.ag_bg_ady 
(-3, -3, 16), [1, 1, 0], 3.9.ag_bi_ady 
(-6, 1, 1), [2, 1, 1], 3.9.af_e_m 
(-4, -1, -9), [0, 3, 3], 3.9.af_e_s 
(-4, -1, -6), [0, 3, 2], 3.9.af_h_g 
(-4, -1, -3), [0, 3, 1], 3.9.af_k_ag 
(-6, 1, 8), [2, 1, 0], 3.9.af_l_abe 
(-3, -2, -4), [1, 2, 0], 3.9.af_l_ay 
(-3, -2, -2), [1, 2, 2], 3.9.af_n_abe 
(-4, -1, 0), [0, 3, 0], 3.9.af_n_as 
(3, -8, 32), [3, 0, 0], 3.9.af_r_abw 
(-3, -2, 2), [1, 2, 2], 3.9.af_r_abq 
(-3, -2, 4), [1, 2, 0], 3.9.af_t_abw 
(2, -7, 27), [2, 1, 3], 3.9.af_w_acu 
(0, -5, 14), [0, 3, 2], 3.9.af_x_adm 
(-3, -2, 8), [1, 2, 0], 3.9.af_x_aci 
(-5, 1, -6), [3, 1, 2], 3.9.ae_ac_bw 
(-6, 2, 2), [2, 2, 2], 3.9.ae_ab_y 
(-3, -1, -11), [1, 3, 1], 3.9.ae_b_p 
(-3, -1, -8), [1, 3, 0], 3.9.ae_e_g 
(-5, 1, 0), [3, 1, 0], 3.9.ae_e_s 
(-3, -1, -7), [1, 3, 1], 3.9.ae_f_d 
(-3, -1, -5), [1, 3, 3], 3.9.ae_h_ad 
(-5, 1, 3), [3, 1, 3], 3.9.ae_h_d 
(-3, -1, -4), [1, 3, 0], 3.9.ae_i_ag 
(3, -7, 25), [3, 1, 1], 3.9.ae_n_abz 
(-2, -2, 0), [2, 2, 0], 3.9.ae_n_abk 
(-5, 1, 9), [3, 1, 1], 3.9.ae_n_abb 
(-3, -1, 1), [1, 3, 1], 3.9.ae_n_av 
(3, -7, 26), [3, 1, 2], 3.9.ae_o_abw 
(-3, -1, 2), [1, 3, 2], 3.9.ae_o_ay 
(-3, -1, 4), [1, 3, 0], 3.9.ae_q_abe 
(0, -4, 8), [0, 0, 0], 3.9.ae_r_acu 
(-3, -1, 5), [1, 3, 1], 3.9.ae_r_abh 
(0, -4, 10), [0, 0, 2], 3.9.ae_t_acu 
(-2, -2, 6), [2, 2, 2], 3.9.ae_t_abw 
(-3, -1, 7), [1, 3, 3], 3.9.ae_t_abn 
(0, -4, 11), [0, 0, 3], 3.9.ae_u_acu 
(-3, -1, 8), [1, 3, 0], 3.9.ae_u_abq 
(-2, -2, 9), [2, 2, 1], 3.9.ae_w_acc 
(0, -4, 14), [0, 0, 2], 3.9.ae_x_acu 
(1, -5, 21), [1, 3, 1], 3.9.ae_z_acr 
(-2, -2, 12), [2, 2, 0], 3.9.ae_z_aci 
(-3, 0, -14), [1, 0, 2], 3.9.ad_af_bq 
(-4, 1, -9), [0, 1, 3], 3.9.ad_ae_cc 
(-5, 2, 0), [3, 2, 0], 3.9.ad_ab_bk 
(-2, -1, -9), [2, 3, 3], 3.9.ad_c_a 
(-6, 3, 13), [2, 3, 1], 3.9.ad_e_ay 
(-2, -1, -6), [2, 3, 2], 3.9.ad_f_ag 
(-5, 2, 6), [3, 2, 2], 3.9.ad_f_g 
(-3, 0, -4), [1, 0, 0], 3.9.ad_f_m 
(-3, 0, -2), [1, 0, 2], 3.9.ad_h_g 
(4, -7, 27), [0, 1, 3], 3.9.ad_i_as 
(-2, -1, -3), [2, 3, 1], 3.9.ad_i_am 
(0, -3, 1), [0, 1, 1], 3.9.ad_k_acc 
(0, -3, 2), [0, 1, 2], 3.9.ad_l_acc 
(3, -6, 20), [3, 2, 0], 3.9.ad_l_abw 
(-1, -2, 0), [3, 2, 0], 3.9.ad_l_abk 
(-5, 2, 12), [3, 2, 0], 3.9.ad_l_ay 
(-2, -1, 0), [2, 3, 0], 3.9.ad_l_as 
(0, -3, 4), [0, 1, 0], 3.9.ad_n_acc 
(3, -6, 22), [3, 2, 2], 3.9.ad_n_abq 
(-3, 0, 4), [1, 0, 0], 3.9.ad_n_am 
(2, -5, 15), [2, 3, 3], 3.9.ad_o_aci 
(0, -3, 5), [0, 1, 1], 3.9.ad_o_acc 
(-2, -1, 3), [2, 3, 3], 3.9.ad_o_ay 
(-4, 1, 9), [0, 1, 1], 3.9.ad_o_as 
(0, -3, 7), [0, 1, 3], 3.9.ad_q_acc 
(-1, -2, 6), [3, 2, 2], 3.9.ad_r_abq 
(0, -3, 10), [0, 1, 2], 3.9.ad_t_acc 
(0, -3, 11), [0, 1, 3], 3.9.ad_u_acc 
(2, -5, 21), [2, 3, 1], 3.9.ad_u_abw 
(-2, -1, 9), [2, 3, 1], 3.9.ad_u_abk 
(-1, -2, 12), [3, 2, 0], 3.9.ad_x_abw 
(-6, 4, 7), [2, 0, 3], 3.9.ac_ai_be 
(-6, 4, 8), [2, 0, 0], 3.9.ac_ah_y 
(6, -8, 32), [2, 0, 0], 3.9.ac_ah_bw 
(-6, 4, 10), [2, 0, 2], 3.9.ac_af_m 
(-3, 1, -10), [1, 1, 2], 3.9.ac_ae_bw 
(-3, 1, -8), [1, 1, 0], 3.9.ac_ac_bq 
(-6, 4, 14), [2, 0, 2], 3.9.ac_ab_am 
(-1, -1, -9), [3, 3, 3], 3.9.ac_b_aj 
(5, -7, 27), [1, 1, 3], 3.9.ac_b_j 
(-4, 2, 0), [0, 2, 0], 3.9.ac_b_bk 
(-3, 1, -4), [1, 1, 0], 3.9.ac_c_be 
(0, -2, -5), [0, 2, 3], 3.9.ac_e_abk 
(-1, -1, -6), [3, 3, 2], 3.9.ac_e_am 
(0, -2, -4), [0, 2, 0], 3.9.ac_f_abk 
(3, -5, 13), [3, 3, 1], 3.9.ac_h_abz 
(0, -2, -2), [0, 2, 2], 3.9.ac_h_abk 
(-1, -1, -3), [3, 3, 1], 3.9.ac_h_ap 
(-4, 2, 6), [0, 2, 2], 3.9.ac_h_m 
(-3, 1, 1), [1, 1, 1], 3.9.ac_h_p 
(3, -5, 14), [3, 3, 2], 3.9.ac_i_abw 
(0, -2, -1), [0, 2, 3], 3.9.ac_i_abk 
(-3, 1, 2), [1, 1, 2], 3.9.ac_i_m 
(2, -4, 9), [2, 0, 1], 3.9.ac_k_acc 
(3, -5, 16), [3, 3, 0], 3.9.ac_k_abq 
(0, -2, 1), [0, 2, 1], 3.9.ac_k_abk 
(-1, -1, 0), [3, 3, 0], 3.9.ac_k_as 
(-4, 2, 9), [0, 2, 1], 3.9.ac_k_a 
(-3, 1, 4), [1, 1, 0], 3.9.ac_k_g 
(3, -5, 17), [3, 3, 1], 3.9.ac_l_abn 
(0, -2, 2), [0, 2, 2], 3.9.ac_l_abk 
(0, -2, 4), [0, 2, 0], 3.9.ac_n_abk 
(3, -5, 19), [3, 3, 3], 3.9.ac_n_abh 
(-1, -1, 3), [3, 3, 3], 3.9.ac_n_av 
(-4, 2, 12), [0, 2, 0], 3.9.ac_n_am 
(3, -5, 20), [3, 3, 0], 3.9.ac_o_abe 
(-3, 1, 8), [1, 1, 0], 3.9.ac_o_ag 
(2, -4, 15), [2, 0, 3], 3.9.ac_q_abq 
(0, -2, 7), [0, 2, 3], 3.9.ac_q_abk 
(0, -2, 8), [0, 2, 0], 3.9.ac_r_abk 
(3, -5, 23), [3, 3, 3], 3.9.ac_r_av 
(-1, -1, 9), [3, 3, 1], 3.9.ac_t_abb 
(-3, 1, 13), [1, 1, 1], 3.9.ac_t_av 
(0, -2, 11), [0, 2, 3], 3.9.ac_u_abk 
(0, -2, 13), [0, 2, 1], 3.9.ac_w_abk 
(0, -2, 14), [0, 2, 2], 3.9.ac_x_abk 
(0, -2, 16), [0, 2, 0], 3.9.ac_z_abk 
(-6, 5, 16), [2, 1, 0], 3.9.ab_af_ag 
(0, -1, -11), [0, 3, 1], 3.9.ab_ac_as 
(-2, 1, -9), [2, 1, 3], 3.9.ab_ac_bk 
(0, -1, -10), [0, 3, 2], 3.9.ab_ab_as 
(-3, 2, -4), [1, 2, 0], 3.9.ab_ab_bw 
(0, -1, -8), [0, 3, 0], 3.9.ab_b_as 
(-2, 1, -6), [2, 1, 2], 3.9.ab_b_be 
(0, -1, -7), [0, 3, 1], 3.9.ab_c_as 
(4, -5, 15), [0, 3, 3], 3.9.ab_e_abe 
(0, -1, -5), [0, 3, 3], 3.9.ab_e_as 
(-2, 1, -3), [2, 1, 1], 3.9.ab_e_y 
(0, -1, -4), [0, 3, 0], 3.9.ab_f_as 
