(5, -4, 19), [1, 0, 3], 3.19.b_s_acf 
(-3, 4, 19), [1, 0, 3], 3.19.b_ba_dr 
(3, -2, 19), [3, 2, 3], 3.19.b_bg_at 
(-1, 2, 19), [3, 2, 3], 3.19.b_bk_cf 
(0, 1, 35), [0, 1, 3], 3.19.b_cc_bm 
(0, 1, 37), [0, 1, 1], 3.19.b_ce_bm 
(-3, 5, 19), [1, 1, 3], 3.19.c_x_fd 
(0, 2, 37), [0, 2, 1], 3.19.c_ce_cy 
(5, -2, -19), [1, 2, 1], 3.19.d_ak_agp 
(1, 2, -19), [1, 2, 1], 3.19.d_c_cf 
(-7, 10, 57), [1, 2, 1], 3.19.d_g_at 
(5, -2, 0), [1, 2, 0], 3.19.d_j_acy 
(7, -4, 19), [3, 0, 3], 3.19.d_k_at 
(-3, 6, 19), [1, 2, 3], 3.19.d_u_gp 
(5, -2, 19), [1, 2, 3], 3.19.d_bc_t 
(4, -1, 19), [0, 3, 3], 3.19.d_bi_bm 
(-1, 4, 19), [3, 0, 3], 3.19.d_bi_fd 
(1, 2, 19), [1, 2, 3], 3.19.d_bo_dr 
(0, 3, 35), [0, 3, 3], 3.19.d_cc_ek 
(0, 3, 36), [0, 3, 0], 3.19.d_cd_ek 
(0, 3, 37), [0, 3, 1], 3.19.d_ce_ek 
(0, 3, 39), [0, 3, 3], 3.19.d_cg_ek 
(0, 4, 37), [0, 0, 1], 3.19.e_ce_fw 
(0, 4, 39), [0, 0, 3], 3.19.e_cg_fw 
(7, -2, -19), [3, 2, 1], 3.19.f_ao_aib 
(3, 2, -19), [3, 2, 1], 3.19.f_g_t 
(7, -2, 19), [3, 2, 3], 3.19.f_y_cf 
(-5, 10, 57), [3, 2, 1], 3.19.f_ba_dr 
(-1, 6, 19), [3, 2, 3], 3.19.f_bg_ib 
(1, 4, 19), [1, 0, 3], 3.19.f_bq_gp 
(3, 2, 19), [3, 2, 3], 3.19.f_bs_fd 
(0, 5, 35), [0, 1, 3], 3.19.f_cc_hi 
(0, 5, 36), [0, 1, 0], 3.19.f_cd_hi 
(0, 5, 37), [0, 1, 1], 3.19.f_ce_hi 
(0, 5, 39), [0, 1, 3], 3.19.f_cg_hi 
(0, 5, 40), [0, 1, 0], 3.19.f_ch_hi 
(0, 5, 41), [0, 1, 1], 3.19.f_ci_hi 
(7, -1, -19), [3, 3, 1], 3.19.g_ah_agp 
(5, 1, 19), [1, 1, 3], 3.19.g_br_fd 
(0, 6, 37), [0, 2, 1], 3.19.g_ce_iu 
(0, 6, 39), [0, 2, 3], 3.19.g_cg_iu 
(5, 2, -19), [1, 2, 1], 3.19.h_k_at 
(1, 6, 19), [1, 2, 3], 3.19.h_bs_jn 
(-3, 10, 57), [1, 2, 1], 3.19.h_bu_ib 
(5, 2, 19), [1, 2, 3], 3.19.h_bw_gp 
(3, 4, 19), [3, 0, 3], 3.19.h_by_ib 
(0, 7, 35), [0, 3, 3], 3.19.h_cc_kg 
(0, 7, 36), [0, 3, 0], 3.19.h_cd_kg 
(0, 7, 37), [0, 3, 1], 3.19.h_ce_kg 
(0, 7, 39), [0, 3, 3], 3.19.h_cg_kg 
(0, 7, 40), [0, 3, 0], 3.19.h_ch_kg 
(0, 7, 41), [0, 3, 1], 3.19.h_ci_kg 
(0, 8, 37), [0, 0, 1], 3.19.i_ce_ls 
(0, 8, 39), [0, 0, 3], 3.19.i_cg_ls 
(8, 1, -19), [0, 1, 1], 3.19.j_i_aek 
(7, 2, -19), [3, 2, 1], 3.19.j_o_acf 
(7, 2, 0), [3, 2, 0], 3.19.j_bh_cy 
(7, 2, 19), [3, 2, 3], 3.19.j_ca_ib 
(6, 3, 19), [2, 3, 3], 3.19.j_ce_iu 
(3, 6, 19), [3, 2, 3], 3.19.j_ce_kz 
(5, 4, 19), [1, 0, 3], 3.19.j_cg_jn 
(0, 9, 41), [0, 1, 1], 3.19.j_ci_ne 
(-1, 10, 57), [3, 2, 1], 3.19.j_co_ml 
(8, 3, 0), [0, 3, 0], 3.19.l_br_ek 
(7, 4, 19), [3, 0, 3], 3.19.l_co_kz 
(5, 6, 19), [1, 2, 3], 3.19.l_cq_ml 
(1, 10, 57), [1, 2, 1], 3.19.l_di_qv 
(2, 10, 57), [2, 2, 1], 3.19.m_ds_ta 
(3, 9, 57), [3, 1, 1], 3.19.m_dz_tt 
(8, 5, 19), [0, 1, 3], 3.19.n_da_ne 
(7, 6, 19), [3, 2, 3], 3.19.n_dc_nx 
(3, 10, 57), [3, 2, 1], 3.19.n_ec_vf 
(4, 9, 57), [0, 1, 1], 3.19.n_ei_vy 
(5, 9, 57), [1, 1, 1], 3.19.o_er_yd 
(5, 10, 57), [1, 2, 1], 3.19.p_ew_zp 
(6, 9, 57), [2, 1, 1], 3.19.p_fa_bai 
(3, 13, 76), [3, 1, 0], 3.19.q_fe_bbu 
(7, 10, 57), [3, 2, 1], 3.19.r_fq_bdz 
(4, 13, 76), [0, 1, 0], 3.19.r_fr_bes 
(8, 9, 57), [0, 1, 1], 3.19.r_fs_bes 
(8, 10, 57), [0, 2, 1], 3.19.s_ga_bge 
(6, 13, 76), [2, 1, 0], 3.19.t_gr_bko 
(7, 13, 76), [3, 1, 0], 3.19.u_he_bnm 
(8, 13, 76), [0, 1, 0], 3.19.v_hr_bqk 
