(-3, -9, 44), [1, 3, 0], 3.16.am_dj_aqe 
(-3, -9, 48), [1, 3, 0], 3.16.am_dn_aqq 
(-4, -8, 43), [0, 0, 3], 3.16.am_dn_aqm 
(-5, -7, 40), [3, 1, 0], 3.16.am_dn_aqi 
(-4, -8, 45), [0, 0, 1], 3.16.am_dp_aqu 
(-8, -3, -7), [0, 1, 1], 3.16.al_bh_abo 
(-8, -3, -5), [0, 1, 3], 3.16.al_bj_ace 
(-8, -3, -3), [0, 1, 1], 3.16.al_bl_acu 
(-8, -3, -1), [0, 1, 3], 3.16.al_bn_adk 
(-8, -3, 1), [0, 1, 1], 3.16.al_bp_aea 
(-8, -3, 3), [0, 1, 3], 3.16.al_br_aeq 
(-8, -3, 5), [0, 1, 1], 3.16.al_bt_afg 
(-8, -3, 7), [0, 1, 3], 3.16.al_bv_afw 
(-8, -3, 9), [0, 1, 1], 3.16.al_bx_agm 
(-8, -3, 11), [0, 1, 3], 3.16.al_bz_ahc 
(-8, -3, 13), [0, 1, 1], 3.16.al_cb_ahs 
(-8, -3, 15), [0, 1, 3], 3.16.al_cd_aii 
(-8, -3, 17), [0, 1, 1], 3.16.al_cf_aiy 
(-8, -3, 19), [0, 1, 3], 3.16.al_ch_ajo 
(-8, -3, 21), [0, 1, 1], 3.16.al_cj_ake 
(-8, -3, 23), [0, 1, 3], 3.16.al_cl_aku 
(-8, -3, 25), [0, 1, 1], 3.16.al_cn_alk 
(-8, -3, 27), [0, 1, 3], 3.16.al_cp_ama 
(-8, -3, 29), [0, 1, 1], 3.16.al_cr_amq 
(-4, -7, 25), [0, 1, 1], 3.16.al_cr_amm 
(-8, -3, 31), [0, 1, 3], 3.16.al_ct_ang 
(-4, -7, 27), [0, 1, 3], 3.16.al_ct_amu 
(-8, -3, 33), [0, 1, 1], 3.16.al_cv_anw 
(0, -11, 57), [0, 1, 1], 3.16.al_cv_ano 
(-4, -7, 29), [0, 1, 1], 3.16.al_cv_anc 
