(1, -5, 13), [1, 8, 0], 3.13.ae_v_aen 
(0, -4, 8), [0, 9, 8], 3.13.ae_v_aea 
(-5, 1, 13), [8, 1, 0], 3.13.ae_v_abn 
(0, -4, 9), [0, 9, 9], 3.13.ae_w_aea 
(0, -4, 10), [0, 9, 10], 3.13.ae_x_aea 
(0, -4, 11), [0, 9, 11], 3.13.ae_y_aea 
(0, -4, 12), [0, 9, 12], 3.13.ae_z_aea 
(0, -4, 15), [0, 9, 2], 3.13.ae_bc_aea 
(0, -4, 16), [0, 9, 3], 3.13.ae_bd_aea 
(-1, -3, 13), [12, 10, 0], 3.13.ae_bd_adn 
(-3, -1, 13), [10, 12, 0], 3.13.ae_bd_acn 
(0, -4, 17), [0, 9, 4], 3.13.ae_be_aea 
(-2, -2, 13), [11, 11, 0], 3.13.ae_be_ada 
(0, -4, 18), [0, 9, 5], 3.13.ae_bf_aea 
(0, -4, 19), [0, 9, 6], 3.13.ae_bg_aea 
(0, -4, 20), [0, 9, 7], 3.13.ae_bh_aea 
(0, -4, 22), [0, 9, 9], 3.13.ae_bj_aea 
(0, -4, 23), [0, 9, 10], 3.13.ae_bk_aea 
(0, -4, 28), [0, 9, 2], 3.13.ae_bp_aea 
(-6, 3, 0), [7, 3, 0], 3.13.ad_af_da 
(-4, 1, -13), [9, 1, 0], 3.13.ad_ae_da 
(6, -9, 39), [6, 4, 0], 3.13.ad_ac_a 
(-2, -1, -13), [11, 12, 0], 3.13.ad_c_a 
(-5, 2, 0), [8, 2, 0], 3.13.ad_d_ca 
(-6, 3, 13), [7, 3, 0], 3.13.ad_i_a 
(0, -3, -4), [0, 10, 9], 3.13.ad_j_ada 
(-4, 1, 0), [9, 1, 0], 3.13.ad_j_ba 
(0, -3, -3), [0, 10, 10], 3.13.ad_k_ada 
(0, -3, -1), [0, 10, 12], 3.13.ad_m_ada 
(0, -3, 1), [0, 10, 1], 3.13.ad_o_ada 
(0, -3, 2), [0, 10, 2], 3.13.ad_p_ada 
(-1, -2, 0), [12, 11, 0], 3.13.ad_p_aca 
(-2, -1, 0), [11, 12, 0], 3.13.ad_p_aba 
(0, -3, 3), [0, 10, 3], 3.13.ad_q_ada 
(0, -3, 4), [0, 10, 4], 3.13.ad_r_ada 
(0, -3, 5), [0, 10, 5], 3.13.ad_s_ada 
(0, -3, 6), [0, 10, 6], 3.13.ad_t_ada 
(0, -3, 7), [0, 10, 7], 3.13.ad_u_ada 
(0, -3, 9), [0, 10, 9], 3.13.ad_w_ada 
(-4, 1, 13), [9, 1, 0], 3.13.ad_w_aba 
(0, -3, 10), [0, 10, 10], 3.13.ad_x_ada 
(0, -3, 11), [0, 10, 11], 3.13.ad_y_ada 
(0, -3, 12), [0, 10, 12], 3.13.ad_z_ada 
(0, -3, 14), [0, 10, 1], 3.13.ad_bb_ada 
(0, -3, 15), [0, 10, 2], 3.13.ad_bc_ada 
(-2, -1, 13), [11, 12, 0], 3.13.ad_bc_aca 
(0, -3, 17), [0, 10, 4], 3.13.ad_be_ada 
(0, -3, 18), [0, 10, 5], 3.13.ad_bf_ada 
(0, -3, 19), [0, 10, 6], 3.13.ad_bg_ada 
