(0, -2, 15), [0, 2, 3], 3.8.ac_x_abg 
(-4, 3, 1), [0, 3, 1], 3.8.ab_ad_bs 
(0, -1, -9), [0, 3, 3], 3.8.ab_ab_aq 
(-4, 3, 3), [0, 3, 3], 3.8.ab_ab_bk 
(4, -5, 13), [0, 3, 1], 3.8.ab_b_abc 
(0, -1, -7), [0, 3, 1], 3.8.ab_b_aq 
(-4, 3, 5), [0, 3, 1], 3.8.ab_b_bc 
(4, -5, 15), [0, 3, 3], 3.8.ab_d_au 
(0, -1, -5), [0, 3, 3], 3.8.ab_d_aq 
(-4, 3, 7), [0, 3, 3], 3.8.ab_d_u 
(0, -1, -3), [0, 3, 1], 3.8.ab_f_aq 
(4, -5, 17), [0, 3, 1], 3.8.ab_f_am 
(-4, 3, 9), [0, 3, 1], 3.8.ab_f_m 
(0, -1, -1), [0, 3, 3], 3.8.ab_h_aq 
(4, -5, 19), [0, 3, 3], 3.8.ab_h_ae 
(-4, 3, 11), [0, 3, 3], 3.8.ab_h_e 
(0, -1, 1), [0, 3, 1], 3.8.ab_j_aq 
(-4, 3, 13), [0, 3, 1], 3.8.ab_j_ae 
(4, -5, 21), [0, 3, 1], 3.8.ab_j_e 
(0, -1, 3), [0, 3, 3], 3.8.ab_l_aq 
(-4, 3, 15), [0, 3, 3], 3.8.ab_l_am 
(-4, 3, 17), [0, 3, 1], 3.8.ab_n_au 
(0, -1, 5), [0, 3, 1], 3.8.ab_n_aq 
(0, -1, 7), [0, 3, 3], 3.8.ab_p_aq 
(0, -1, 9), [0, 3, 1], 3.8.ab_r_aq 
(0, -1, 11), [0, 3, 3], 3.8.ab_t_aq 
(0, -1, 13), [0, 3, 1], 3.8.ab_v_aq 
(0, -1, 15), [0, 3, 3], 3.8.ab_x_aq 
(0, 0, -15), [0, 0, 1], 3.8.a_ah_a 
(0, 0, -7), [0, 0, 1], 3.8.a_b_a 
(0, 0, 9), [0, 0, 1], 3.8.a_r_a 
(1, -1, 12), [1, 3, 0], 3.8.a_t_ae 
(-1, 1, 12), [3, 1, 0], 3.8.a_t_e 
(0, 0, 13), [0, 0, 1], 3.8.a_v_a 
(4, -3, 1), [0, 1, 1], 3.8.b_ad_abs 
(4, -3, 3), [0, 1, 3], 3.8.b_ab_abk 
(0, 1, -9), [0, 1, 3], 3.8.b_ab_q 
(4, -3, 5), [0, 1, 1], 3.8.b_b_abc 
(0, 1, -7), [0, 1, 1], 3.8.b_b_q 
(-4, 5, 13), [0, 1, 1], 3.8.b_b_bc 
(4, -3, 7), [0, 1, 3], 3.8.b_d_au 
(0, 1, -5), [0, 1, 3], 3.8.b_d_q 
